county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee,provisional
Jefferson,A107,Sheriff,,Democratic,Steve HEALEY,42,8,32,2,,0
Jefferson,A107,Sheriff,,Democratic,Stephen YANCEY,55,11,44,0,,0
Jefferson,A107,Louisville Mayor,,,Jody HURT,2,0,2,0,,0
Jefferson,A107,Louisville Mayor,,,Douglas LATTIMORE,2,0,2,0,,0
Jefferson,A107,Louisville Mayor,,,Craig GREENBERG,94,18,74,2,,0
Jefferson,A107,Louisville Mayor,,,Tina BURNELL,23,0,23,0,,0
Jefferson,A107,Louisville Mayor,,,Bob DeVORE,8,0,8,0,,0
Jefferson,A107,Louisville Mayor,,,Lisa M. Holliday HARRIS,4,0,4,0,,0
Jefferson,A107,Louisville Mayor,,,Matthew Solomon BAILEY,4,1,3,0,,0
Jefferson,A107,Louisville Mayor,,,"S. ""The D"" DATTILO",1,0,1,0,,0
Jefferson,A107,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,40,9,31,0,,0
Jefferson,A108,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,4,1,3,0,,0
Jefferson,A108,U.S. Senate,,Republican,Anissa CATLETT,7,1,6,0,,0
Jefferson,A108,U.S. Senate,,Republican,Daniel CAMERON,35,3,32,0,,0
Jefferson,A108,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A108,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,,0
Jefferson,A108,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,A108,U.S. Senate,,Republican,Michael James FARIS,2,1,1,0,,0
Jefferson,A108,U.S. Senate,,Republican,Jimmy I. LEON,1,0,1,0,,0
Jefferson,A108,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,A108,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A108,U.S. Senate,,Republican,Andy BARR,72,10,60,2,,0
Jefferson,A108,U.S. House,3,Republican,David Joseph NICHTER,26,1,25,0,,0
Jefferson,A108,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,36,10,26,0,,0
Jefferson,A108,U.S. House,3,Republican,Daniel COBBLE,22,1,21,0,,0
Jefferson,A108,U.S. House,3,Republican,Donald PAY,25,2,21,2,,0
Jefferson,A108,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,0,2,0,,0
Jefferson,A108,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,2,1,1,0,,0
Jefferson,A108,U.S. Senate,,Democratic,Amy McGRATH,59,17,41,1,,0
Jefferson,A108,U.S. Senate,,Democratic,Pamela STEVENSON,9,2,7,0,,0
Jefferson,A108,U.S. Senate,,Democratic,Logan FORSYTHE,2,1,1,0,,0
Jefferson,A108,U.S. Senate,,Democratic,Charles BOOKER,80,11,68,1,,0
Jefferson,A108,U.S. Senate,,Democratic,Dale Lewis ROMANS,17,2,15,0,,0
Jefferson,A108,County Attorney,,Democratic,Sarah MARTIN,110,26,82,2,,0
Jefferson,A108,County Attorney,,Democratic,Karl PRICE,52,8,44,0,,0
Jefferson,A108,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",45,8,37,0,,0
Jefferson,A108,County Clerk,,Democratic,David YATES,126,26,98,2,,0
Jefferson,A108,Sheriff,,Democratic,Richard BREEN,41,9,32,0,,0
Jefferson,A108,Sheriff,,Democratic,Steve HEALEY,70,16,54,0,,0
Jefferson,A108,Sheriff,,Democratic,Stephen YANCEY,55,8,45,2,,0
Jefferson,A108,Louisville Mayor,,,Jody HURT,5,1,4,0,,0
Jefferson,A108,Louisville Mayor,,,Douglas LATTIMORE,2,1,1,0,,0
Jefferson,A108,Louisville Mayor,,,Craig GREENBERG,146,31,113,2,,0
Jefferson,A108,Louisville Mayor,,,Tina BURNELL,64,5,58,1,,0
Jefferson,A108,Louisville Mayor,,,Bob DeVORE,17,2,15,0,,0
Jefferson,A108,Louisville Mayor,,,Lisa M. Holliday HARRIS,11,2,9,0,,0
Jefferson,A108,Louisville Mayor,,,Matthew Solomon BAILEY,3,1,2,0,,0
Jefferson,A108,Louisville Mayor,,,"S. ""The D"" DATTILO",0,0,0,0,,0
Jefferson,A108,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,47,5,41,1,,0
Jefferson,A111,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,0,2,0,,0
Jefferson,A111,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,,0
Jefferson,A111,U.S. Senate,,Republican,Daniel CAMERON,30,6,24,0,,0
Jefferson,A111,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A111,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,A111,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,A111,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,,0
Jefferson,A111,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A111,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,A111,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A111,U.S. Senate,,Republican,Andy BARR,48,3,45,0,,0
Jefferson,A111,U.S. House,3,Republican,David Joseph NICHTER,14,0,14,0,,0
Jefferson,A111,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,22,2,20,0,,0
Jefferson,A111,U.S. House,3,Republican,Daniel COBBLE,13,1,12,0,,0
Jefferson,A111,U.S. House,3,Republican,Donald PAY,20,5,15,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Joshua BLANTON SR.,3,0,3,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,3,0,3,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Amy McGRATH,40,6,31,3,,0
Jefferson,A111,U.S. Senate,,Democratic,Pamela STEVENSON,9,1,8,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Logan FORSYTHE,4,1,3,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Charles BOOKER,92,11,81,0,,0
Jefferson,A111,U.S. Senate,,Democratic,Dale Lewis ROMANS,7,1,6,0,,0
Jefferson,A111,County Attorney,,Democratic,Sarah MARTIN,103,16,84,3,,0
Jefferson,A111,County Attorney,,Democratic,Karl PRICE,54,5,49,0,,0
Jefferson,A111,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",44,1,43,0,,0
Jefferson,A111,County Clerk,,Democratic,David YATES,116,20,93,3,,0
Jefferson,A111,Sheriff,,Democratic,Richard BREEN,42,7,34,1,,0
Jefferson,A111,Sheriff,,Democratic,Steve HEALEY,51,6,43,2,,0
Jefferson,A111,Sheriff,,Democratic,Stephen YANCEY,62,8,54,0,,0
Jefferson,A111,Louisville Mayor,,,Jody HURT,3,0,3,0,,0
Jefferson,A111,Louisville Mayor,,,Douglas LATTIMORE,4,0,4,0,,0
Jefferson,A111,Louisville Mayor,,,Craig GREENBERG,108,19,86,3,,0
Jefferson,A111,Louisville Mayor,,,Tina BURNELL,50,7,43,0,,0
Jefferson,A111,Louisville Mayor,,,Bob DeVORE,7,0,7,0,,0
Jefferson,A111,Louisville Mayor,,,Lisa M. Holliday HARRIS,10,1,9,0,,0
Jefferson,A111,Louisville Mayor,,,Matthew Solomon BAILEY,2,0,2,0,,0
Jefferson,A111,Louisville Mayor,,,"S. ""The D"" DATTILO",2,0,2,0,,0
Jefferson,A111,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,59,5,54,0,,0
Jefferson,A113,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,0,2,0,,0
Jefferson,A113,U.S. Senate,,Republican,Anissa CATLETT,1,1,0,0,,0
Jefferson,A113,U.S. Senate,,Republican,Daniel CAMERON,25,2,23,0,,0
Jefferson,A113,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A113,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",5,1,4,0,,0
Jefferson,A113,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,A113,U.S. Senate,,Republican,Michael James FARIS,3,0,3,0,,0
Jefferson,A113,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A113,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,A113,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A113,U.S. Senate,,Republican,Andy BARR,52,8,44,0,,0
Jefferson,A113,U.S. House,3,Republican,David Joseph NICHTER,15,1,14,0,,0
Jefferson,A113,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,28,6,22,0,,0
Jefferson,A113,U.S. House,3,Republican,Daniel COBBLE,20,3,16,1,,0
Jefferson,A113,U.S. House,3,Republican,Donald PAY,15,0,14,1,,0
Jefferson,A113,U.S. Senate,,Democratic,Joshua BLANTON SR.,3,0,3,0,,0
Jefferson,A113,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,A113,U.S. Senate,,Democratic,Amy McGRATH,65,18,46,1,,0
Jefferson,A113,U.S. Senate,,Democratic,Pamela STEVENSON,9,2,7,0,,0
Jefferson,A113,U.S. Senate,,Democratic,Logan FORSYTHE,5,0,5,0,,0
Jefferson,A113,U.S. Senate,,Democratic,Charles BOOKER,75,11,64,0,,0
Jefferson,A113,U.S. Senate,,Democratic,Dale Lewis ROMANS,12,3,9,0,,0
Jefferson,A113,County Attorney,,Democratic,Sarah MARTIN,104,24,80,0,,0
Jefferson,A113,County Attorney,,Democratic,Karl PRICE,58,9,49,0,,0
Jefferson,A113,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",34,4,30,0,,0
Jefferson,A113,County Clerk,,Democratic,David YATES,134,29,105,0,,0
Jefferson,A113,Sheriff,,Democratic,Richard BREEN,33,6,27,0,,0
Jefferson,A113,Sheriff,,Democratic,Steve HEALEY,68,15,53,0,,0
Jefferson,A113,Sheriff,,Democratic,Stephen YANCEY,56,11,45,0,,0
Jefferson,A113,Louisville Mayor,,,Jody HURT,4,0,4,0,,0
Jefferson,A113,Louisville Mayor,,,Douglas LATTIMORE,4,1,3,0,,0
Jefferson,A113,Louisville Mayor,,,Craig GREENBERG,134,28,105,1,,0
Jefferson,A113,Louisville Mayor,,,Tina BURNELL,53,7,46,0,,0
Jefferson,A113,Louisville Mayor,,,Bob DeVORE,5,0,5,0,,0
Jefferson,A113,Louisville Mayor,,,Lisa M. Holliday HARRIS,5,0,4,1,,0
Jefferson,A113,Louisville Mayor,,,Matthew Solomon BAILEY,5,0,5,0,,0
Jefferson,A113,Louisville Mayor,,,"S. ""The D"" DATTILO",0,0,0,0,,0
Jefferson,A113,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,48,7,41,0,,0
Jefferson,A114,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,,0
Jefferson,A114,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,,0
Jefferson,A114,U.S. Senate,,Republican,Daniel CAMERON,18,2,16,0,,0
Jefferson,A114,U.S. Senate,,Republican,A. Nick SHELLEY,1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Republican,George WASHINGTON,2,0,2,0,,0
Jefferson,A114,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,,0
Jefferson,A114,U.S. Senate,,Republican,Jimmy I. LEON,1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A114,U.S. Senate,,Republican,Andy BARR,36,3,31,2,,0
Jefferson,A114,U.S. House,3,Republican,David Joseph NICHTER,11,1,10,0,,0
Jefferson,A114,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,20,0,20,0,,0
Jefferson,A114,U.S. House,3,Republican,Daniel COBBLE,12,1,11,0,,0
Jefferson,A114,U.S. House,3,Republican,Donald PAY,9,3,6,0,,0
Jefferson,A114,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,1,0,0,,0
Jefferson,A114,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Democratic,Amy McGRATH,38,11,26,1,,0
Jefferson,A114,U.S. Senate,,Democratic,Pamela STEVENSON,4,0,4,0,,0
Jefferson,A114,U.S. Senate,,Democratic,Logan FORSYTHE,1,0,1,0,,0
Jefferson,A114,U.S. Senate,,Democratic,Charles BOOKER,73,8,64,1,,0
Jefferson,A114,U.S. Senate,,Democratic,Dale Lewis ROMANS,12,3,9,0,,0
Jefferson,A114,County Attorney,,Democratic,Sarah MARTIN,65,15,48,2,,0
Jefferson,A114,County Attorney,,Democratic,Karl PRICE,59,8,51,0,,0
Jefferson,A114,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",28,1,27,0,,0
Jefferson,A114,County Clerk,,Democratic,David YATES,99,22,75,2,,0
Jefferson,A114,Sheriff,,Democratic,Richard BREEN,34,8,25,1,,0
Jefferson,A114,Sheriff,,Democratic,Steve HEALEY,39,8,31,0,,0
Jefferson,A114,Sheriff,,Democratic,Stephen YANCEY,48,7,41,0,,0
Jefferson,A114,Louisville Mayor,,,Jody HURT,5,1,4,0,,0
Jefferson,A114,Louisville Mayor,,,Douglas LATTIMORE,2,0,2,0,,0
Jefferson,A114,Louisville Mayor,,,Craig GREENBERG,86,19,66,1,,0
Jefferson,A114,Louisville Mayor,,,Tina BURNELL,39,4,35,0,,0
Jefferson,A114,Louisville Mayor,,,Bob DeVORE,4,0,4,0,,0
Jefferson,A114,Louisville Mayor,,,Lisa M. Holliday HARRIS,4,0,4,0,,0
Jefferson,A114,Louisville Mayor,,,Matthew Solomon BAILEY,2,0,2,0,,0
Jefferson,A114,Louisville Mayor,,,"S. ""The D"" DATTILO",3,1,2,0,,0
Jefferson,A114,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,54,7,46,1,,0
Jefferson,A115,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,3,0,3,0,,0
Jefferson,A115,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,Daniel CAMERON,27,6,18,3,,0
Jefferson,A115,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,George WASHINGTON,3,0,3,0,,0
Jefferson,A115,U.S. Senate,,Republican,Michael James FARIS,2,1,1,0,,0
Jefferson,A115,U.S. Senate,,Republican,Jimmy I. LEON,1,1,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Republican,Andy BARR,51,8,40,3,,0
Jefferson,A115,U.S. House,3,Republican,David Joseph NICHTER,14,2,12,0,,0
Jefferson,A115,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,32,5,25,2,,0
Jefferson,A115,U.S. House,3,Republican,Daniel COBBLE,23,4,16,3,,0
Jefferson,A115,U.S. House,3,Republican,Donald PAY,10,3,7,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,0,1,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,2,1,1,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Amy McGRATH,43,9,33,1,,0
Jefferson,A115,U.S. Senate,,Democratic,Pamela STEVENSON,7,2,5,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Charles BOOKER,38,2,36,0,,0
Jefferson,A115,U.S. Senate,,Democratic,Dale Lewis ROMANS,7,1,5,1,,0
Jefferson,A115,County Attorney,,Democratic,Sarah MARTIN,68,10,57,1,,0
Jefferson,A115,County Attorney,,Democratic,Karl PRICE,25,5,19,1,,0
Jefferson,A115,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",22,3,19,0,,0
Jefferson,A115,County Clerk,,Democratic,David YATES,75,10,63,2,,0
Jefferson,A115,Sheriff,,Democratic,Richard BREEN,24,9,14,1,,0
Jefferson,A115,Sheriff,,Democratic,Steve HEALEY,45,5,40,0,,0
Jefferson,A115,Sheriff,,Democratic,Stephen YANCEY,23,1,21,1,,0
Jefferson,A115,Louisville Mayor,,,Jody HURT,8,2,5,1,,0
Jefferson,A115,Louisville Mayor,,,Douglas LATTIMORE,4,0,4,0,,0
Jefferson,A115,Louisville Mayor,,,Craig GREENBERG,100,16,80,4,,0
Jefferson,A115,Louisville Mayor,,,Tina BURNELL,34,5,27,2,,0
Jefferson,A115,Louisville Mayor,,,Bob DeVORE,12,1,11,0,,0
Jefferson,A115,Louisville Mayor,,,Lisa M. Holliday HARRIS,3,0,3,0,,0
Jefferson,A115,Louisville Mayor,,,Matthew Solomon BAILEY,2,0,2,0,,0
Jefferson,A115,Louisville Mayor,,,"S. ""The D"" DATTILO",2,2,0,0,,0
Jefferson,A115,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,28,2,26,0,,0
Jefferson,A118,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,0,2,0,,0
Jefferson,A118,U.S. Senate,,Republican,Anissa CATLETT,2,0,2,0,,0
Jefferson,A118,U.S. Senate,,Republican,Daniel CAMERON,16,3,13,0,,0
Jefferson,A118,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A118,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,A118,U.S. Senate,,Republican,George WASHINGTON,0,0,0,0,,0
Jefferson,A118,U.S. Senate,,Republican,Michael James FARIS,3,0,3,0,,0
Jefferson,A118,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A118,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,A118,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A118,U.S. Senate,,Republican,Andy BARR,28,5,23,0,,0
Jefferson,A118,U.S. House,3,Republican,David Joseph NICHTER,15,3,12,0,,0
Jefferson,A118,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,17,4,13,0,,0
Jefferson,A118,U.S. House,3,Republican,Daniel COBBLE,11,0,11,0,,0
Jefferson,A118,U.S. House,3,Republican,Donald PAY,9,1,8,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,1,0,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Amy McGRATH,27,5,20,2,,0
Jefferson,A118,U.S. Senate,,Democratic,Pamela STEVENSON,3,0,3,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Logan FORSYTHE,1,0,1,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Charles BOOKER,26,5,21,0,,0
Jefferson,A118,U.S. Senate,,Democratic,Dale Lewis ROMANS,0,0,0,0,,0
Jefferson,A118,County Attorney,,Democratic,Sarah MARTIN,37,4,31,2,,0
Jefferson,A118,County Attorney,,Democratic,Karl PRICE,20,5,15,0,,0
Jefferson,A118,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",16,2,14,0,,0
Jefferson,A118,County Clerk,,Democratic,David YATES,41,8,31,2,,0
Jefferson,A118,Sheriff,,Democratic,Richard BREEN,17,4,11,2,,0
Jefferson,A118,Sheriff,,Democratic,Steve HEALEY,18,2,16,0,,0
Jefferson,A118,Sheriff,,Democratic,Stephen YANCEY,21,4,17,0,,0
Jefferson,A118,Louisville Mayor,,,Jody HURT,1,0,1,0,,0
Jefferson,A118,Louisville Mayor,,,Douglas LATTIMORE,1,0,1,0,,0
Jefferson,A118,Louisville Mayor,,,Craig GREENBERG,64,14,48,2,,0
Jefferson,A118,Louisville Mayor,,,Tina BURNELL,21,2,19,0,,0
Jefferson,A118,Louisville Mayor,,,Bob DeVORE,5,0,5,0,,0
Jefferson,A118,Louisville Mayor,,,Lisa M. Holliday HARRIS,2,0,2,0,,0
Jefferson,A118,Louisville Mayor,,,Matthew Solomon BAILEY,3,0,3,0,,0
Jefferson,A118,Louisville Mayor,,,"S. ""The D"" DATTILO",0,0,0,0,,0
Jefferson,A118,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,19,2,17,0,,0
Jefferson,A119,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,,0
Jefferson,A119,U.S. Senate,,Republican,Anissa CATLETT,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Republican,Daniel CAMERON,35,8,27,0,,0
Jefferson,A119,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,A119,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",2,0,2,0,,0
Jefferson,A119,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A119,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A119,U.S. Senate,,Republican,Andy BARR,54,5,48,1,,0
Jefferson,A119,U.S. House,3,Republican,David Joseph NICHTER,15,1,14,0,,0
Jefferson,A119,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,43,11,32,0,,0
Jefferson,A119,U.S. House,3,Republican,Daniel COBBLE,16,0,16,0,,0
Jefferson,A119,U.S. House,3,Republican,Donald PAY,14,0,13,1,,0
Jefferson,A119,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,,0
Jefferson,A119,U.S. Senate,,Democratic,Amy McGRATH,46,11,33,2,,0
Jefferson,A119,U.S. Senate,,Democratic,Pamela STEVENSON,2,0,2,0,,0
Jefferson,A119,U.S. Senate,,Democratic,Logan FORSYTHE,5,0,5,0,,0
Jefferson,A119,U.S. Senate,,Democratic,Charles BOOKER,41,7,34,0,,0
Jefferson,A119,U.S. Senate,,Democratic,Dale Lewis ROMANS,8,1,6,1,,0
Jefferson,A119,County Attorney,,Democratic,Sarah MARTIN,68,14,52,2,,0
Jefferson,A119,County Attorney,,Democratic,Karl PRICE,32,5,26,1,,0
Jefferson,A119,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",26,4,21,1,,0
Jefferson,A119,County Clerk,,Democratic,David YATES,76,14,60,2,,0
Jefferson,A119,Sheriff,,Democratic,Richard BREEN,29,10,18,1,,0
Jefferson,A119,Sheriff,,Democratic,Steve HEALEY,33,5,27,1,,0
Jefferson,A119,Sheriff,,Democratic,Stephen YANCEY,41,4,36,1,,0
Jefferson,A119,Louisville Mayor,,,Jody HURT,4,0,4,0,,0
Jefferson,A119,Louisville Mayor,,,Douglas LATTIMORE,2,1,1,0,,0
Jefferson,A119,Louisville Mayor,,,Craig GREENBERG,96,20,74,2,,0
Jefferson,A119,Louisville Mayor,,,Tina BURNELL,51,8,42,1,,0
Jefferson,A119,Louisville Mayor,,,Bob DeVORE,9,0,8,1,,0
Jefferson,A119,Louisville Mayor,,,Lisa M. Holliday HARRIS,7,1,6,0,,0
Jefferson,A119,Louisville Mayor,,,Matthew Solomon BAILEY,6,1,5,0,,0
Jefferson,A119,Louisville Mayor,,,"S. ""The D"" DATTILO",1,0,1,0,,0
Jefferson,A119,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,27,5,22,0,,0
Jefferson,A121,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,0,2,0,,0
Jefferson,A121,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,,0
Jefferson,A121,U.S. Senate,,Republican,Daniel CAMERON,16,8,8,0,,0
Jefferson,A121,U.S. Senate,,Republican,A. Nick SHELLEY,1,0,1,0,,0
Jefferson,A121,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",2,0,2,0,,0
Jefferson,A121,U.S. Senate,,Republican,George WASHINGTON,2,0,2,0,,0
Jefferson,A121,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,,0
Jefferson,A121,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,A121,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,A121,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,A121,U.S. Senate,,Republican,Andy BARR,48,6,40,2,,0
Jefferson,A121,U.S. House,3,Republican,David Joseph NICHTER,14,3,11,0,,0
Jefferson,A121,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,28,6,20,2,,0
