county,office,district,party,candidate,votes
Metcalfe,B101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Metcalfe,B102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,48.0
Metcalfe,B102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,23.0
Metcalfe,B102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,3.0
Metcalfe,B103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,154.0
Metcalfe,B103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,100.0
Metcalfe,B103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Metcalfe,B104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,133.0
Metcalfe,B104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,105.0
Metcalfe,B104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,6.0
Metcalfe,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,209.0
Metcalfe,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,134.0
Metcalfe,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Metcalfe,C102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,133.0
Metcalfe,C102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,70.0
Metcalfe,C102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,1.0
Metcalfe,D101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,235.0
Metcalfe,D101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,114.0
Metcalfe,D101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Metcalfe,D102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,125.0
Metcalfe,D102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,47.0
Metcalfe,D102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,1.0
Metcalfe,AB,Secretary of State,,REP,Michael G. ADAMS,90.0
Metcalfe,AB,Secretary of State,,DEM,Heather French HENRY,76.0
Metcalfe,A101,Secretary of State,,REP,Michael G. ADAMS,292.0
Metcalfe,A101,Secretary of State,,DEM,Heather French HENRY,239.0
Metcalfe,A102,Secretary of State,,REP,Michael G. ADAMS,256.0
Metcalfe,A102,Secretary of State,,DEM,Heather French HENRY,193.0
Metcalfe,A103,Secretary of State,,REP,Michael G. ADAMS,374.0
Metcalfe,A103,Secretary of State,,DEM,Heather French HENRY,167.0
Metcalfe,A104,Secretary of State,,REP,Michael G. ADAMS,111.0
Metcalfe,A104,Secretary of State,,DEM,Heather French HENRY,85.0
Metcalfe,B101,Secretary of State,,REP,Michael G. ADAMS,128.0
Metcalfe,B101,Secretary of State,,DEM,Heather French HENRY,85.0
Metcalfe,B102,Secretary of State,,REP,Michael G. ADAMS,50.0
Metcalfe,B102,Secretary of State,,DEM,Heather French HENRY,17.0
Metcalfe,B103,Secretary of State,,REP,Michael G. ADAMS,161.0
Metcalfe,B103,Secretary of State,,DEM,Heather French HENRY,95.0
Metcalfe,B104,Secretary of State,,REP,Michael G. ADAMS,125.0
Metcalfe,B104,Secretary of State,,DEM,Heather French HENRY,105.0
Metcalfe,C101,Secretary of State,,REP,Michael G. ADAMS,202.0
Metcalfe,C101,Secretary of State,,DEM,Heather French HENRY,126.0
Metcalfe,C102,Secretary of State,,REP,Michael G. ADAMS,126.0
Metcalfe,C102,Secretary of State,,DEM,Heather French HENRY,63.0
Metcalfe,D101,Secretary of State,,REP,Michael G. ADAMS,221.0
Metcalfe,D101,Secretary of State,,DEM,Heather French HENRY,109.0
Metcalfe,D102,Secretary of State,,REP,Michael G. ADAMS,117.0
Metcalfe,D102,Secretary of State,,DEM,Heather French HENRY,43.0
Metcalfe,AB,Attorney General,,REP,Daniel CAMERON,105.0
Metcalfe,AB,Attorney General,,DEM,Gregory D. STUMBO,61.0
Metcalfe,A101,Attorney General,,REP,Daniel CAMERON,317.0
Metcalfe,A101,Attorney General,,DEM,Gregory D. STUMBO,210.0
Metcalfe,A102,Attorney General,,REP,Daniel CAMERON,295.0
Metcalfe,A102,Attorney General,,DEM,Gregory D. STUMBO,163.0
Metcalfe,A103,Attorney General,,REP,Daniel CAMERON,416.0
Metcalfe,A103,Attorney General,,DEM,Gregory D. STUMBO,119.0
Metcalfe,A104,Attorney General,,REP,Daniel CAMERON,118.0
Metcalfe,A104,Attorney General,,DEM,Gregory D. STUMBO,78.0
Metcalfe,B101,Attorney General,,REP,Daniel CAMERON,141.0
Metcalfe,B101,Attorney General,,DEM,Gregory D. STUMBO,81.0
Metcalfe,B102,Attorney General,,REP,Daniel CAMERON,58.0
Metcalfe,B102,Attorney General,,DEM,Gregory D. STUMBO,11.0
Metcalfe,B103,Attorney General,,REP,Daniel CAMERON,172.0
Metcalfe,B103,Attorney General,,DEM,Gregory D. STUMBO,83.0
Metcalfe,B104,Attorney General,,REP,Daniel CAMERON,138.0
Metcalfe,B104,Attorney General,,DEM,Gregory D. STUMBO,98.0
Metcalfe,C101,Attorney General,,REP,Daniel CAMERON,226.0
Metcalfe,C101,Attorney General,,DEM,Gregory D. STUMBO,107.0
Metcalfe,C102,Attorney General,,REP,Daniel CAMERON,135.0
Metcalfe,C102,Attorney General,,DEM,Gregory D. STUMBO,60.0
Metcalfe,D101,Attorney General,,REP,Daniel CAMERON,241.0
Metcalfe,D101,Attorney General,,DEM,Gregory D. STUMBO,97.0
Metcalfe,D102,Attorney General,,REP,Daniel CAMERON,124.0
Metcalfe,D102,Attorney General,,DEM,Gregory D. STUMBO,41.0
Metcalfe,AB,Auditor of Public Accounts,,REP,Mike HARMON,92.0
Metcalfe,AB,Auditor of Public Accounts,,DEM,Sheri DONAHUE,59.0
Metcalfe,AB,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Metcalfe,A101,Auditor of Public Accounts,,REP,Mike HARMON,279.0
Metcalfe,A101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,191.0
Metcalfe,A101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,17.0
Metcalfe,A102,Auditor of Public Accounts,,REP,Mike HARMON,261.0
Metcalfe,A102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,153.0
Metcalfe,A102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,13.0
Metcalfe,A103,Auditor of Public Accounts,,REP,Mike HARMON,366.0
Metcalfe,A103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,124.0
Metcalfe,A103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,17.0
Metcalfe,A104,Auditor of Public Accounts,,REP,Mike HARMON,108.0
Metcalfe,A104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,71.0
Metcalfe,A104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Metcalfe,B101,Auditor of Public Accounts,,REP,Mike HARMON,125.0
Metcalfe,B101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,62.0
Metcalfe,B101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Metcalfe,B102,Auditor of Public Accounts,,REP,Mike HARMON,47.0
Metcalfe,B102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,12.0
Metcalfe,B102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,1.0
Metcalfe,B103,Auditor of Public Accounts,,REP,Mike HARMON,149.0
Metcalfe,B103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,75.0
Metcalfe,B103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Metcalfe,B104,Auditor of Public Accounts,,REP,Mike HARMON,121.0
Metcalfe,B104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,84.0
Metcalfe,B104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Metcalfe,C101,Auditor of Public Accounts,,REP,Mike HARMON,203.0
Metcalfe,C101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,101.0
Metcalfe,C101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Metcalfe,C102,Auditor of Public Accounts,,REP,Mike HARMON,122.0
Metcalfe,C102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,56.0
Metcalfe,C102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,4.0
Metcalfe,D101,Auditor of Public Accounts,,REP,Mike HARMON,213.0
Metcalfe,D101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,75.0
Metcalfe,D101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,20.0
Metcalfe,D102,Auditor of Public Accounts,,REP,Mike HARMON,116.0
Metcalfe,D102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,36.0
Metcalfe,D102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,4.0
Metcalfe,AB,State Treasurer,,REP,Allison BALL,98.0
Metcalfe,AB,State Treasurer,,DEM,Michael BOWMAN,66.0
Metcalfe,A101,State Treasurer,,REP,Allison BALL,328.0
Metcalfe,A101,State Treasurer,,DEM,Michael BOWMAN,191.0
Metcalfe,A102,State Treasurer,,REP,Allison BALL,299.0
Metcalfe,A102,State Treasurer,,DEM,Michael BOWMAN,141.0
Metcalfe,A103,State Treasurer,,REP,Allison BALL,406.0
Metcalfe,A103,State Treasurer,,DEM,Michael BOWMAN,120.0
Metcalfe,A104,State Treasurer,,REP,Allison BALL,119.0
Metcalfe,A104,State Treasurer,,DEM,Michael BOWMAN,72.0
Metcalfe,B101,State Treasurer,,REP,Allison BALL,137.0
Metcalfe,B101,State Treasurer,,DEM,Michael BOWMAN,67.0
Metcalfe,B102,State Treasurer,,REP,Allison BALL,53.0
Metcalfe,B102,State Treasurer,,DEM,Michael BOWMAN,13.0
Metcalfe,B103,State Treasurer,,REP,Allison BALL,177.0
Metcalfe,B103,State Treasurer,,DEM,Michael BOWMAN,74.0
Metcalfe,B104,State Treasurer,,REP,Allison BALL,140.0
Metcalfe,B104,State Treasurer,,DEM,Michael BOWMAN,83.0
Metcalfe,C101,State Treasurer,,REP,Allison BALL,228.0
Metcalfe,C101,State Treasurer,,DEM,Michael BOWMAN,98.0
Metcalfe,C102,State Treasurer,,REP,Allison BALL,134.0
Metcalfe,C102,State Treasurer,,DEM,Michael BOWMAN,54.0
Metcalfe,D101,State Treasurer,,REP,Allison BALL,240.0
Metcalfe,D101,State Treasurer,,DEM,Michael BOWMAN,87.0
Metcalfe,D102,State Treasurer,,REP,Allison BALL,125.0
Metcalfe,D102,State Treasurer,,DEM,Michael BOWMAN,40.0
Metcalfe,AB,Commissioner of Agriculture,,REP,Ryan F. QUARLES,105.0
Metcalfe,AB,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,48.0
Metcalfe,AB,Commissioner of Agriculture,,LIB,Josh GILPIN,9.0
Metcalfe,A101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,275.0
Metcalfe,A101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,200.0
Metcalfe,A101,Commissioner of Agriculture,,LIB,Josh GILPIN,23.0
Metcalfe,A102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,286.0
Metcalfe,A102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,135.0
Metcalfe,A102,Commissioner of Agriculture,,LIB,Josh GILPIN,17.0
Metcalfe,A103,Commissioner of Agriculture,,REP,Ryan F. QUARLES,422.0
Metcalfe,A103,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,98.0
Metcalfe,A103,Commissioner of Agriculture,,LIB,Josh GILPIN,15.0
Metcalfe,A104,Commissioner of Agriculture,,REP,Ryan F. QUARLES,113.0
Metcalfe,A104,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,65.0
Metcalfe,A104,Commissioner of Agriculture,,LIB,Josh GILPIN,10.0
Metcalfe,B101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,132.0
Metcalfe,B101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,64.0
Metcalfe,B101,Commissioner of Agriculture,,LIB,Josh GILPIN,11.0
Metcalfe,B102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,46.0
Metcalfe,B102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,13.0
Metcalfe,B102,Commissioner of Agriculture,,LIB,Josh GILPIN,1.0
Metcalfe,B103,Commissioner of Agriculture,,REP,Ryan F. QUARLES,180.0
Metcalfe,B103,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,63.0
Metcalfe,B103,Commissioner of Agriculture,,LIB,Josh GILPIN,6.0
Metcalfe,B104,Commissioner of Agriculture,,REP,Ryan F. QUARLES,132.0
Metcalfe,B104,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,80.0
Metcalfe,B104,Commissioner of Agriculture,,LIB,Josh GILPIN,14.0
Metcalfe,C101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,212.0
Metcalfe,C101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,92.0
Metcalfe,C101,Commissioner of Agriculture,,LIB,Josh GILPIN,12.0
Metcalfe,C102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,128.0
Metcalfe,C102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,53.0
Metcalfe,C102,Commissioner of Agriculture,,LIB,Josh GILPIN,2.0
Metcalfe,D101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,229.0
Metcalfe,D101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,84.0
Metcalfe,D101,Commissioner of Agriculture,,LIB,Josh GILPIN,15.0
Metcalfe,D102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,119.0
Metcalfe,D102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,37.0
Metcalfe,D102,Commissioner of Agriculture,,LIB,Josh GILPIN,5.0
