county,precinct,office,district,party,candidate,absentee_paper,absentee_machine,votes
Lee,St. Helens,Secretary of State,,DEM,Heather French Henry,,,72
Lee,Ivy Patch,Secretary of State,,DEM,Heather French Henry,,,34
Lee,Beattyville 4,Secretary of State,,DEM,Heather French Henry,,,40
Lee,Leeco,Secretary of State,,DEM,Heather French Henry,,,48
Lee,Sand Field,Secretary of State,,DEM,Heather French Henry,,,69
Lee,Heidelberg,Secretary of State,,DEM,Heather French Henry,,,45
Lee,Proctor,Secretary of State,,DEM,Heather French Henry,,,78
Lee,Absentee,Attorney General,,REP,Daniel Cameron,23,77,100
Lee,Beattyville 1,Attorney General,,REP,Daniel Cameron,,,89
Lee,Beattyville 2,Attorney General,,REP,Daniel Cameron,,,82
Lee,Beattyville 3,Attorney General,,REP,Daniel Cameron,,,178
Lee,St. Helens,Attorney General,,REP,Daniel Cameron,,,157
Lee,Ivy Patch,Attorney General,,REP,Daniel Cameron,,,141
Lee,Beattyville 4,Attorney General,,REP,Daniel Cameron,,,113
Lee,Leeco,Attorney General,,REP,Daniel Cameron,,,90
Lee,Sand Field,Attorney General,,REP,Daniel Cameron,,,181
Lee,Heidelberg,Attorney General,,REP,Daniel Cameron,,,99
Lee,Proctor,Attorney General,,REP,Daniel Cameron,,,234
Lee,Absentee,Attorney General,,DEM,Gregory D. Stumbo,14,23,37
Lee,Beattyville 1,Attorney General,,DEM,Gregory D. Stumbo,,,39
Lee,Beattyville 2,Attorney General,,DEM,Gregory D. Stumbo,,,45
Lee,Beattyville 3,Attorney General,,DEM,Gregory D. Stumbo,,,65
Lee,St. Helens,Attorney General,,DEM,Gregory D. Stumbo,,,65
Lee,Ivy Patch,Attorney General,,DEM,Gregory D. Stumbo,,,37
Lee,Beattyville 4,Attorney General,,DEM,Gregory D. Stumbo,,,40
Lee,Leeco,Attorney General,,DEM,Gregory D. Stumbo,,,47
Lee,Sand Field,Attorney General,,DEM,Gregory D. Stumbo,,,73
Lee,Heidelberg,Attorney General,,DEM,Gregory D. Stumbo,,,38
Lee,Proctor,Attorney General,,DEM,Gregory D. Stumbo,,,73
Lee,Absentee,Auditor of Public Accounts,,REP,Mike Harmon,18,76,94
Lee,Beattyville 1,Auditor of Public Accounts,,REP,Mike Harmon,,,86
Lee,Beattyville 2,Auditor of Public Accounts,,REP,Mike Harmon,,,86
Lee,Beattyville 3,Auditor of Public Accounts,,REP,Mike Harmon,,,182
Lee,St. Helens,Auditor of Public Accounts,,REP,Mike Harmon,,,160
Lee,Ivy Patch,Auditor of Public Accounts,,REP,Mike Harmon,,,154
Lee,Beattyville 4,Auditor of Public Accounts,,REP,Mike Harmon,,,104
Lee,Leeco,Auditor of Public Accounts,,REP,Mike Harmon,,,93
Lee,Sand Field,Auditor of Public Accounts,,REP,Mike Harmon,,,180
Lee,Heidelberg,Auditor of Public Accounts,,REP,Mike Harmon,,,97
Lee,Proctor,Auditor of Public Accounts,,REP,Mike Harmon,,,228
Lee,Absentee,Auditor of Public Accounts,,DEM,Sheri Donahue,17,21,38
Lee,Beattyville 1,Auditor of Public Accounts,,DEM,Sheri Donahue,,,33
Lee,Beattyville 2,Auditor of Public Accounts,,DEM,Sheri Donahue,,,33
Lee,Beattyville 3,Auditor of Public Accounts,,DEM,Sheri Donahue,,,48
Lee,St. Helens,Auditor of Public Accounts,,DEM,Sheri Donahue,,,51
Lee,Ivy Patch,Auditor of Public Accounts,,DEM,Sheri Donahue,,,19
Lee,Beattyville 4,Auditor of Public Accounts,,DEM,Sheri Donahue,,,34
Lee,Leeco,Auditor of Public Accounts,,DEM,Sheri Donahue,,,37
Lee,Sand Field,Auditor of Public Accounts,,DEM,Sheri Donahue,,,65
Lee,Heidelberg,Auditor of Public Accounts,,DEM,Sheri Donahue,,,31
Lee,Proctor,Auditor of Public Accounts,,DEM,Sheri Donahue,,,72
Lee,Absentee,Auditor of Public Accounts,,LIB,Kyle Hugenberg,0,0,0
Lee,Beattyville 1,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,3
Lee,Beattyville 2,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,5
Lee,Beattyville 3,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,8
Lee,St. Helens,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,4
Lee,Ivy Patch,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,3
Lee,Beattyville 4,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,7
Lee,Leeco,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,4
Lee,Sand Field,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,2
Lee,Heidelberg,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,3
Lee,Proctor,Auditor of Public Accounts,,LIB,Kyle Hugenberg,,,4
Lee,Absentee,State Treasurer,,REP,Allison Ball,23,79,102
Lee,Beattyville 1,State Treasurer,,REP,Allison Ball,,,94
Lee,Beattyville 2,State Treasurer,,REP,Allison Ball,,,95
Lee,Beattyville 3,State Treasurer,,REP,Allison Ball,,,187
Lee,St. Helens,State Treasurer,,REP,Allison Ball,,,161
Lee,Ivy Patch,State Treasurer,,REP,Allison Ball,,,147
Lee,Beattyville 4,State Treasurer,,REP,Allison Ball,,,112
Lee,Leeco,State Treasurer,,REP,Allison Ball,,,93
Lee,Sand Field,State Treasurer,,REP,Allison Ball,,,196
Lee,Heidelberg,State Treasurer,,REP,Allison Ball,,,103
Lee,Proctor,State Treasurer,,REP,Allison Ball,,,253
Lee,Absentee,State Treasurer,,DEM,Michael Bowman,14,17,31
Lee,Beattyville 1,State Treasurer,,DEM,Michael Bowman,,,31
Lee,Beattyville 2,State Treasurer,,DEM,Michael Bowman,,,34
Lee,Beattyville 3,State Treasurer,,DEM,Michael Bowman,,,51
Lee,St. Helens,State Treasurer,,DEM,Michael Bowman,,,56
Lee,Ivy Patch,State Treasurer,,DEM,Michael Bowman,,,29
Lee,Beattyville 4,State Treasurer,,DEM,Michael Bowman,,,33
Lee,Leeco,State Treasurer,,DEM,Michael Bowman,,,42
Lee,Sand Field,State Treasurer,,DEM,Michael Bowman,,,52
Lee,Heidelberg,State Treasurer,,DEM,Michael Bowman,,,31
Lee,Proctor,State Treasurer,,DEM,Michael Bowman,,,56
Lee,Absentee,Commissioner of Agriculture,,REP,Ryan R. Quarles,22,82,104
Lee,Beattyville 1,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,87
Lee,Beattyville 2,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,88
Lee,Beattyville 3,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,181
Lee,St. Helens,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,159
Lee,Ivy Patch,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,144
Lee,Beattyville 4,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,110
Lee,Leeco,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,93
Lee,Sand Field,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,196
Lee,Heidelberg,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,101
Lee,Proctor,Commissioner of Agriculture,,REP,Ryan R. Quarles,,,235
Lee,Absentee,Commissioner of Agriculture,,DEM,Robert Haley Conway,15,18,33
Lee,Beattyville 1,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,33
Lee,Beattyville 2,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,37
Lee,Beattyville 3,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,52
Lee,St. Helens,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,56
Lee,Ivy Patch,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,23
Lee,Beattyville 4,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,27
Lee,Leeco,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,36
Lee,Sand Field,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,52
Lee,Heidelberg,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,31
Lee,Proctor,Commissioner of Agriculture,,DEM,Robert Haley Conway,,,70
Lee,Absentee,Commissioner of Agriculture,,LIB,Josh Gilpin,0,0,0
Lee,Beattyville 1,Commissioner of Agriculture,,LIB,Josh Gilpin,,,2
Lee,Beattyville 2,Commissioner of Agriculture,,LIB,Josh Gilpin,,,2
Lee,Beattyville 3,Commissioner of Agriculture,,LIB,Josh Gilpin,,,5
Lee,St. Helens,Commissioner of Agriculture,,LIB,Josh Gilpin,,,4
Lee,Ivy Patch,Commissioner of Agriculture,,LIB,Josh Gilpin,,,7
Lee,Beattyville 4,Commissioner of Agriculture,,LIB,Josh Gilpin,,,5
Lee,Leeco,Commissioner of Agriculture,,LIB,Josh Gilpin,,,5
Lee,Sand Field,Commissioner of Agriculture,,LIB,Josh Gilpin,,,5
Lee,Heidelberg,Commissioner of Agriculture,,LIB,Josh Gilpin,,,4
Lee,Proctor,Commissioner of Agriculture,,LIB,Josh Gilpin,,,4
Lee,Absentee,Ballots Cast,,,,36,102,138
Lee,Beattyville 1,Ballots Cast,,,,,,155
Lee,Beattyville 2,Ballots Cast,,,,,,146
Lee,Beattyville 3,Ballots Cast,,,,,,270
Lee,St. Helens,Ballots Cast,,,,,,246
Lee,Ivy Patch,Ballots Cast,,,,,,205
Lee,Beattyville 4,Ballots Cast,,,,,,166
Lee,Leeco,Ballots Cast,,,,,,151
Lee,Sand Field,Ballots Cast,,,,,,272
Lee,Heidelberg,Ballots Cast,,,,,,152
Lee,Proctor,Ballots Cast,,,,,,343
Lee,Beattyville 1,Registered Voters,,,,,,425
Lee,Beattyville 2,Registered Voters,,,,,,463
Lee,Beattyville 3,Registered Voters,,,,,,578
Lee,St. Helens,Registered Voters,,,,,,55
Lee,Ivy Patch,Registered Voters,,,,,,546
Lee,Beattyville 4,Registered Voters,,,,,,442
Lee,Leeco,Registered Voters,,,,,,391
Lee,Sand Field,Registered Voters,,,,,,565
Lee,Heidelberg,Registered Voters,,,,,,459
Lee,Proctor,Registered Voters,,,,,,814
