county,office,district,party,candidate,votes
Carter,B103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,182.0
Carter,B103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,13.0
Carter,B104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,159.0
Carter,B104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,140.0
Carter,B104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,8.0
Carter,B105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,127.0
Carter,B105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,179.0
Carter,B105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,7.0
Carter,C101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,206.0
Carter,C101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,275.0
Carter,C101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,20.0
Carter,C102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,36.0
Carter,C102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,43.0
Carter,C102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,3.0
Carter,C103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,151.0
Carter,C103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,158.0
Carter,C103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,14.0
Carter,C104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,169.0
Carter,C104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,187.0
Carter,C104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Carter,D101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,103.0
Carter,D101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,101.0
Carter,D101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,5.0
Carter,D102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,58.0
Carter,D102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,40.0
Carter,D102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,2.0
Carter,D103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,83.0
Carter,D103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,112.0
Carter,D103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Carter,D104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,75.0
Carter,D104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,98.0
Carter,D104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Carter,D105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,47.0
Carter,D105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,57.0
Carter,D105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,5.0
Carter,D106,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,114.0
Carter,D106,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,122.0
Carter,D106,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,4.0
Carter,D107,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,90.0
Carter,D107,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,143.0
Carter,D107,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,11.0
Carter,E101,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,73.0
Carter,E101,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,65.0
Carter,E101,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,3.0
Carter,E102,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,169.0
Carter,E102,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,135.0
Carter,E102,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,5.0
Carter,E103,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,127.0
Carter,E103,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,175.0
Carter,E103,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,12.0
Carter,E104,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,174.0
Carter,E104,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,194.0
Carter,E104,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,14.0
Carter,E105,Governor and Lieutenant Governor,,REP,Matthew G. BEVIN / Ralph A. ALVARADO,188.0
Carter,E105,Governor and Lieutenant Governor,,DEM,Andy BESHEAR / Jacqueline COLEMAN,120.0
Carter,E105,Governor and Lieutenant Governor,,LIB,John HICKS / Ann CORMICAN,19.0
Carter,AB,Secretary of State,,REP,Michael G. ADAMS,193.0
Carter,AB,Secretary of State,,DEM,Heather French HENRY,214.0
Carter,A101,Secretary of State,,REP,Michael G. ADAMS,222.0
Carter,A101,Secretary of State,,DEM,Heather French HENRY,192.0
Carter,A102,Secretary of State,,REP,Michael G. ADAMS,109.0
Carter,A102,Secretary of State,,DEM,Heather French HENRY,75.0
Carter,A103,Secretary of State,,REP,Michael G. ADAMS,126.0
Carter,A103,Secretary of State,,DEM,Heather French HENRY,83.0
Carter,A104,Secretary of State,,REP,Michael G. ADAMS,98.0
Carter,A104,Secretary of State,,DEM,Heather French HENRY,92.0
Carter,A105,Secretary of State,,REP,Michael G. ADAMS,227.0
Carter,A105,Secretary of State,,DEM,Heather French HENRY,181.0
Carter,B101,Secretary of State,,REP,Michael G. ADAMS,175.0
Carter,B101,Secretary of State,,DEM,Heather French HENRY,198.0
Carter,B102,Secretary of State,,REP,Michael G. ADAMS,118.0
Carter,B102,Secretary of State,,DEM,Heather French HENRY,77.0
Carter,B103,Secretary of State,,REP,Michael G. ADAMS,185.0
Carter,B103,Secretary of State,,DEM,Heather French HENRY,172.0
Carter,B104,Secretary of State,,REP,Michael G. ADAMS,170.0
Carter,B104,Secretary of State,,DEM,Heather French HENRY,142.0
Carter,B105,Secretary of State,,REP,Michael G. ADAMS,148.0
Carter,B105,Secretary of State,,DEM,Heather French HENRY,163.0
Carter,C101,Secretary of State,,REP,Michael G. ADAMS,248.0
Carter,C101,Secretary of State,,DEM,Heather French HENRY,250.0
Carter,C102,Secretary of State,,REP,Michael G. ADAMS,48.0
Carter,C102,Secretary of State,,DEM,Heather French HENRY,35.0
Carter,C103,Secretary of State,,REP,Michael G. ADAMS,181.0
Carter,C103,Secretary of State,,DEM,Heather French HENRY,139.0
Carter,C104,Secretary of State,,REP,Michael G. ADAMS,194.0
Carter,C104,Secretary of State,,DEM,Heather French HENRY,171.0
Carter,D101,Secretary of State,,REP,Michael G. ADAMS,109.0
Carter,D101,Secretary of State,,DEM,Heather French HENRY,95.0
Carter,D102,Secretary of State,,REP,Michael G. ADAMS,62.0
Carter,D102,Secretary of State,,DEM,Heather French HENRY,37.0
Carter,D103,Secretary of State,,REP,Michael G. ADAMS,87.0
Carter,D103,Secretary of State,,DEM,Heather French HENRY,104.0
Carter,D104,Secretary of State,,REP,Michael G. ADAMS,82.0
Carter,D104,Secretary of State,,DEM,Heather French HENRY,86.0
Carter,D105,Secretary of State,,REP,Michael G. ADAMS,49.0
Carter,D105,Secretary of State,,DEM,Heather French HENRY,57.0
Carter,D106,Secretary of State,,REP,Michael G. ADAMS,126.0
Carter,D106,Secretary of State,,DEM,Heather French HENRY,113.0
Carter,D107,Secretary of State,,REP,Michael G. ADAMS,94.0
Carter,D107,Secretary of State,,DEM,Heather French HENRY,145.0
Carter,E101,Secretary of State,,REP,Michael G. ADAMS,85.0
Carter,E101,Secretary of State,,DEM,Heather French HENRY,55.0
Carter,E102,Secretary of State,,REP,Michael G. ADAMS,188.0
Carter,E102,Secretary of State,,DEM,Heather French HENRY,120.0
Carter,E103,Secretary of State,,REP,Michael G. ADAMS,167.0
Carter,E103,Secretary of State,,DEM,Heather French HENRY,146.0
Carter,E104,Secretary of State,,REP,Michael G. ADAMS,216.0
Carter,E104,Secretary of State,,DEM,Heather French HENRY,159.0
Carter,E105,Secretary of State,,REP,Michael G. ADAMS,225.0
Carter,E105,Secretary of State,,DEM,Heather French HENRY,107.0
Carter,AB,Attorney General,,REP,Daniel CAMERON,207.0
Carter,AB,Attorney General,,DEM,Gregory D. STUMBO,202.0
Carter,A101,Attorney General,,REP,Daniel CAMERON,233.0
Carter,A101,Attorney General,,DEM,Gregory D. STUMBO,182.0
Carter,A102,Attorney General,,REP,Daniel CAMERON,113.0
Carter,A102,Attorney General,,DEM,Gregory D. STUMBO,72.0
Carter,A103,Attorney General,,REP,Daniel CAMERON,134.0
Carter,A103,Attorney General,,DEM,Gregory D. STUMBO,76.0
Carter,A104,Attorney General,,REP,Daniel CAMERON,99.0
Carter,A104,Attorney General,,DEM,Gregory D. STUMBO,88.0
Carter,A105,Attorney General,,REP,Daniel CAMERON,231.0
Carter,A105,Attorney General,,DEM,Gregory D. STUMBO,177.0
Carter,B101,Attorney General,,REP,Daniel CAMERON,183.0
Carter,B101,Attorney General,,DEM,Gregory D. STUMBO,187.0
Carter,B102,Attorney General,,REP,Daniel CAMERON,124.0
Carter,B102,Attorney General,,DEM,Gregory D. STUMBO,70.0
Carter,B103,Attorney General,,REP,Daniel CAMERON,207.0
Carter,B103,Attorney General,,DEM,Gregory D. STUMBO,152.0
Carter,B104,Attorney General,,REP,Daniel CAMERON,172.0
Carter,B104,Attorney General,,DEM,Gregory D. STUMBO,137.0
Carter,B105,Attorney General,,REP,Daniel CAMERON,167.0
Carter,B105,Attorney General,,DEM,Gregory D. STUMBO,144.0
Carter,C101,Attorney General,,REP,Daniel CAMERON,251.0
Carter,C101,Attorney General,,DEM,Gregory D. STUMBO,248.0
Carter,C102,Attorney General,,REP,Daniel CAMERON,46.0
Carter,C102,Attorney General,,DEM,Gregory D. STUMBO,36.0
Carter,C103,Attorney General,,REP,Daniel CAMERON,178.0
Carter,C103,Attorney General,,DEM,Gregory D. STUMBO,144.0
Carter,C104,Attorney General,,REP,Daniel CAMERON,194.0
Carter,C104,Attorney General,,DEM,Gregory D. STUMBO,172.0
Carter,D101,Attorney General,,REP,Daniel CAMERON,110.0
Carter,D101,Attorney General,,DEM,Gregory D. STUMBO,94.0
Carter,D102,Attorney General,,REP,Daniel CAMERON,63.0
Carter,D102,Attorney General,,DEM,Gregory D. STUMBO,38.0
Carter,D103,Attorney General,,REP,Daniel CAMERON,94.0
Carter,D103,Attorney General,,DEM,Gregory D. STUMBO,105.0
Carter,D104,Attorney General,,REP,Daniel CAMERON,82.0
Carter,D104,Attorney General,,DEM,Gregory D. STUMBO,90.0
Carter,D105,Attorney General,,REP,Daniel CAMERON,51.0
Carter,D105,Attorney General,,DEM,Gregory D. STUMBO,57.0
Carter,D106,Attorney General,,REP,Daniel CAMERON,117.0
Carter,D106,Attorney General,,DEM,Gregory D. STUMBO,121.0
Carter,D107,Attorney General,,REP,Daniel CAMERON,106.0
Carter,D107,Attorney General,,DEM,Gregory D. STUMBO,133.0
Carter,E101,Attorney General,,REP,Daniel CAMERON,86.0
Carter,E101,Attorney General,,DEM,Gregory D. STUMBO,55.0
Carter,E102,Attorney General,,REP,Daniel CAMERON,198.0
Carter,E102,Attorney General,,DEM,Gregory D. STUMBO,111.0
Carter,E103,Attorney General,,REP,Daniel CAMERON,177.0
Carter,E103,Attorney General,,DEM,Gregory D. STUMBO,135.0
Carter,E104,Attorney General,,REP,Daniel CAMERON,209.0
Carter,E104,Attorney General,,DEM,Gregory D. STUMBO,171.0
Carter,E105,Attorney General,,REP,Daniel CAMERON,231.0
Carter,E105,Attorney General,,DEM,Gregory D. STUMBO,101.0
Carter,AB,Auditor of Public Accounts,,REP,Mike HARMON,217.0
Carter,AB,Auditor of Public Accounts,,DEM,Sheri DONAHUE,173.0
Carter,AB,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Carter,A101,Auditor of Public Accounts,,REP,Mike HARMON,239.0
Carter,A101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,151.0
Carter,A101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,18.0
Carter,A102,Auditor of Public Accounts,,REP,Mike HARMON,113.0
Carter,A102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,62.0
Carter,A102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,4.0
Carter,A103,Auditor of Public Accounts,,REP,Mike HARMON,134.0
Carter,A103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,64.0
Carter,A103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,5.0
Carter,A104,Auditor of Public Accounts,,REP,Mike HARMON,100.0
Carter,A104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,80.0
Carter,A104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,10.0
Carter,A105,Auditor of Public Accounts,,REP,Mike HARMON,227.0
Carter,A105,Auditor of Public Accounts,,DEM,Sheri DONAHUE,156.0
Carter,A105,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,11.0
Carter,B101,Auditor of Public Accounts,,REP,Mike HARMON,192.0
Carter,B101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,160.0
Carter,B101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Carter,B102,Auditor of Public Accounts,,REP,Mike HARMON,123.0
Carter,B102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,58.0
Carter,B102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,7.0
Carter,B103,Auditor of Public Accounts,,REP,Mike HARMON,202.0
Carter,B103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,137.0
Carter,B103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Carter,B104,Auditor of Public Accounts,,REP,Mike HARMON,184.0
Carter,B104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,119.0
Carter,B104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,7.0
Carter,B105,Auditor of Public Accounts,,REP,Mike HARMON,163.0
Carter,B105,Auditor of Public Accounts,,DEM,Sheri DONAHUE,138.0
Carter,B105,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Carter,C101,Auditor of Public Accounts,,REP,Mike HARMON,241.0
Carter,C101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,229.0
Carter,C101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,22.0
Carter,C102,Auditor of Public Accounts,,REP,Mike HARMON,47.0
Carter,C102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,31.0
Carter,C102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,3.0
Carter,C103,Auditor of Public Accounts,,REP,Mike HARMON,173.0
Carter,C103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,132.0
Carter,C103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,10.0
Carter,C104,Auditor of Public Accounts,,REP,Mike HARMON,205.0
Carter,C104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,142.0
Carter,C104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,14.0
Carter,D101,Auditor of Public Accounts,,REP,Mike HARMON,103.0
Carter,D101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,88.0
Carter,D101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,11.0
Carter,D102,Auditor of Public Accounts,,REP,Mike HARMON,59.0
Carter,D102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,36.0
Carter,D102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,2.0
Carter,D103,Auditor of Public Accounts,,REP,Mike HARMON,86.0
Carter,D103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,97.0
Carter,D103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,10.0
Carter,D104,Auditor of Public Accounts,,REP,Mike HARMON,89.0
Carter,D104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,73.0
Carter,D104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,5.0
Carter,D105,Auditor of Public Accounts,,REP,Mike HARMON,55.0
Carter,D105,Auditor of Public Accounts,,DEM,Sheri DONAHUE,47.0
Carter,D105,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,2.0
Carter,D106,Auditor of Public Accounts,,REP,Mike HARMON,136.0
Carter,D106,Auditor of Public Accounts,,DEM,Sheri DONAHUE,94.0
Carter,D106,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Carter,D107,Auditor of Public Accounts,,REP,Mike HARMON,104.0
Carter,D107,Auditor of Public Accounts,,DEM,Sheri DONAHUE,117.0
Carter,D107,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,11.0
Carter,E101,Auditor of Public Accounts,,REP,Mike HARMON,84.0
Carter,E101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,50.0
Carter,E101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Carter,E102,Auditor of Public Accounts,,REP,Mike HARMON,193.0
Carter,E102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,105.0
Carter,E102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,5.0
Carter,E103,Auditor of Public Accounts,,REP,Mike HARMON,183.0
Carter,E103,Auditor of Public Accounts,,DEM,Sheri DONAHUE,109.0
Carter,E103,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Carter,E104,Auditor of Public Accounts,,REP,Mike HARMON,230.0
Carter,E104,Auditor of Public Accounts,,DEM,Sheri DONAHUE,132.0
Carter,E104,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,10.0
Carter,E105,Auditor of Public Accounts,,REP,Mike HARMON,227.0
Carter,E105,Auditor of Public Accounts,,DEM,Sheri DONAHUE,85.0
Carter,E105,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,15.0
Carter,AB,State Treasurer,,REP,Allison BALL,227.0
Carter,AB,State Treasurer,,DEM,Michael BOWMAN,173.0
Carter,A101,State Treasurer,,REP,Allison BALL,261.0
Carter,A101,State Treasurer,,DEM,Michael BOWMAN,145.0
Carter,A102,State Treasurer,,REP,Allison BALL,119.0
Carter,A102,State Treasurer,,DEM,Michael BOWMAN,64.0
Carter,A103,State Treasurer,,REP,Allison BALL,133.0
Carter,A103,State Treasurer,,DEM,Michael BOWMAN,71.0
Carter,A104,State Treasurer,,REP,Allison BALL,100.0
Carter,A104,State Treasurer,,DEM,Michael BOWMAN,89.0
Carter,A105,State Treasurer,,REP,Allison BALL,240.0
Carter,A105,State Treasurer,,DEM,Michael BOWMAN,161.0
Carter,B101,State Treasurer,,REP,Allison BALL,209.0
Carter,B101,State Treasurer,,DEM,Michael BOWMAN,159.0
Carter,B102,State Treasurer,,REP,Allison BALL,127.0
Carter,B102,State Treasurer,,DEM,Michael BOWMAN,62.0
Carter,B103,State Treasurer,,REP,Allison BALL,210.0
Carter,B103,State Treasurer,,DEM,Michael BOWMAN,136.0
Carter,B104,State Treasurer,,REP,Allison BALL,192.0
Carter,B104,State Treasurer,,DEM,Michael BOWMAN,119.0
Carter,B105,State Treasurer,,REP,Allison BALL,176.0
Carter,B105,State Treasurer,,DEM,Michael BOWMAN,134.0
Carter,C101,State Treasurer,,REP,Allison BALL,262.0
Carter,C101,State Treasurer,,DEM,Michael BOWMAN,235.0
Carter,C102,State Treasurer,,REP,Allison BALL,51.0
Carter,C102,State Treasurer,,DEM,Michael BOWMAN,30.0
Carter,C103,State Treasurer,,REP,Allison BALL,183.0
Carter,C103,State Treasurer,,DEM,Michael BOWMAN,136.0
Carter,C104,State Treasurer,,REP,Allison BALL,207.0
Carter,C104,State Treasurer,,DEM,Michael BOWMAN,155.0
Carter,D101,State Treasurer,,REP,Allison BALL,117.0
Carter,D101,State Treasurer,,DEM,Michael BOWMAN,87.0
Carter,D102,State Treasurer,,REP,Allison BALL,63.0
Carter,D102,State Treasurer,,DEM,Michael BOWMAN,34.0
Carter,D103,State Treasurer,,REP,Allison BALL,98.0
Carter,D103,State Treasurer,,DEM,Michael BOWMAN,93.0
Carter,D104,State Treasurer,,REP,Allison BALL,92.0
Carter,D104,State Treasurer,,DEM,Michael BOWMAN,78.0
Carter,D105,State Treasurer,,REP,Allison BALL,57.0
Carter,D105,State Treasurer,,DEM,Michael BOWMAN,49.0
Carter,D106,State Treasurer,,REP,Allison BALL,139.0
Carter,D106,State Treasurer,,DEM,Michael BOWMAN,95.0
Carter,D107,State Treasurer,,REP,Allison BALL,108.0
Carter,D107,State Treasurer,,DEM,Michael BOWMAN,123.0
Carter,E101,State Treasurer,,REP,Allison BALL,90.0
Carter,E101,State Treasurer,,DEM,Michael BOWMAN,50.0
Carter,E102,State Treasurer,,REP,Allison BALL,203.0
Carter,E102,State Treasurer,,DEM,Michael BOWMAN,100.0
Carter,E103,State Treasurer,,REP,Allison BALL,195.0
Carter,E103,State Treasurer,,DEM,Michael BOWMAN,112.0
Carter,E104,State Treasurer,,REP,Allison BALL,241.0
Carter,E104,State Treasurer,,DEM,Michael BOWMAN,131.0
Carter,E105,State Treasurer,,REP,Allison BALL,234.0
Carter,E105,State Treasurer,,DEM,Michael BOWMAN,94.0
Carter,AB,Commissioner of Agriculture,,REP,Ryan F. QUARLES,216.0
Carter,AB,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,173.0
Carter,AB,Commissioner of Agriculture,,LIB,Josh GILPIN,11.0
Carter,A101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,241.0
Carter,A101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,158.0
Carter,A101,Commissioner of Agriculture,,LIB,Josh GILPIN,8.0
Carter,A102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,116.0
Carter,A102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,64.0
Carter,A102,Commissioner of Agriculture,,LIB,Josh GILPIN,2.0
Carter,A103,Commissioner of Agriculture,,REP,Ryan F. QUARLES,127.0
Carter,A103,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,69.0
Carter,A103,Commissioner of Agriculture,,LIB,Josh GILPIN,9.0
Carter,A104,Commissioner of Agriculture,,REP,Ryan F. QUARLES,98.0
Carter,A104,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,82.0
Carter,A104,Commissioner of Agriculture,,LIB,Josh GILPIN,8.0
Carter,A105,Commissioner of Agriculture,,REP,Ryan F. QUARLES,230.0
Carter,A105,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,159.0
Carter,A105,Commissioner of Agriculture,,LIB,Josh GILPIN,10.0
Carter,B101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,193.0
Carter,B101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,156.0
Carter,B101,Commissioner of Agriculture,,LIB,Josh GILPIN,10.0
Carter,B102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,120.0
Carter,B102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,60.0
Carter,B102,Commissioner of Agriculture,,LIB,Josh GILPIN,8.0
Carter,B103,Commissioner of Agriculture,,REP,Ryan F. QUARLES,200.0
