county,office,district,party,candidate,votes
Bracken,A101,Attorney General,,REP,Daniel CAMERON,244.0
Bracken,A101,Attorney General,,DEM,Gregory D. STUMBO,102.0
Bracken,B101,Attorney General,,REP,Daniel CAMERON,166.0
Bracken,B101,Attorney General,,DEM,Gregory D. STUMBO,102.0
Bracken,C101,Attorney General,,REP,Daniel CAMERON,179.0
Bracken,C101,Attorney General,,DEM,Gregory D. STUMBO,107.0
Bracken,D101,Attorney General,,REP,Daniel CAMERON,220.0
Bracken,D101,Attorney General,,DEM,Gregory D. STUMBO,82.0
Bracken,E101,Attorney General,,REP,Daniel CAMERON,168.0
Bracken,E101,Attorney General,,DEM,Gregory D. STUMBO,104.0
Bracken,F101,Attorney General,,REP,Daniel CAMERON,170.0
Bracken,F101,Attorney General,,DEM,Gregory D. STUMBO,101.0
Bracken,G101,Attorney General,,REP,Daniel CAMERON,205.0
Bracken,G101,Attorney General,,DEM,Gregory D. STUMBO,71.0
Bracken,H101,Attorney General,,REP,Daniel CAMERON,157.0
Bracken,H101,Attorney General,,DEM,Gregory D. STUMBO,110.0
Bracken,AB,Auditor of Public Accounts,,REP,Mike HARMON,111.0
Bracken,AB,Auditor of Public Accounts,,DEM,Sheri DONAHUE,76.0
Bracken,AB,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,2.0
Bracken,A101,Auditor of Public Accounts,,REP,Mike HARMON,226.0
Bracken,A101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,107.0
Bracken,A101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,14.0
Bracken,B101,Auditor of Public Accounts,,REP,Mike HARMON,160.0
Bracken,B101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,96.0
Bracken,B101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,7.0
Bracken,C101,Auditor of Public Accounts,,REP,Mike HARMON,164.0
Bracken,C101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,112.0
Bracken,C101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Bracken,D101,Auditor of Public Accounts,,REP,Mike HARMON,215.0
Bracken,D101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,78.0
Bracken,D101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Bracken,E101,Auditor of Public Accounts,,REP,Mike HARMON,148.0
Bracken,E101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,108.0
Bracken,E101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Bracken,F101,Auditor of Public Accounts,,REP,Mike HARMON,163.0
Bracken,F101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,93.0
Bracken,F101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,11.0
Bracken,G101,Auditor of Public Accounts,,REP,Mike HARMON,202.0
Bracken,G101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,66.0
Bracken,G101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Bracken,H101,Auditor of Public Accounts,,REP,Mike HARMON,153.0
Bracken,H101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,104.0
Bracken,H101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Bracken,AB,State Treasurer,,REP,Allison BALL,111.0
Bracken,AB,State Treasurer,,DEM,Michael BOWMAN,81.0
Bracken,A101,State Treasurer,,REP,Allison BALL,237.0
Bracken,A101,State Treasurer,,DEM,Michael BOWMAN,107.0
Bracken,B101,State Treasurer,,REP,Allison BALL,173.0
Bracken,B101,State Treasurer,,DEM,Michael BOWMAN,90.0
Bracken,C101,State Treasurer,,REP,Allison BALL,186.0
Bracken,C101,State Treasurer,,DEM,Michael BOWMAN,100.0
Bracken,D101,State Treasurer,,REP,Allison BALL,222.0
Bracken,D101,State Treasurer,,DEM,Michael BOWMAN,77.0
Bracken,E101,State Treasurer,,REP,Allison BALL,175.0
Bracken,E101,State Treasurer,,DEM,Michael BOWMAN,94.0
Bracken,F101,State Treasurer,,REP,Allison BALL,176.0
Bracken,F101,State Treasurer,,DEM,Michael BOWMAN,89.0
Bracken,G101,State Treasurer,,REP,Allison BALL,209.0
Bracken,G101,State Treasurer,,DEM,Michael BOWMAN,66.0
Bracken,H101,State Treasurer,,REP,Allison BALL,160.0
Bracken,H101,State Treasurer,,DEM,Michael BOWMAN,107.0
Bracken,AB,Commissioner of Agriculture,,REP,Ryan F. QUARLES,113.0
Bracken,AB,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,78.0
Bracken,AB,Commissioner of Agriculture,,LIB,Josh GILPIN,2.0
Bracken,A101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,233.0
Bracken,A101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,108.0
Bracken,A101,Commissioner of Agriculture,,LIB,Josh GILPIN,10.0
Bracken,B101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,161.0
Bracken,B101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,100.0
Bracken,B101,Commissioner of Agriculture,,LIB,Josh GILPIN,6.0
Bracken,C101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,170.0
Bracken,C101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,108.0
Bracken,C101,Commissioner of Agriculture,,LIB,Josh GILPIN,7.0
Bracken,D101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,230.0
Bracken,D101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,68.0
Bracken,D101,Commissioner of Agriculture,,LIB,Josh GILPIN,4.0
Bracken,E101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,164.0
Bracken,E101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,98.0
Bracken,E101,Commissioner of Agriculture,,LIB,Josh GILPIN,4.0
Bracken,F101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,167.0
Bracken,F101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,94.0
Bracken,F101,Commissioner of Agriculture,,LIB,Josh GILPIN,9.0
Bracken,G101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,200.0
Bracken,G101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,70.0
Bracken,G101,Commissioner of Agriculture,,LIB,Josh GILPIN,6.0
Bracken,H101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,151.0
Bracken,H101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,107.0
Bracken,H101,Commissioner of Agriculture,,LIB,Josh GILPIN,8.0
