county,office,district,party,candidate,votes
Edmonson,A101,Attorney General,,DEM,Gregory D. STUMBO,92.0
Edmonson,A102,Attorney General,,REP,Daniel CAMERON,327.0
Edmonson,A102,Attorney General,,DEM,Gregory D. STUMBO,146.0
Edmonson,B101,Attorney General,,REP,Daniel CAMERON,432.0
Edmonson,B101,Attorney General,,DEM,Gregory D. STUMBO,140.0
Edmonson,C101,Attorney General,,REP,Daniel CAMERON,163.0
Edmonson,C101,Attorney General,,DEM,Gregory D. STUMBO,82.0
Edmonson,C102,Attorney General,,REP,Daniel CAMERON,247.0
Edmonson,C102,Attorney General,,DEM,Gregory D. STUMBO,78.0
Edmonson,D101,Attorney General,,REP,Daniel CAMERON,429.0
Edmonson,D101,Attorney General,,DEM,Gregory D. STUMBO,154.0
Edmonson,E101,Attorney General,,REP,Daniel CAMERON,361.0
Edmonson,E101,Attorney General,,DEM,Gregory D. STUMBO,147.0
Edmonson,F101,Attorney General,,REP,Daniel CAMERON,370.0
Edmonson,F101,Attorney General,,DEM,Gregory D. STUMBO,172.0
Edmonson,AB,Auditor of Public Accounts,,REP,Mike HARMON,130.0
Edmonson,AB,Auditor of Public Accounts,,DEM,Sheri DONAHUE,53.0
Edmonson,AB,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,1.0
Edmonson,A101,Auditor of Public Accounts,,REP,Mike HARMON,157.0
Edmonson,A101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,76.0
Edmonson,A101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Edmonson,A102,Auditor of Public Accounts,,REP,Mike HARMON,328.0
Edmonson,A102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,125.0
Edmonson,A102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,9.0
Edmonson,B101,Auditor of Public Accounts,,REP,Mike HARMON,417.0
Edmonson,B101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,131.0
Edmonson,B101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,6.0
Edmonson,C101,Auditor of Public Accounts,,REP,Mike HARMON,170.0
Edmonson,C101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,60.0
Edmonson,C101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,7.0
Edmonson,C102,Auditor of Public Accounts,,REP,Mike HARMON,231.0
Edmonson,C102,Auditor of Public Accounts,,DEM,Sheri DONAHUE,75.0
Edmonson,C102,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,11.0
Edmonson,D101,Auditor of Public Accounts,,REP,Mike HARMON,413.0
Edmonson,D101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,144.0
Edmonson,D101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,7.0
Edmonson,E101,Auditor of Public Accounts,,REP,Mike HARMON,365.0
Edmonson,E101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,128.0
Edmonson,E101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Edmonson,F101,Auditor of Public Accounts,,REP,Mike HARMON,358.0
Edmonson,F101,Auditor of Public Accounts,,DEM,Sheri DONAHUE,160.0
Edmonson,F101,Auditor of Public Accounts,,LIB,Kyle HUGENBERG,8.0
Edmonson,AB,State Treasurer,,REP,Allison BALL,130.0
Edmonson,AB,State Treasurer,,DEM,Michael BOWMAN,53.0
Edmonson,A101,State Treasurer,,REP,Allison BALL,172.0
Edmonson,A101,State Treasurer,,DEM,Michael BOWMAN,74.0
Edmonson,A102,State Treasurer,,REP,Allison BALL,344.0
Edmonson,A102,State Treasurer,,DEM,Michael BOWMAN,123.0
Edmonson,B101,State Treasurer,,REP,Allison BALL,459.0
Edmonson,B101,State Treasurer,,DEM,Michael BOWMAN,103.0
Edmonson,C101,State Treasurer,,REP,Allison BALL,178.0
Edmonson,C101,State Treasurer,,DEM,Michael BOWMAN,62.0
Edmonson,C102,State Treasurer,,REP,Allison BALL,258.0
Edmonson,C102,State Treasurer,,DEM,Michael BOWMAN,64.0
Edmonson,D101,State Treasurer,,REP,Allison BALL,431.0
Edmonson,D101,State Treasurer,,DEM,Michael BOWMAN,142.0
Edmonson,E101,State Treasurer,,REP,Allison BALL,387.0
Edmonson,E101,State Treasurer,,DEM,Michael BOWMAN,121.0
Edmonson,F101,State Treasurer,,REP,Allison BALL,391.0
Edmonson,F101,State Treasurer,,DEM,Michael BOWMAN,142.0
Edmonson,AB,Commissioner of Agriculture,,REP,Ryan F. QUARLES,140.0
Edmonson,AB,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,48.0
Edmonson,AB,Commissioner of Agriculture,,LIB,Josh GILPIN,1.0
Edmonson,A101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,173.0
Edmonson,A101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,68.0
Edmonson,A101,Commissioner of Agriculture,,LIB,Josh GILPIN,7.0
Edmonson,A102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,347.0
Edmonson,A102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,117.0
Edmonson,A102,Commissioner of Agriculture,,LIB,Josh GILPIN,7.0
Edmonson,B101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,452.0
Edmonson,B101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,107.0
Edmonson,B101,Commissioner of Agriculture,,LIB,Josh GILPIN,8.0
Edmonson,C101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,181.0
Edmonson,C101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,56.0
Edmonson,C101,Commissioner of Agriculture,,LIB,Josh GILPIN,6.0
Edmonson,C102,Commissioner of Agriculture,,REP,Ryan F. QUARLES,253.0
Edmonson,C102,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,64.0
Edmonson,C102,Commissioner of Agriculture,,LIB,Josh GILPIN,9.0
Edmonson,D101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,442.0
Edmonson,D101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,129.0
Edmonson,D101,Commissioner of Agriculture,,LIB,Josh GILPIN,6.0
Edmonson,E101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,387.0
Edmonson,E101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,120.0
Edmonson,E101,Commissioner of Agriculture,,LIB,Josh GILPIN,12.0
Edmonson,F101,Commissioner of Agriculture,,REP,Ryan F. QUARLES,391.0
Edmonson,F101,Commissioner of Agriculture,,DEM,Robert Haley CONWAY,150.0
Edmonson,F101,Commissioner of Agriculture,,LIB,Josh GILPIN,11.0
