county,precinct,office,district,party,candidate,votes,election_day
Clay,E102,Secretary of State,,,Michael G. ADAMS,48,48
Clay,E103,Secretary of State,,,Michael G. ADAMS,111,111
Clay,E104,Secretary of State,,,Michael G. ADAMS,10,10
Clay,F101,Secretary of State,,,Michael G. ADAMS,67,67
Clay,F102,Secretary of State,,,Michael G. ADAMS,81,81
Clay,F104,Secretary of State,,,Michael G. ADAMS,71,71
Clay,ABSENTEE MACHINE,Secretary of State,,,Michael G. ADAMS,18,18
Clay,ABSENTEE PAPER,Secretary of State,,,Michael G. ADAMS,4,4
Clay,A101,Secretary of State,,,Andrew ENGLISH,26,26
Clay,A106,Secretary of State,,,Andrew ENGLISH,38,38
Clay,A107,Secretary of State,,,Andrew ENGLISH,17,17
Clay,B101,Secretary of State,,,Andrew ENGLISH,19,19
Clay,B103,Secretary of State,,,Andrew ENGLISH,15,15
Clay,B104,Secretary of State,,,Andrew ENGLISH,51,51
Clay,C101,Secretary of State,,,Andrew ENGLISH,14,14
Clay,C102,Secretary of State,,,Andrew ENGLISH,10,10
Clay,C103,Secretary of State,,,Andrew ENGLISH,13,13
Clay,C104,Secretary of State,,,Andrew ENGLISH,27,27
Clay,D102,Secretary of State,,,Andrew ENGLISH,9,9
Clay,D103,Secretary of State,,,Andrew ENGLISH,16,16
Clay,D104,Secretary of State,,,Andrew ENGLISH,15,15
Clay,E101,Secretary of State,,,Andrew ENGLISH,12,12
Clay,E102,Secretary of State,,,Andrew ENGLISH,18,18
Clay,E103,Secretary of State,,,Andrew ENGLISH,25,25
Clay,E104,Secretary of State,,,Andrew ENGLISH,6,6
Clay,F101,Secretary of State,,,Andrew ENGLISH,36,36
Clay,F102,Secretary of State,,,Andrew ENGLISH,27,27
Clay,F104,Secretary of State,,,Andrew ENGLISH,27,27
Clay,ABSENTEE MACHINE,Secretary of State,,,Andrew ENGLISH,14,14
Clay,ABSENTEE PAPER,Secretary of State,,,Andrew ENGLISH,6,6
Clay,A101,Secretary of State,,,Stephen L. KNIPPER,13,13
Clay,A106,Secretary of State,,,Stephen L. KNIPPER,20,20
Clay,A107,Secretary of State,,,Stephen L. KNIPPER,6,6
Clay,B101,Secretary of State,,,Stephen L. KNIPPER,8,8
Clay,B103,Secretary of State,,,Stephen L. KNIPPER,6,6
Clay,B104,Secretary of State,,,Stephen L. KNIPPER,46,46
Clay,C101,Secretary of State,,,Stephen L. KNIPPER,11,11
Clay,C102,Secretary of State,,,Stephen L. KNIPPER,16,16
Clay,C103,Secretary of State,,,Stephen L. KNIPPER,12,12
Clay,C104,Secretary of State,,,Stephen L. KNIPPER,24,24
Clay,D102,Secretary of State,,,Stephen L. KNIPPER,2,2
Clay,D103,Secretary of State,,,Stephen L. KNIPPER,22,22
Clay,D104,Secretary of State,,,Stephen L. KNIPPER,5,5
Clay,E101,Secretary of State,,,Stephen L. KNIPPER,9,9
Clay,E102,Secretary of State,,,Stephen L. KNIPPER,10,10
Clay,E103,Secretary of State,,,Stephen L. KNIPPER,28,28
Clay,E104,Secretary of State,,,Stephen L. KNIPPER,2,2
Clay,F101,Secretary of State,,,Stephen L. KNIPPER,22,22
Clay,F102,Secretary of State,,,Stephen L. KNIPPER,19,19
Clay,F104,Secretary of State,,,Stephen L. KNIPPER,18,18
Clay,ABSENTEE MACHINE,Secretary of State,,,Stephen L. KNIPPER,7,7
Clay,ABSENTEE PAPER,Secretary of State,,,Stephen L. KNIPPER,3,3
Clay,A101,Secretary of State,,,Carl NETT,7,7
Clay,A106,Secretary of State,,,Carl NETT,15,15
Clay,A107,Secretary of State,,,Carl NETT,12,12
Clay,B101,Secretary of State,,,Carl NETT,12,12
Clay,B103,Secretary of State,,,Carl NETT,7,7
Clay,B104,Secretary of State,,,Carl NETT,23,23
Clay,C101,Secretary of State,,,Carl NETT,7,7
Clay,C102,Secretary of State,,,Carl NETT,5,5
Clay,C103,Secretary of State,,,Carl NETT,9,9
Clay,C104,Secretary of State,,,Carl NETT,20,20
Clay,D102,Secretary of State,,,Carl NETT,1,1
Clay,D103,Secretary of State,,,Carl NETT,6,6
Clay,D104,Secretary of State,,,Carl NETT,4,4
Clay,E101,Secretary of State,,,Carl NETT,7,7
