county,precinct,office,district,party,candidate,eslate,escan,votes,absentee_mail,absentee
Washington,Mackville,U.S. House,2,DEM,Hank Linderman,16,51,67,,
Washington,Mackville,U.S. House,2,IND,Thomas A. Loecken,3,3,6,,
Washington,Mackville,State Senate,22,REP,Tom Buford,58,131,189,,
Washington,Mackville,State Senate,22,DEM,Carolyn DuPont,26,75,101,,
Washington,Mackville,State House,55,REP,Kim King,60,141,201,,
Washington,Mackville,State House,55,DEM,Cathy Carter,25,72,97,,
Washington,Housing Project,Straight Party,,REP,Republican,20,37,57,,
Washington,Housing Project,Straight Party,,DEM,Democratic,26,64,90,,
Washington,Housing Project,U.S. House,2,REP,S. Brett Guthrie,57,122,179,,
Washington,Housing Project,U.S. House,2,DEM,Hank Linderman,50,92,142,,
Washington,Housing Project,U.S. House,2,IND,Thomas A. Loecken,4,5,9,,
Washington,Housing Project,State Senate,22,REP,Tom Buford,41,104,145,,
Washington,Housing Project,State Senate,22,DEM,Carolyn DuPont,72,117,189,,
Washington,Housing Project,State House,55,REP,Kim King,54,117,171,,
Washington,Housing Project,State House,55,DEM,Cathy Carter,58,109,167,,
Washington,Presbyterian Church,Straight Party,,REP,Republican,2,30,32,,
Washington,Presbyterian Church,Straight Party,,DEM,Democratic,14,85,99,,
Washington,Presbyterian Church,U.S. House,2,REP,S. Brett Guthrie,16,163,179,,
Washington,Presbyterian Church,U.S. House,2,DEM,Hank Linderman,9,160,169,,
Washington,Presbyterian Church,U.S. House,2,IND,Thomas A. Loecken,2,3,5,,
Washington,Presbyterian Church,State Senate,22,REP,Tom Buford,8,136,144,,
Washington,Presbyterian Church,State Senate,22,DEM,Carolyn DuPont,19,201,220,,
Washington,Presbyterian Church,State House,55,REP,Kim King,15,150,165,,
Washington,Presbyterian Church,State House,55,DEM,Cathy Carter,12,182,194,,
Washington,Library,Straight Party,,REP,Republican,6,25,31,,
Washington,Library,Straight Party,,DEM,Democratic,10,35,45,,
Washington,Library,U.S. House,2,REP,S. Brett Guthrie,37,88,125,,
Washington,Library,U.S. House,2,DEM,Hank Linderman,27,63,90,,
Washington,Library,U.S. House,2,IND,Thomas A. Loecken,1,6,7,,
Washington,Library,State Senate,22,REP,Tom Buford,32,76,108,,
Washington,Library,State Senate,22,DEM,Carolyn DuPont,34,82,116,,
Washington,Library,State House,55,REP,Kim King,39,99,138,,
Washington,Library,State House,55,DEM,Cathy Carter,28,70,98,,
Washington,New Armory,Straight Party,,REP,Republican,5,43,48,,
Washington,New Armory,Straight Party,,DEM,Democratic,8,64,72,,
Washington,New Armory,U.S. House,2,REP,S. Brett Guthrie,46,232,278,,
Washington,New Armory,U.S. House,2,DEM,Hank Linderman,26,156,182,,
Washington,New Armory,U.S. House,2,IND,Thomas A. Loecken,1,11,12,,
Washington,New Armory,State Senate,22,REP,Tom Buford,38,194,232,,
Washington,New Armory,State Senate,22,DEM,Carolyn DuPont,35,199,234,,
Washington,New Armory,State House,55,REP,Kim King,46,246,292,,
Washington,New Armory,State House,55,DEM,Cathy Carter,30,162,192,,
Washington,Fredericktown,Straight Party,,REP,Republican,8,39,47,,
Washington,Fredericktown,Straight Party,,DEM,Democratic,3,39,42,,
Washington,Fredericktown,U.S. House,2,REP,S. Brett Guthrie,31,183,214,,
Washington,Fredericktown,U.S. House,2,DEM,Hank Linderman,14,92,106,,
Washington,Fredericktown,U.S. House,2,IND,Thomas A. Loecken,4,4,8,,
Washington,Fredericktown,State Senate,22,REP,Tom Buford,27,167,194,,
Washington,Fredericktown,State Senate,22,DEM,Carolyn DuPont,21,116,137,,
Washington,Fredericktown,State House,55,REP,Kim King,28,201,229,,
Washington,Fredericktown,State House,55,DEM,Cathy Carter,18,88,106,,
Washington,City Hall,Straight Party,,REP,Republican,1,61,62,,
Washington,City Hall,Straight Party,,DEM,Democratic,1,69,70,,
Washington,City Hall,U.S. House,2,REP,S. Brett Guthrie,7,379,386,,
Washington,City Hall,U.S. House,2,DEM,Hank Linderman,5,172,177,,
Washington,City Hall,U.S. House,2,IND,Thomas A. Loecken,0,13,13,,
Washington,City Hall,State Senate,22,REP,Tom Buford,5,305,310,,
Washington,City Hall,State Senate,22,DEM,Carolyn DuPont,7,272,279,,
Washington,City Hall,State House,55,REP,Kim King,6,385,391,,
Washington,City Hall,State House,55,DEM,Cathy Carter,5,206,211,,
Washington,Absentee - CD 1,Straight Party,,REP,Republican,,,0,0,0
Washington,Absentee - CD 1,Straight Party,,DEM,Democratic,,,2,1,1
Washington,Absentee - CD 1,U.S. House,1,REP,James R. Comer,,,5,0,5
Washington,Absentee - CD 1,U.S. House,1,DEM,Paul Walker,,,3,1,2
Washington,Absentee - CD 1,State Senate,22,REP,Tom Buford,,,3,0,3
Washington,Absentee - CD 1,State Senate,22,DEM,Carolyn DuPont,,,5,1,4
Washington,Absentee - CD 1,State House,55,REP,Kim King,,,4,0,4
Washington,Absentee - CD 1,State House,55,DEM,Cathy Carter,,,4,1,3
Washington,Pottsville,Straight Party,,REP,Republican,15,19,34,,
Washington,Pottsville,Straight Party,,DEM,Democratic,6,12,18,,
Washington,Pottsville,U.S. House,1,REP,James R. Comer,52,71,123,,
Washington,Pottsville,U.S. House,1,DEM,Paul Walker,29,37,66,,
Washington,Pottsville,State Senate,22,REP,Tom Buford,56,61,117,,
Washington,Pottsville,State Senate,22,DEM,Carolyn DuPont,27,45,72,,
Washington,Pottsville,State House,55,REP,Kim King,58,73,131,,
Washington,Pottsville,State House,55,DEM,Cathy Carter,24,37,61,,
