county,precinct,office,district,party,candidate,eslate,escan,votes,mail,walk_in
Metcalfe,Summer Shade,Straight Party,,DEM,Democratic,0,32,32,,
Metcalfe,Summer Shade,U.S. House,1,REP,James R. Comer,0,267,267,,
Metcalfe,Summer Shade,U.S. House,1,DEM,Paul Walker,0,86,86,,
Metcalfe,Summer Shade,State House,21,,Bart Rowland,0,248,248,,
Metcalfe,Summer Shade,State House,21,,Jarrett Cox,0,97,97,,
Metcalfe,Willow Shade-Beaumont,Straight Party,,REP,Republican,0,48,48,,
Metcalfe,Willow Shade-Beaumont,Straight Party,,DEM,Democratic,0,24,24,,
Metcalfe,Willow Shade-Beaumont,U.S. House,1,REP,James R. Comer,0,160,160,,
Metcalfe,Willow Shade-Beaumont,U.S. House,1,DEM,Paul Walker,0,51,51,,
Metcalfe,Willow Shade-Beaumont,State House,21,,Bart Rowland,0,146,146,,
Metcalfe,Willow Shade-Beaumont,State House,21,,Jarrett Cox,0,60,60,,
Metcalfe,Good Luck-Curtis,Straight Party,,REP,Republican,0,3,3,,
Metcalfe,Good Luck-Curtis,Straight Party,,DEM,Democratic,0,32,32,,
Metcalfe,Good Luck-Curtis,U.S. House,1,REP,James R. Comer,0,299,299,,
Metcalfe,Good Luck-Curtis,U.S. House,1,DEM,Paul Walker,0,84,84,,
Metcalfe,Good Luck-Curtis,State House,21,,Bart Rowland,0,282,282,,
Metcalfe,Good Luck-Curtis,State House,21,,Jarrett Cox,0,98,98,,
Metcalfe,Moore Springs-Flat Rock,Straight Party,,REP,Republican,8,55,63,,
Metcalfe,Moore Springs-Flat Rock,Straight Party,,DEM,Democratic,0,18,18,,
Metcalfe,Moore Springs-Flat Rock,U.S. House,1,REP,James R. Comer,19,141,160,,
Metcalfe,Moore Springs-Flat Rock,U.S. House,1,DEM,Paul Walker,2,36,38,,
Metcalfe,Moore Springs-Flat Rock,State House,21,,Bart Rowland,18,135,153,,
Metcalfe,Moore Springs-Flat Rock,State House,21,,Jarrett Cox,3,39,42,,
