candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
Andy Barr,U.S. House,6,REP,Woodford,Simmons School City,40,96,,,136
Amy McGrath,U.S. House,6,DEM,Woodford,Simmons School City,77,128,,,205
Frank Harris,U.S. House,6,LIB,Woodford,Simmons School City,,3,,,3
Rikka L. Wallin,U.S. House,6,IND,Woodford,Simmons School City,,,,,0
James Germalic,U.S. House,6,IND,Woodford,Simmons School City,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Simmons School City,31,83,,,114
Joe Graviss,State Representative,56,DEM,Woodford,Simmons School City,83,136,,,219
Andy Barr,U.S. House,6,REP,Woodford,High School County,117,340,,,457
Amy McGrath,U.S. House,6,DEM,Woodford,High School County,79,245,,,324
Frank Harris,U.S. House,6,LIB,Woodford,High School County,3,4,,,7
Rikka L. Wallin,U.S. House,6,IND,Woodford,High School County,1,,,,1
James Germalic,U.S. House,6,IND,Woodford,High School County,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,High School County,97,277,,,374
Joe Graviss,State Representative,56,DEM,Woodford,High School County,100,304,,,404
Andy Barr,U.S. House,6,REP,Woodford,High School City,90,244,,,334
Amy McGrath,U.S. House,6,DEM,Woodford,High School City,36,207,,,243
Frank Harris,U.S. House,6,LIB,Woodford,High School City,5,6,,,11
Rikka L. Wallin,U.S. House,6,IND,Woodford,High School City,2,2,,,4
James Germalic,U.S. House,6,IND,Woodford,High School City,,2,,,2
Daniel A. Fister,State Representative,56,REP,Woodford,High School City,74,194,,,268
Joe Graviss,State Representative,56,DEM,Woodford,High School City,106,267,,,373
Andy Barr,U.S. House,6,REP,Woodford,Middle School,104,353,,,457
Amy McGrath,U.S. House,6,DEM,Woodford,Middle School,96,262,,,358
Frank Harris,U.S. House,6,LIB,Woodford,Middle School,2,2,,,4
Rikka L. Wallin,U.S. House,6,IND,Woodford,Middle School,0,0,,,0
James Germalic,U.S. House,6,IND,Woodford,Middle School,1,2,,,3
Daniel A. Fister,State Representative,56,REP,Woodford,Middle School,86,296,,,382
Joe Graviss,State Representative,56,DEM,Woodford,Middle School,113,310,,,423
Andy Barr,U.S. House,6,REP,Woodford,Community Education Center,86,255,,,341
Amy McGrath,U.S. House,6,DEM,Woodford,Community Education Center,66,215,,,281
Frank Harris,U.S. House,6,LIB,Woodford,Community Education Center,,4,,,4
Rikka L. Wallin,U.S. House,6,IND,Woodford,Community Education Center,,1,,,1
James Germalic,U.S. House,6,IND,Woodford,Community Education Center,1,,,,1
Daniel A. Fister,State Representative,56,REP,Woodford,Community Education Center,76,213,,,289
Joe Graviss,State Representative,56,DEM,Woodford,Community Education Center,72,347,,,419
Andy Barr,U.S. House,6,REP,Woodford,Courthouse,52,207,,,259
Amy McGrath,U.S. House,6,DEM,Woodford,Courthouse,59,223,,,282
Frank Harris,U.S. House,6,LIB,Woodford,Courthouse,1,1,,,2
Rikka L. Wallin,U.S. House,6,IND,Woodford,Courthouse,,1,,,1
James Germalic,U.S. House,6,IND,Woodford,Courthouse,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Courthouse,36,149,,,185
Joe Graviss,State Representative,56,DEM,Woodford,Courthouse,73,232,,,305
Andy Barr,U.S. House,6,REP,Woodford,Big Sink Firehouse,51,171,,,222
Amy McGrath,U.S. House,6,DEM,Woodford,Big Sink Firehouse,79,210,,,289
Frank Harris,U.S. House,6,LIB,Woodford,Big Sink Firehouse,2,1,,,3
Rikka L. Wallin,U.S. House,6,IND,Woodford,Big Sink Firehouse,,,,,0
James Germalic,U.S. House,6,IND,Woodford,Big Sink Firehouse,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Big Sink Firehouse,47,137,,,184
Joe Graviss,State Representative,56,DEM,Woodford,Big Sink Firehouse,83,234,,,317
Andy Barr,U.S. House,6,REP,Woodford,Huntertown Church of Naza,109,405,,,514
Amy McGrath,U.S. House,6,DEM,Woodford,Huntertown Church of Naza,71,244,,,315
Frank Harris,U.S. House,6,LIB,Woodford,Huntertown Church of Naza,2,5,,,7
Rikka L. Wallin,U.S. House,6,IND,Woodford,Huntertown Church of Naza,1,,,,1
James Germalic,U.S. House,6,IND,Woodford,Huntertown Church of Naza,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Huntertown Church of Naza,89,333,,,422
Joe Graviss,State Representative,56,DEM,Woodford,Huntertown Church of Naza,92,311,,,403
Andy Barr,U.S. House,6,REP,Woodford,St. Andrews Church,106,383,,,489
Amy McGrath,U.S. House,6,DEM,Woodford,St. Andrews Church,103,288,,,391
Frank Harris,U.S. House,6,LIB,Woodford,St. Andrews Church,1,8,,,9
Rikka L. Wallin,U.S. House,6,IND,Woodford,St. Andrews Church,0,,,,0
James Germalic,U.S. House,6,IND,Woodford,St. Andrews Church,1,,,,1
Daniel A. Fister,State Representative,56,REP,Woodford,St. Andrews Church,104,314,,,418
Joe Graviss,State Representative,56,DEM,Woodford,St. Andrews Church,103,352,,,455
Andy Barr,U.S. House,6,REP,Woodford,Sycamore Fire House #3,80,316,,,396
Amy McGrath,U.S. House,6,DEM,Woodford,Sycamore Fire House #3,80,287,,,367
Frank Harris,U.S. House,6,LIB,Woodford,Sycamore Fire House #3,1,3,,,4
Rikka L. Wallin,U.S. House,6,IND,Woodford,Sycamore Fire House #3,,1,,,1
James Germalic,U.S. House,6,IND,Woodford,Sycamore Fire House #3,,2,,,2
Daniel A. Fister,State Representative,56,REP,Woodford,Sycamore Fire House #3,74,269,,,343
Joe Graviss,State Representative,56,DEM,Woodford,Sycamore Fire House #3,83,322,,,405
Andy Barr,U.S. House,6,REP,Woodford,Huntertown School,75,321,,,396
Amy McGrath,U.S. House,6,DEM,Woodford,Huntertown School,93,208,,,301
Frank Harris,U.S. House,6,LIB,Woodford,Huntertown School,2,3,,,5
Rikka L. Wallin,U.S. House,6,IND,Woodford,Huntertown School,1,,,,1
James Germalic,U.S. House,6,IND,Woodford,Huntertown School,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Huntertown School,64,258,,,322
Joe Graviss,State Representative,56,DEM,Woodford,Huntertown School,102,260,,,362
Andy Barr,U.S. House,6,REP,Woodford,Southside School,96,295,,,391
Amy McGrath,U.S. House,6,DEM,Woodford,Southside School,66,177,,,243
Frank Harris,U.S. House,6,LIB,Woodford,Southside School,,1,,,1
Rikka L. Wallin,U.S. House,6,IND,Woodford,Southside School,,,,,0
James Germalic,U.S. House,6,IND,Woodford,Southside School,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Southside School,84,260,,,344
Joe Graviss,State Representative,56,DEM,Woodford,Southside School,75,710,,,785
Andy Barr,U.S. House,6,REP,Woodford,The Jack Jouett House,83,238,,,321
Amy McGrath,U.S. House,6,DEM,Woodford,The Jack Jouett House,63,117,,,180
Frank Harris,U.S. House,6,LIB,Woodford,The Jack Jouett House,,,,,0
Rikka L. Wallin,U.S. House,6,IND,Woodford,The Jack Jouett House,,1,,,1
James Germalic,U.S. House,6,IND,Woodford,The Jack Jouett House,,1,,,1
Daniel A. Fister,State Representative,56,REP,Woodford,The Jack Jouett House,73,194,,,267
Joe Graviss,State Representative,56,DEM,Woodford,The Jack Jouett House,73,149,,,222
Andy Barr,U.S. House,6,REP,Woodford,Nonesuch Firehouse,133,241,,,374
Amy McGrath,U.S. House,6,DEM,Woodford,Nonesuch Firehouse,90,171,,,261
Frank Harris,U.S. House,6,LIB,Woodford,Nonesuch Firehouse,,2,,,2
Rikka L. Wallin,U.S. House,6,IND,Woodford,Nonesuch Firehouse,,2,,,2
James Germalic,U.S. House,6,IND,Woodford,Nonesuch Firehouse,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Nonesuch Firehouse,117,196,,,313
Joe Graviss,State Representative,56,DEM,Woodford,Nonesuch Firehouse,105,205,,,310
Andy Barr,U.S. House,6,REP,Woodford,Pinckard Baptist Church,119,331,,,450
Amy McGrath,U.S. House,6,DEM,Woodford,Pinckard Baptist Church,59,180,,,239
Frank Harris,U.S. House,6,LIB,Woodford,Pinckard Baptist Church,2,,,,2
Rikka L. Wallin,U.S. House,6,IND,Woodford,Pinckard Baptist Church,1,,,,1
James Germalic,U.S. House,6,IND,Woodford,Pinckard Baptist Church,1,,,,1
Daniel A. Fister,State Representative,56,REP,Woodford,Pinckard Baptist Church,107,282,,,389
Joe Graviss,State Representative,56,DEM,Woodford,Pinckard Baptist Church,73,220,,,293
Andy Barr,U.S. House,6,REP,Woodford,Absentee,,,50,338,388
Amy McGrath,U.S. House,6,DEM,Woodford,Absentee,,,75,307,382
Frank Harris,U.S. House,6,LIB,Woodford,Absentee,,,,,0
Rikka L. Wallin,U.S. House,6,IND,Woodford,Absentee,,,,1,1
James Germalic,U.S. House,6,IND,Woodford,Absentee,,,,,0
Daniel A. Fister,State Representative,56,REP,Woodford,Absentee,,,43,136,179
Joe Graviss,State Representative,56,DEM,Woodford,Absentee,,,80,247,327
