candidate,office,district,party,county,precinct,eslate,escan,votes
LaToya Drake,State Representative,23,,Barren,E103 Beckton,0,130,130
S Brett Guthrie,U.S. House,2,,Barren,E104 Red Cross,87,407,494
Hank Linderman,U.S. House,2,,Barren,E104 Red Cross,19,114,133
Thomas A. Loecken ,U.S. House,2,,Barren,E104 Red Cross,0,10,10
Steve Riley,State Representative,23,,Barren,E104 Red Cross,86,425,511
LaToya Drake,State Representative,23,,Barren,E104 Red Cross,21,117,138
S Brett Guthrie,U.S. House,2,,Barren,F101 Cave City North,33,245,278
Hank Linderman,U.S. House,2,,Barren,F101 Cave City North,17,125,142
Thomas A. Loecken ,U.S. House,2,,Barren,F101 Cave City North,0,11,11
Steve Riley,State Representative,23,,Barren,F101 Cave City North,35,249,284
LaToya Drake,State Representative,23,,Barren,F101 Cave City North,15,140,155
S Brett Guthrie,U.S. House,2,,Barren,F102 Cave City South,64,330,394
Hank Linderman,U.S. House,2,,Barren,F102 Cave City South,22,130,152
Thomas A. Loecken ,U.S. House,2,,Barren,F102 Cave City South,1,11,12
Steve Riley,State Representative,23,,Barren,F102 Cave City South,61,322,383
LaToya Drake,State Representative,23,,Barren,F102 Cave City South,27,156,183
S Brett Guthrie,U.S. House,2,,Barren,F103 Park City,47,509,556
Hank Linderman,U.S. House,2,,Barren,F103 Park City,29,211,240
Thomas A. Loecken ,U.S. House,2,,Barren,F103 Park City,4,25,29
Steve Riley,State Representative,23,,Barren,F103 Park City,51,520,571
LaToya Drake,State Representative,23,,Barren,F103 Park City,29,232,261
S Brett Guthrie,U.S. House,2,,Barren,G101 Glasgow 4,2,497,499
Hank Linderman,U.S. House,2,,Barren,G101 Glasgow 4,0,242,242
Thomas A. Loecken ,U.S. House,2,,Barren,G101 Glasgow 4,0,12,12
Steve Riley,State Representative,23,,Barren,G101 Glasgow 4,2,473,475
LaToya Drake,State Representative,23,,Barren,G101 Glasgow 4,0,281,281
S Brett Guthrie,U.S. House,2,,Barren,G102 Glasgow 5,4,253,257
Hank Linderman,U.S. House,2,,Barren,G102 Glasgow 5,2,130,132
Thomas A. Loecken ,U.S. House,2,,Barren,G102 Glasgow 5,0,11,11
Steve Riley,State Representative,23,,Barren,G102 Glasgow 5,3,252,255
LaToya Drake,State Representative,23,,Barren,G102 Glasgow 5,2,155,157
S Brett Guthrie,U.S. House,2,,Barren,G103 Glasgow 6,0,398,398
Hank Linderman,U.S. House,2,,Barren,G103 Glasgow 6,0,157,157
Thomas A. Loecken ,U.S. House,2,,Barren,G103 Glasgow 6,0,11,11
Steve Riley,State Representative,23,,Barren,G103 Glasgow 6,0,401,401
LaToya Drake,State Representative,23,,Barren,G103 Glasgow 6,0,180,180
S Brett Guthrie,U.S. House,2,,Barren,Absentee - Mail In/Walk In,127,418,545
Hank Linderman,U.S. House,2,,Barren,Absentee - Mail In/Walk In,73,134,207
Thomas A. Loecken ,U.S. House,2,,Barren,Absentee - Mail In/Walk In,4,7,11
Steve Riley,State Representative,23,,Barren,Absentee - Mail In/Walk In,129,425,554
LaToya Drake,State Representative,23,,Barren,Absentee - Mail In/Walk In,79,153,232
