county,precinct,office,district,party,candidate,votes,election
Leslie,C103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,115,115
Leslie,D101,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,89,89
Leslie,D102,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,67,67
Leslie,D103,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,47,47
Leslie,D104,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,75,75
Leslie,D105,"State Representative, 90th Representative District", 90th Representative District - REPUBLICAN,,Tim COUCH,29,29
Leslie,A101,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,48,48
Leslie,A102,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,89,89
Leslie,A103,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,4,4
Leslie,A104,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,128,128
Leslie,A105,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,43,43
Leslie,B101,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,144,144
Leslie,B102,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,77,77
Leslie,B103,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,34,34
Leslie,B104,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,48,48
Leslie,C101,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,183,183
Leslie,C102,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,80,80
Leslie,C103,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,156,156
Leslie,D101,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,102,102
Leslie,D102,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,62,62
Leslie,D103,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,61,61
Leslie,D104,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,82,82
Leslie,D105,PROPERTY VALUATION ADMINISTRATOR,,,Timothy E. BAKER,21,21
Leslie,A101,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,102,102
Leslie,A102,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,286,286
Leslie,A103,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,21,21
Leslie,A104,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,181,181
Leslie,A105,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,88,88
Leslie,B101,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,313,313
Leslie,B102,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,109,109
Leslie,B103,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,166,166
Leslie,B104,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,95,95
Leslie,C101,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,253,253
Leslie,C102,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,149,149
Leslie,C103,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,254,254
Leslie,D101,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,161,161
Leslie,D102,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,135,135
Leslie,D103,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,74,74
Leslie,D104,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,171,171
Leslie,D105,PROPERTY VALUATION ADMINISTRATOR,,,Jeff W. BOGGS,51,51
Leslie,A101,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,51,51
Leslie,A102,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,135,135
Leslie,A103,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,8,8
Leslie,A104,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,197,197
Leslie,A105,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,55,55
Leslie,B101,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,213,213
Leslie,B102,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,73,73
Leslie,B103,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,98,98
Leslie,B104,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,71,71
Leslie,C101,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,282,282
Leslie,C102,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,111,111
Leslie,C103,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,221,221
Leslie,D101,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,148,148
Leslie,D102,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,118,118
Leslie,D103,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,73,73
Leslie,D104,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,129,129
Leslie,D105,COUNTY JUDGE EXECUTIVE,,,Jimmy SIZEMORE,27,27
Leslie,A101,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,115,115
Leslie,A102,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,259,259
Leslie,A103,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,26,26
Leslie,A104,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,131,131
Leslie,A105,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,83,83
Leslie,B101,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,273,273
Leslie,B102,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,143,143
Leslie,B103,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,110,110
Leslie,B104,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,87,87
Leslie,C101,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,171,171
Leslie,C102,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,129,129
Leslie,C103,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,198,198
Leslie,D101,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,138,138
Leslie,D102,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,95,95
Leslie,D103,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,68,68
Leslie,D104,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,138,138
Leslie,D105,COUNTY JUDGE EXECUTIVE,,,William R. LEWIS,40,40
Leslie,A101,COUNTY CLERK,,,Onzie SIZEMORE,53,53
Leslie,A102,COUNTY CLERK,,,Onzie SIZEMORE,159,159
Leslie,A103,COUNTY CLERK,,,Onzie SIZEMORE,8,8
Leslie,A104,COUNTY CLERK,,,Onzie SIZEMORE,192,192
Leslie,A105,COUNTY CLERK,,,Onzie SIZEMORE,45,45
Leslie,B101,COUNTY CLERK,,,Onzie SIZEMORE,146,146
Leslie,B102,COUNTY CLERK,,,Onzie SIZEMORE,64,64
Leslie,B103,COUNTY CLERK,,,Onzie SIZEMORE,58,58
Leslie,B104,COUNTY CLERK,,,Onzie SIZEMORE,78,78
Leslie,C101,COUNTY CLERK,,,Onzie SIZEMORE,209,209
Leslie,C102,COUNTY CLERK,,,Onzie SIZEMORE,148,148
Leslie,C103,COUNTY CLERK,,,Onzie SIZEMORE,199,199
Leslie,D101,COUNTY CLERK,,,Onzie SIZEMORE,149,149
Leslie,D102,COUNTY CLERK,,,Onzie SIZEMORE,76,76
Leslie,D103,COUNTY CLERK,,,Onzie SIZEMORE,51,51
Leslie,D104,COUNTY CLERK,,,Onzie SIZEMORE,129,129
Leslie,D105,COUNTY CLERK,,,Onzie SIZEMORE,27,27
Leslie,A101,COUNTY CLERK,,,Teresa Valentine NAPIER,37,37
Leslie,A102,COUNTY CLERK,,,Teresa Valentine NAPIER,92,92
Leslie,A103,COUNTY CLERK,,,Teresa Valentine NAPIER,9,9
Leslie,A104,COUNTY CLERK,,,Teresa Valentine NAPIER,74,74
Leslie,A105,COUNTY CLERK,,,Teresa Valentine NAPIER,20,20
Leslie,B101,COUNTY CLERK,,,Teresa Valentine NAPIER,60,60
Leslie,B102,COUNTY CLERK,,,Teresa Valentine NAPIER,38,38
Leslie,B103,COUNTY CLERK,,,Teresa Valentine NAPIER,97,97
Leslie,B104,COUNTY CLERK,,,Teresa Valentine NAPIER,36,36
Leslie,C101,COUNTY CLERK,,,Teresa Valentine NAPIER,127,127
Leslie,C102,COUNTY CLERK,,,Teresa Valentine NAPIER,54,54
Leslie,C103,COUNTY CLERK,,,Teresa Valentine NAPIER,142,142
Leslie,D101,COUNTY CLERK,,,Teresa Valentine NAPIER,73,73
Leslie,D102,COUNTY CLERK,,,Teresa Valentine NAPIER,84,84
Leslie,D103,COUNTY CLERK,,,Teresa Valentine NAPIER,83,83
Leslie,D104,COUNTY CLERK,,,Teresa Valentine NAPIER,81,81
Leslie,D105,COUNTY CLERK,,,Teresa Valentine NAPIER,20,20
Leslie,A101,COUNTY CLERK,,,Kenny F. SMITH,72,72
Leslie,A102,COUNTY CLERK,,,Kenny F. SMITH,140,140
Leslie,A103,COUNTY CLERK,,,Kenny F. SMITH,13,13
Leslie,A104,COUNTY CLERK,,,Kenny F. SMITH,62,62
Leslie,A105,COUNTY CLERK,,,Kenny F. SMITH,67,67
Leslie,B101,COUNTY CLERK,,,Kenny F. SMITH,292,292
Leslie,B102,COUNTY CLERK,,,Kenny F. SMITH,106,106
Leslie,B103,COUNTY CLERK,,,Kenny F. SMITH,51,51
Leslie,B104,COUNTY CLERK,,,Kenny F. SMITH,43,43
Leslie,C101,COUNTY CLERK,,,Kenny F. SMITH,99,99
Leslie,C102,COUNTY CLERK,,,Kenny F. SMITH,33,33
Leslie,C103,COUNTY CLERK,,,Kenny F. SMITH,51,51
Leslie,D101,COUNTY CLERK,,,Kenny F. SMITH,60,60
Leslie,D102,COUNTY CLERK,,,Kenny F. SMITH,53,53
Leslie,D103,COUNTY CLERK,,,Kenny F. SMITH,8,8
Leslie,D104,COUNTY CLERK,,,Kenny F. SMITH,57,57
Leslie,D105,COUNTY CLERK,,,Kenny F. SMITH,24,24
Leslie,A101,COUNTY CLERK,,,Betty ADAMS,5,5
Leslie,A102,COUNTY CLERK,,,Betty ADAMS,8,8
Leslie,A103,COUNTY CLERK,,,Betty ADAMS,2,2
Leslie,A104,COUNTY CLERK,,,Betty ADAMS,3,3
Leslie,A105,COUNTY CLERK,,,Betty ADAMS,7,7
Leslie,B101,COUNTY CLERK,,,Betty ADAMS,3,3
Leslie,B102,COUNTY CLERK,,,Betty ADAMS,5,5
Leslie,B103,COUNTY CLERK,,,Betty ADAMS,4,4
Leslie,B104,COUNTY CLERK,,,Betty ADAMS,5,5
Leslie,C101,COUNTY CLERK,,,Betty ADAMS,19,19
Leslie,C102,COUNTY CLERK,,,Betty ADAMS,7,7
Leslie,C103,COUNTY CLERK,,,Betty ADAMS,31,31
Leslie,D101,COUNTY CLERK,,,Betty ADAMS,2,2
Leslie,D102,COUNTY CLERK,,,Betty ADAMS,1,1
Leslie,D103,COUNTY CLERK,,,Betty ADAMS,2,2
Leslie,D104,COUNTY CLERK,,,Betty ADAMS,4,4
Leslie,D105,COUNTY CLERK,,,Betty ADAMS,0,0
Leslie,A101,SHERIFF,,,Robert WILSON,22,22
Leslie,A102,SHERIFF,,,Robert WILSON,84,84
Leslie,A103,SHERIFF,,,Robert WILSON,7,7
Leslie,A104,SHERIFF,,,Robert WILSON,50,50
Leslie,A105,SHERIFF,,,Robert WILSON,27,27
Leslie,B101,SHERIFF,,,Robert WILSON,70,70
Leslie,B102,SHERIFF,,,Robert WILSON,69,69
Leslie,B103,SHERIFF,,,Robert WILSON,76,76
Leslie,B104,SHERIFF,,,Robert WILSON,35,35
Leslie,C101,SHERIFF,,,Robert WILSON,104,104
Leslie,C102,SHERIFF,,,Robert WILSON,40,40
Leslie,C103,SHERIFF,,,Robert WILSON,80,80
Leslie,D101,SHERIFF,,,Robert WILSON,42,42
Leslie,D102,SHERIFF,,,Robert WILSON,48,48
Leslie,D103,SHERIFF,,,Robert WILSON,9,9
Leslie,D104,SHERIFF,,,Robert WILSON,53,53
Leslie,D105,SHERIFF,,,Robert WILSON,18,18
Leslie,A101,SHERIFF,,,Clyde HERALD,0,0
Leslie,A102,SHERIFF,,,Clyde HERALD,2,2
Leslie,A103,SHERIFF,,,Clyde HERALD,0,0
Leslie,A104,SHERIFF,,,Clyde HERALD,2,2
Leslie,A105,SHERIFF,,,Clyde HERALD,0,0
Leslie,B101,SHERIFF,,,Clyde HERALD,1,1
Leslie,B102,SHERIFF,,,Clyde HERALD,0,0
Leslie,B103,SHERIFF,,,Clyde HERALD,0,0
Leslie,B104,SHERIFF,,,Clyde HERALD,0,0
Leslie,C101,SHERIFF,,,Clyde HERALD,10,10
Leslie,C102,SHERIFF,,,Clyde HERALD,1,1
Leslie,C103,SHERIFF,,,Clyde HERALD,4,4
Leslie,D101,SHERIFF,,,Clyde HERALD,0,0
Leslie,D102,SHERIFF,,,Clyde HERALD,0,0
Leslie,D103,SHERIFF,,,Clyde HERALD,0,0
Leslie,D104,SHERIFF,,,Clyde HERALD,0,0
Leslie,D105,SHERIFF,,,Clyde HERALD,0,0
Leslie,A101,SHERIFF,,,Billy Michael COLLETT,103,103
Leslie,A102,SHERIFF,,,Billy Michael COLLETT,111,111
Leslie,A103,SHERIFF,,,Billy Michael COLLETT,11,11
Leslie,A104,SHERIFF,,,Billy Michael COLLETT,109,109
Leslie,A105,SHERIFF,,,Billy Michael COLLETT,31,31
Leslie,B101,SHERIFF,,,Billy Michael COLLETT,146,146
Leslie,B102,SHERIFF,,,Billy Michael COLLETT,61,61
Leslie,B103,SHERIFF,,,Billy Michael COLLETT,31,31
Leslie,B104,SHERIFF,,,Billy Michael COLLETT,31,31
Leslie,C101,SHERIFF,,,Billy Michael COLLETT,91,91
Leslie,C102,SHERIFF,,,Billy Michael COLLETT,49,49
Leslie,C103,SHERIFF,,,Billy Michael COLLETT,92,92
Leslie,D101,SHERIFF,,,Billy Michael COLLETT,73,73
Leslie,D102,SHERIFF,,,Billy Michael COLLETT,54,54
Leslie,D103,SHERIFF,,,Billy Michael COLLETT,19,19
Leslie,D104,SHERIFF,,,Billy Michael COLLETT,42,42
Leslie,D105,SHERIFF,,,Billy Michael COLLETT,23,23
Leslie,A101,SHERIFF,,,Isaac HOLLINS,7,7
Leslie,A102,SHERIFF,,,Isaac HOLLINS,53,53
Leslie,A103,SHERIFF,,,Isaac HOLLINS,5,5
Leslie,A104,SHERIFF,,,Isaac HOLLINS,23,23
Leslie,A105,SHERIFF,,,Isaac HOLLINS,37,37
Leslie,B101,SHERIFF,,,Isaac HOLLINS,70,70
Leslie,B102,SHERIFF,,,Isaac HOLLINS,12,12
Leslie,B103,SHERIFF,,,Isaac HOLLINS,20,20
Leslie,B104,SHERIFF,,,Isaac HOLLINS,6,6
Leslie,C101,SHERIFF,,,Isaac HOLLINS,106,106
Leslie,C102,SHERIFF,,,Isaac HOLLINS,75,75
Leslie,C103,SHERIFF,,,Isaac HOLLINS,107,107
Leslie,D101,SHERIFF,,,Isaac HOLLINS,23,23
Leslie,D102,SHERIFF,,,Isaac HOLLINS,14,14
Leslie,D103,SHERIFF,,,Isaac HOLLINS,10,10
Leslie,D104,SHERIFF,,,Isaac HOLLINS,42,42
Leslie,D105,SHERIFF,,,Isaac HOLLINS,4,4
Leslie,A101,SHERIFF,,,Lloyd POWERS,0,0
Leslie,A102,SHERIFF,,,Lloyd POWERS,25,25
Leslie,A103,SHERIFF,,,Lloyd POWERS,0,0
Leslie,A104,SHERIFF,,,Lloyd POWERS,12,12
Leslie,A105,SHERIFF,,,Lloyd POWERS,5,5
Leslie,B101,SHERIFF,,,Lloyd POWERS,46,46
Leslie,B102,SHERIFF,,,Lloyd POWERS,2,2
Leslie,B103,SHERIFF,,,Lloyd POWERS,2,2
Leslie,B104,SHERIFF,,,Lloyd POWERS,2,2
Leslie,C101,SHERIFF,,,Lloyd POWERS,6,6
Leslie,C102,SHERIFF,,,Lloyd POWERS,1,1
Leslie,C103,SHERIFF,,,Lloyd POWERS,7,7
Leslie,D101,SHERIFF,,,Lloyd POWERS,0,0
Leslie,D102,SHERIFF,,,Lloyd POWERS,0,0
Leslie,D103,SHERIFF,,,Lloyd POWERS,1,1
Leslie,D104,SHERIFF,,,Lloyd POWERS,3,3
Leslie,D105,SHERIFF,,,Lloyd POWERS,0,0
Leslie,A101,SHERIFF,,,Willie Ray PENNINGTON,3,3
Leslie,A102,SHERIFF,,,Willie Ray PENNINGTON,4,4
Leslie,A103,SHERIFF,,,Willie Ray PENNINGTON,2,2
Leslie,A104,SHERIFF,,,Willie Ray PENNINGTON,8,8
Leslie,A105,SHERIFF,,,Willie Ray PENNINGTON,0,0
Leslie,B101,SHERIFF,,,Willie Ray PENNINGTON,3,3
Leslie,B102,SHERIFF,,,Willie Ray PENNINGTON,1,1
Leslie,B103,SHERIFF,,,Willie Ray PENNINGTON,1,1
Leslie,B104,SHERIFF,,,Willie Ray PENNINGTON,4,4
Leslie,C101,SHERIFF,,,Willie Ray PENNINGTON,2,2
Leslie,C102,SHERIFF,,,Willie Ray PENNINGTON,8,8
Leslie,C103,SHERIFF,,,Willie Ray PENNINGTON,9,9
Leslie,D101,SHERIFF,,,Willie Ray PENNINGTON,16,16
Leslie,D102,SHERIFF,,,Willie Ray PENNINGTON,5,5
Leslie,D103,SHERIFF,,,Willie Ray PENNINGTON,1,1
Leslie,D104,SHERIFF,,,Willie Ray PENNINGTON,1,1
Leslie,D105,SHERIFF,,,Willie Ray PENNINGTON,1,1
Leslie,A101,SHERIFF,,,Angela MUNCY,10,10
Leslie,A102,SHERIFF,,,Angela MUNCY,42,42
Leslie,A103,SHERIFF,,,Angela MUNCY,2,2
Leslie,A104,SHERIFF,,,Angela MUNCY,49,49
Leslie,A105,SHERIFF,,,Angela MUNCY,28,28
Leslie,B101,SHERIFF,,,Angela MUNCY,43,43
Leslie,B102,SHERIFF,,,Angela MUNCY,33,33
Leslie,B103,SHERIFF,,,Angela MUNCY,17,17
Leslie,B104,SHERIFF,,,Angela MUNCY,21,21
Leslie,C101,SHERIFF,,,Angela MUNCY,45,45
Leslie,C102,SHERIFF,,,Angela MUNCY,10,10
Leslie,C103,SHERIFF,,,Angela MUNCY,41,41
Leslie,D101,SHERIFF,,,Angela MUNCY,34,34
Leslie,D102,SHERIFF,,,Angela MUNCY,27,27
Leslie,D103,SHERIFF,,,Angela MUNCY,9,9
Leslie,D104,SHERIFF,,,Angela MUNCY,14,14
Leslie,D105,SHERIFF,,,Angela MUNCY,11,11
Leslie,A101,SHERIFF,,,Delano HUFF,5,5
Leslie,A102,SHERIFF,,,Delano HUFF,28,28
Leslie,A103,SHERIFF,,,Delano HUFF,2,2
Leslie,A104,SHERIFF,,,Delano HUFF,34,34
Leslie,A105,SHERIFF,,,Delano HUFF,7,7
Leslie,B101,SHERIFF,,,Delano HUFF,51,51
Leslie,B102,SHERIFF,,,Delano HUFF,24,24
Leslie,B103,SHERIFF,,,Delano HUFF,33,33
Leslie,B104,SHERIFF,,,Delano HUFF,35,35
Leslie,C101,SHERIFF,,,Delano HUFF,43,43
Leslie,C102,SHERIFF,,,Delano HUFF,38,38
Leslie,C103,SHERIFF,,,Delano HUFF,51,51
Leslie,D101,SHERIFF,,,Delano HUFF,39,39
Leslie,D102,SHERIFF,,,Delano HUFF,28,28
Leslie,D103,SHERIFF,,,Delano HUFF,81,81
Leslie,D104,SHERIFF,,,Delano HUFF,53,53
Leslie,D105,SHERIFF,,,Delano HUFF,9,9
Leslie,A101,SHERIFF,,,Bill C. BAKER,11,11
Leslie,A102,SHERIFF,,,Bill C. BAKER,28,28
Leslie,A103,SHERIFF,,,Bill C. BAKER,2,2
Leslie,A104,SHERIFF,,,Bill C. BAKER,33,33
Leslie,A105,SHERIFF,,,Bill C. BAKER,3,3
Leslie,B101,SHERIFF,,,Bill C. BAKER,34,34
Leslie,B102,SHERIFF,,,Bill C. BAKER,9,9
Leslie,B103,SHERIFF,,,Bill C. BAKER,20,20
Leslie,B104,SHERIFF,,,Bill C. BAKER,20,20
Leslie,C101,SHERIFF,,,Bill C. BAKER,37,37
Leslie,C102,SHERIFF,,,Bill C. BAKER,17,17
Leslie,C103,SHERIFF,,,Bill C. BAKER,31,31
