candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
Tom R. Pope,State Representative,84,,Harlan,Cumberland New York,65,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Benham,203,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Benham,45,,
Chris Fugate,State Representative,84,,Harlan,Benham,136,,
Tom R. Pope,State Representative,84,,Harlan,Benham,117,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Lynch East Main,157,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Lynch East Main,68,,
Adam Bowling,State Representative,87,,Harlan,Lynch East Main,123,,
Dustin Allen,State Representative,87,,Harlan,Lynch East Main,93,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Elcomb,388,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Elcomb,75,,
Chris Fugate,State Representative,84,,Harlan,Elcomb,244,,
Tom R. Pope,State Representative,84,,Harlan,Elcomb,228,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Sunshine,72,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Sunshine,15,,
Chris Fugate,State Representative,84,,Harlan,Sunshine,42,,
Tom R. Pope,State Representative,84,,Harlan,Sunshine,42,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Grays Knob,247,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Grays Knob,33,,
Chris Fugate,State Representative,84,,Harlan,Grays Knob,166,,
Tom R. Pope,State Representative,84,,Harlan,Grays Knob,119,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Cawood/Hiram,303,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Cawood/Hiram,84,,
Adam Bowling,State Representative,87,,Harlan,Cawood/Hiram,271,,
Dustin Allen,State Representative,87,,Harlan,Cawood/Hiram,95,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Smith,111,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Smith,24,,
Adam Bowling,State Representative,87,,Harlan,Smith,106,,
Dustin Allen,State Representative,87,,Harlan,Smith,27,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Cranks,121,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Cranks,27,,
Adam Bowling,State Representative,87,,Harlan,Cranks,114,,
Dustin Allen,State Representative,87,,Harlan,Cranks,33,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Loyall,426,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Loyall,72,,
Chris Fugate,State Representative,84,,Harlan,Loyall,285,,
Tom R. Pope,State Representative,84,,Harlan,Loyall,219,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Fresh Meadows,206,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Fresh Meadows,25,,
Adam Bowling,State Representative,87,,Harlan,Fresh Meadows,169,,
Dustin Allen,State Representative,87,,Harlan,Fresh Meadows,47,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Wallins-City Hall,178,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Wallins-City Hall,45,,
Adam Bowling,State Representative,87,,Harlan,Wallins-City Hall,164,,
Dustin Allen,State Representative,87,,Harlan,Wallins-City Hall,43,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Wallins-School,196,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Wallins-School,42,,
Adam Bowling,State Representative,87,,Harlan,Wallins-School,183,,
Dustin Allen,State Representative,87,,Harlan,Wallins-School,45,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Coldiron,238,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Coldiron,32,,
Adam Bowling,State Representative,87,,Harlan,Coldiron,212,,
Dustin Allen,State Representative,87,,Harlan,Coldiron,42,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Pathfork,134,,
Kenneth S. Stepp,U.S. House,5,,Harlan,Pathfork,26,,
Adam Bowling,State Representative,87,,Harlan,Pathfork,111,,
Dustin Allen,State Representative,87,,Harlan,Pathfork,41,,
"Harold ""Hal"" Rogers",U.S. House,5,,Harlan,Absentee,297,72,225
Kenneth S. Stepp,U.S. House,5,,Harlan,Absentee,82,32,50
Chris Fugate,State Representative,84,,Harlan,Absentee,118,20,98
Tom R. Pope,State Representative,84,,Harlan,Absentee,117,38,79
Adam Bowling,State Representative,87,,Harlan,Absentee,91,21,70
Dustin Allen,State Representative,87,,Harlan,Absentee,40,18,22
