county,precinct,precinct_name,office,district,party,candidate,votes
Anderson,B-102,West Duncan,U.S. House,6,LIB,Frank Harris,6
Anderson,C-101,Lillard,U.S. House,6,LIB,Frank Harris,9
Anderson,C-102,Witherspoon,U.S. House,6,LIB,Frank Harris,8
Anderson,D-101,McBrayer,U.S. House,6,LIB,Frank Harris,4
Anderson,D-102,South Lillard,U.S. House,6,LIB,Frank Harris,5
Anderson,E-101,Alton,U.S. House,6,LIB,Frank Harris,9
Anderson,E-103,West Alton,U.S. House,6,LIB,Frank Harris,0
Anderson,F-101,Hickory Grove,U.S. House,6,LIB,Frank Harris,6
Anderson,F-102,Western,U.S. House,6,LIB,Frank Harris,2
Anderson,F-103,Rutherford,U.S. House,6,LIB,Frank Harris,1
Anderson,F-104,Birdie,U.S. House,6,LIB,Frank Harris,1
Anderson,Absentee,,U.S. House,6,LIB,Frank Harris,5
Anderson,Absentee Mail,,U.S. House,6,LIB,Frank Harris,1
Anderson,A-101,East Lawrenceburg,U.S. House,6,IND,Rikka L. Wallin,2
Anderson,A-102,Duncan,U.S. House,6,IND,Rikka L. Wallin,8
Anderson,B-101,West Lawrenceburg,U.S. House,6,IND,Rikka L. Wallin,2
Anderson,B-102,West Duncan,U.S. House,6,IND,Rikka L. Wallin,2
Anderson,C-101,Lillard,U.S. House,6,IND,Rikka L. Wallin,1
Anderson,C-102,Witherspoon,U.S. House,6,IND,Rikka L. Wallin,5
Anderson,D-101,McBrayer,U.S. House,6,IND,Rikka L. Wallin,2
Anderson,D-102,South Lillard,U.S. House,6,IND,Rikka L. Wallin,3
Anderson,E-101,Alton,U.S. House,6,IND,Rikka L. Wallin,4
Anderson,E-103,West Alton,U.S. House,6,IND,Rikka L. Wallin,2
Anderson,F-101,Hickory Grove,U.S. House,6,IND,Rikka L. Wallin,0
Anderson,F-102,Western,U.S. House,6,IND,Rikka L. Wallin,1
Anderson,F-103,Rutherford,U.S. House,6,IND,Rikka L. Wallin,1
Anderson,F-104,Birdie,U.S. House,6,IND,Rikka L. Wallin,0
Anderson,Absentee,,U.S. House,6,IND,Rikka L. Wallin,0
Anderson,Absentee Mail,,U.S. House,6,IND,Rikka L. Wallin,0
Anderson,A-101,East Lawrenceburg,U.S. House,6,IND,James Germalic,0
Anderson,A-102,Duncan,U.S. House,6,IND,James Germalic,2
Anderson,B-101,West Lawrenceburg,U.S. House,6,IND,James Germalic,0
Anderson,B-102,West Duncan,U.S. House,6,IND,James Germalic,4
Anderson,C-101,Lillard,U.S. House,6,IND,James Germalic,0
Anderson,C-102,Witherspoon,U.S. House,6,IND,James Germalic,1
Anderson,D-101,McBrayer,U.S. House,6,IND,James Germalic,3
Anderson,D-102,South Lillard,U.S. House,6,IND,James Germalic,0
Anderson,E-101,Alton,U.S. House,6,IND,James Germalic,6
Anderson,E-103,West Alton,U.S. House,6,IND,James Germalic,1
Anderson,F-101,Hickory Grove,U.S. House,6,IND,James Germalic,1
Anderson,F-102,Western,U.S. House,6,IND,James Germalic,2
Anderson,F-103,Rutherford,U.S. House,6,IND,James Germalic,1
Anderson,F-104,Birdie,U.S. House,6,IND,James Germalic,0
Anderson,Absentee,,U.S. House,6,IND,James Germalic,0
Anderson,Absentee Mail,,U.S. House,6,IND,James Germalic,0
Anderson,A-101,East Lawrenceburg,State House,53,REP,James A. Tipton,367
Anderson,A-102,Duncan,State House,53,REP,James A. Tipton,419
Anderson,B-101,West Lawrenceburg,State House,53,REP,James A. Tipton,437
Anderson,B-102,West Duncan,State House,53,REP,James A. Tipton,656
Anderson,C-101,Lillard,State House,53,REP,James A. Tipton,483
Anderson,C-102,Witherspoon,State House,53,REP,James A. Tipton,472
Anderson,D-101,McBrayer,State House,53,REP,James A. Tipton,529
Anderson,D-102,South Lillard,State House,53,REP,James A. Tipton,588
Anderson,E-101,Alton,State House,53,REP,James A. Tipton,847
Anderson,E-103,West Alton,State House,53,REP,James A. Tipton,417
Anderson,F-101,Hickory Grove,State House,53,REP,James A. Tipton,396
Anderson,F-102,Western,State House,53,REP,James A. Tipton,287
Anderson,F-103,Rutherford,State House,53,REP,James A. Tipton,181
Anderson,F-104,Birdie,State House,53,REP,James A. Tipton,431
Anderson,Absentee,,State House,53,REP,James A. Tipton,308
Anderson,Absentee Mail,,State House,53,REP,James A. Tipton,45
Anderson,A-101,East Lawrenceburg,State House,53,DEM,Dustin Burley,227
Anderson,A-102,Duncan,State House,53,DEM,Dustin Burley,205
Anderson,B-101,West Lawrenceburg,State House,53,DEM,Dustin Burley,223
Anderson,B-102,West Duncan,State House,53,DEM,Dustin Burley,341
Anderson,C-101,Lillard,State House,53,DEM,Dustin Burley,239
Anderson,C-102,Witherspoon,State House,53,DEM,Dustin Burley,271
Anderson,D-101,McBrayer,State House,53,DEM,Dustin Burley,168
Anderson,D-102,South Lillard,State House,53,DEM,Dustin Burley,274
Anderson,E-101,Alton,State House,53,DEM,Dustin Burley,412
Anderson,E-103,West Alton,State House,53,DEM,Dustin Burley,176
Anderson,F-101,Hickory Grove,State House,53,DEM,Dustin Burley,144
Anderson,F-102,Western,State House,53,DEM,Dustin Burley,106
Anderson,F-103,Rutherford,State House,53,DEM,Dustin Burley,66
Anderson,F-104,Birdie,State House,53,DEM,Dustin Burley,171
Anderson,Absentee,,State House,53,DEM,Dustin Burley,141
Anderson,Absentee Mail,,State House,53,DEM,Dustin Burley,30
