Candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
James R. Comer,U.S. House,1,REP,Trigg,North Cadiz #2,19,73,,,92
Paul Walker,U.S. House,1,DEM,Trigg,North Cadiz #2,13,47,,,60
Larry Elkins,State Representative,5,REP,Trigg,North Cadiz #2,21,68,,,89
David Ramey,State Representative,5,DEM,Trigg,North Cadiz #2,13,51,,,64
Walker Wood Thomas,State Representative,8,REP,Trigg,North Cadiz #2,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,North Cadiz #2,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Roaring Springs-Caledonia,47,191,,,238
Paul Walker,U.S. House,1,DEM,Trigg,Roaring Springs-Caledonia,15,104,,,119
Larry Elkins,State Representative,5,REP,Trigg,Roaring Springs-Caledonia,,,,,0
David Ramey,State Representative,5,DEM,Trigg,Roaring Springs-Caledonia,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,Roaring Springs-Caledonia,41,190,,,231
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Roaring Springs-Caledonia,20,108,,,128
James R. Comer,U.S. House,1,REP,Trigg,West Montgomery,34,145,,,179
Paul Walker,U.S. House,1,DEM,Trigg,West Montgomery,6,57,,,63
Larry Elkins,State Representative,5,REP,Trigg,West Montgomery,,,,,0
David Ramey,State Representative,5,DEM,Trigg,West Montgomery,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,West Montgomery,31,149,,,180
Jeffery R. Taylor,State Representative,8,DEM,Trigg,West Montgomery,9,54,,,63
James R. Comer,U.S. House,1,REP,Trigg,South Cadiz #2,22,86,,,108
Paul Walker,U.S. House,1,DEM,Trigg,South Cadiz #2,6,44,,,50
Larry Elkins,State Representative,5,REP,Trigg,South Cadiz #2,,,,,0
David Ramey,State Representative,5,DEM,Trigg,South Cadiz #2,,,,,0
Walker Wood Thomas,State Representative,8,REP,Trigg,South Cadiz #2,22,88,,,110
Jeffery R. Taylor,State Representative,8,DEM,Trigg,South Cadiz #2,7,45,,,52
James R. Comer,U.S. House,1,REP,Trigg,Linton-Maggie,0,160,,,160
Paul Walker,U.S. House,1,DEM,Trigg,Linton-Maggie,2,59,,,61
Larry Elkins,State Representative,5,REP,Trigg,Linton-Maggie,0,153,,,153
David Ramey,State Representative,5,DEM,Trigg,Linton-Maggie,2,62,,,64
Walker Wood Thomas,State Representative,8,REP,Trigg,Linton-Maggie,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Linton-Maggie,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Canton #1,71,397,,,468
Paul Walker,U.S. House,1,DEM,Trigg,Canton #1,25,139,,,164
Larry Elkins,State Representative,5,REP,Trigg,Canton #1,67,377,,,444
David Ramey,State Representative,5,DEM,Trigg,Canton #1,27,156,,,183
Walker Wood Thomas,State Representative,8,REP,Trigg,Canton #1,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Canton #1,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Bethesda,,315,,,315
Paul Walker,U.S. House,1,DEM,Trigg,Bethesda,,132,,,132
Larry Elkins,State Representative,5,REP,Trigg,Bethesda,,281,,,281
David Ramey,State Representative,5,DEM,Trigg,Bethesda,,162,,,162
Walker Wood Thomas,State Representative,8,REP,Trigg,Bethesda,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Bethesda,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Northwest Cadiz,31,174,,,205
Paul Walker,U.S. House,1,DEM,Trigg,Northwest Cadiz,20,92,,,112
Larry Elkins,State Representative,5,REP,Trigg,Northwest Cadiz,30,160,,,190
David Ramey,State Representative,5,DEM,Trigg,Northwest Cadiz,22,102,,,124
Walker Wood Thomas,State Representative,8,REP,Trigg,Northwest Cadiz,,,,,0
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Northwest Cadiz,,,,,0
James R. Comer,U.S. House,1,REP,Trigg,Absentee,,,75,224,299
Paul Walker,U.S. House,1,DEM,Trigg,Absentee,,,44,78,122
Larry Elkins,State Representative,5,REP,Trigg,Absentee,,,30,132,162
David Ramey,State Representative,5,DEM,Trigg,Absentee,,,32,56,88
Walker Wood Thomas,State Representative,8,REP,Trigg,Absentee,,,35,83,118
Jeffery R. Taylor,State Representative,8,DEM,Trigg,Absentee,,,22,30,52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
