candidate,office,district,party,county,precinct,eslate,escan,votes
Thomas A Loecken,U.S. House,2,,LaRue,Absentee Mail In/Walk In,2,1,3
Brandon Reed,State Representative,24,,LaRue,Absentee Mail In/Walk In,39,149,188
Terry Mills,State Representative,24,,LaRue,Absentee Mail In/Walk In,35,61,96
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
