candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
Matthew R. Koch,State Representative,72,REP,Bath,Bethel,95,,
Emily Ferguson,State Representative,72,DEM,Bath,Bethel,85,,
Ann Cormican,State Representative,72,LIB,Bath,Bethel,6,,
Andy Barr,U.S. House,6,REP,Bath,South Sherburne,99,,
Amy McGrath,U.S. House,6,DEM,Bath,South Sherburne,51,,
Frank Harris,U.S. House,6,LIB,Bath,South Sherburne,1,,
Rikka L. Wallin,U.S. House,6,IND,Bath,South Sherburne,0,,
James Germalic,U.S. House,6,IND,Bath,South Sherburne,0,,
Matthew R. Koch,State Representative,72,REP,Bath,South Sherburne,61,,
Emily Ferguson,State Representative,72,DEM,Bath,South Sherburne,86,,
Ann Cormican,State Representative,72,LIB,Bath,South Sherburne,0,,
Andy Barr,U.S. House,6,REP,Bath,Owingsville 1,337,,
Amy McGrath,U.S. House,6,DEM,Bath,Owingsville 1,214,,
Frank Harris,U.S. House,6,LIB,Bath,Owingsville 1,3,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Owingsville 1,2,,
James Germalic,U.S. House,6,IND,Bath,Owingsville 1,0,,
Matthew R. Koch,State Representative,72,REP,Bath,Owingsville 1,231,,
Emily Ferguson,State Representative,72,DEM,Bath,Owingsville 1,304,,
Ann Cormican,State Representative,72,LIB,Bath,Owingsville 1,6,,
Andy Barr,U.S. House,6,REP,Bath,Owingsville 2,224,,
Amy McGrath,U.S. House,6,DEM,Bath,Owingsville 2,158,,
Frank Harris,U.S. House,6,LIB,Bath,Owingsville 2,2,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Owingsville 2,2,,
James Germalic,U.S. House,6,IND,Bath,Owingsville 2,2,,
Matthew R. Koch,State Representative,72,REP,Bath,Owingsville 2,145,,
Emily Ferguson,State Representative,72,DEM,Bath,Owingsville 2,219,,
Ann Cormican,State Representative,72,LIB,Bath,Owingsville 2,3,,
Andy Barr,U.S. House,6,REP,Bath,Owingsville 3,37,,
Amy McGrath,U.S. House,6,DEM,Bath,Owingsville 3,242,,
Frank Harris,U.S. House,6,LIB,Bath,Owingsville 3,4,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Owingsville 3,1,,
James Germalic,U.S. House,6,IND,Bath,Owingsville 3,3,,
Matthew R. Koch,State Representative,72,REP,Bath,Owingsville 3,238,,
Emily Ferguson,State Representative,72,DEM,Bath,Owingsville 3,347,,
Ann Cormican,State Representative,72,LIB,Bath,Owingsville 3,7,,
Andy Barr,U.S. House,6,REP,Bath,Preston,285,,
Amy McGrath,U.S. House,6,DEM,Bath,Preston,125,,
Frank Harris,U.S. House,6,LIB,Bath,Preston,3,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Preston,2,,
James Germalic,U.S. House,6,IND,Bath,Preston,0,,
Matthew R. Koch,State Representative,72,REP,Bath,Preston,221,,
Emily Ferguson,State Representative,72,DEM,Bath,Preston,170,,
Ann Cormican,State Representative,72,LIB,Bath,Preston,6,,
Andy Barr,U.S. House,6,REP,Bath,Salt Lick 1,244,,
Amy McGrath,U.S. House,6,DEM,Bath,Salt Lick 1,156,,
Frank Harris,U.S. House,6,LIB,Bath,Salt Lick 1,3,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Salt Lick 1,0,,
James Germalic,U.S. House,6,IND,Bath,Salt Lick 1,0,,
Matthew R. Koch,State Representative,72,REP,Bath,Salt Lick 1,163,,
Emily Ferguson,State Representative,72,DEM,Bath,Salt Lick 1,209,,
Ann Cormican,State Representative,72,LIB,Bath,Salt Lick 1,3,,
Andy Barr,U.S. House,6,REP,Bath,Salt Lick 2,243,,
Amy McGrath,U.S. House,6,DEM,Bath,Salt Lick 2,155,,
Frank Harris,U.S. House,6,LIB,Bath,Salt Lick 2,3,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Salt Lick 2,2,,
James Germalic,U.S. House,6,IND,Bath,Salt Lick 2,1,,
Matthew R. Koch,State Representative,72,REP,Bath,Salt Lick 2,161,,
Emily Ferguson,State Representative,72,DEM,Bath,Salt Lick 2,228,,
Ann Cormican,State Representative,72,LIB,Bath,Salt Lick 2,5,,
Andy Barr,U.S. House,6,REP,Bath,White Sulphur,146,,
Amy McGrath,U.S. House,6,DEM,Bath,White Sulphur,122,,
Frank Harris,U.S. House,6,LIB,Bath,White Sulphur,2,,
Rikka L. Wallin,U.S. House,6,IND,Bath,White Sulphur,1,,
James Germalic,U.S. House,6,IND,Bath,White Sulphur,0,,
Matthew R. Koch,State Representative,72,REP,Bath,White Sulphur,87,,
Emily Ferguson,State Representative,72,DEM,Bath,White Sulphur,170,,
Ann Cormican,State Representative,72,LIB,Bath,White Sulphur,4,,
Andy Barr,U.S. House,6,REP,Bath,Olympia,161,,
Amy McGrath,U.S. House,6,DEM,Bath,Olympia,116,,
Frank Harris,U.S. House,6,LIB,Bath,Olympia,2,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Olympia,1,,
James Germalic,U.S. House,6,IND,Bath,Olympia,2,,
Matthew R. Koch,State Representative,72,REP,Bath,Olympia,93,,
Emily Ferguson,State Representative,72,DEM,Bath,Olympia,167,,
Ann Cormican,State Representative,72,LIB,Bath,Olympia,5,,
Andy Barr,U.S. House,6,REP,Bath,Grand Total ,2768,,
Amy McGrath,U.S. House,6,DEM,Bath,Grand Total ,1776,,
Frank Harris,U.S. House,6,LIB,Bath,Grand Total ,32,,
Rikka L. Wallin,U.S. House,6,IND,Bath,Grand Total ,16,,
James Germalic,U.S. House,6,IND,Bath,Grand Total ,12,,
Matthew R. Koch,State Representative,72,REP,Bath,Grand Total ,1856,,
Emily Ferguson,State Representative,72,DEM,Bath,Grand Total ,2479,,
Ann Cormican,State Representative,72,LIB,Bath,Grand Total ,53,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
