candidate,office,district,party,county,precinct,votes,absentee_mail,absentee
Andy Barr,U.S. House,6,REP,Estill,South Irvine,221,,
Amy McGrath,U.S. House,6,DEM,Estill,South Irvine,62,,
Frank Harris,U.S. House,6,LIB,Estill,South Irvine,2,,
Rikka L. Wallin,U.S. House,6,IND,Estill,South Irvine,1,,
James Germalic,U.S. House,6,IND,Estill,South Irvine,0,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,South Irvine,186,,
Cluster Howard,State Representative,91,DEM,Estill,South Irvine,86,,
Andy Barr,U.S. House,6,REP,Estill,Drowning Creek,403,,
Amy McGrath,U.S. House,6,DEM,Estill,Drowning Creek,135,,
Frank Harris,U.S. House,6,LIB,Estill,Drowning Creek,2,,
Rikka L. Wallin,U.S. House,6,IND,Estill,Drowning Creek,1,,
James Germalic,U.S. House,6,IND,Estill,Drowning Creek,2,,
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Drowning Creek,296,,
Cluster Howard,State Representative,91,DEM,Estill,Drowning Creek,222,,
Andy Barr,U.S. House,6,REP,Estill,Absentee,326,172,154
Amy McGrath,U.S. House,6,DEM,Estill,Absentee,146,77,69
Frank Harris,U.S. House,6,LIB,Estill,Absentee,2,2,0
Rikka L. Wallin,U.S. House,6,IND,Estill,Absentee,1,0,1
James Germalic,U.S. House,6,IND,Estill,Absentee,0,0,0
"Gary ""Toby"" Herald",State Representative,91,REP,Estill,Absentee,262,139,123
Cluster Howard,State Representative,91,DEM,Estill,Absentee,193,99,94
