county,precinct,office,district,party,candidate,eslate,escan,votes,mail,walk_in
Crittenden,Fords Ferry #5,U.S. House,1,DEM,Paul Walker,,31,31,,
Crittenden,Fords Ferry #5,State Senate,4,REP,"Robert M. ""Robby"" Mills",,67,67,,
Crittenden,Fords Ferry #5,State Senate,4,DEM,J. Dorsey Ridley,,42,42,,
Crittenden,Fords Ferry #5,State Representative,4,REP,Lynn Bechler,,66,66,,
Crittenden,Fords Ferry #5,State Representative,4,DEM,Abigail C. Barnes,,43,43,,
Crittenden,Marion #4,Straight Party,,REP,Republican,,81,81,,
Crittenden,Marion #4,Straight Party,,DEM,Democratic,,17,17,,
Crittenden,Marion #4,U.S. House,1,REP,James R. Comer,,282,282,,
Crittenden,Marion #4,U.S. House,1,DEM,Paul Walker,,79,79,,
Crittenden,Marion #4,State Senate,4,REP,"Robert M. ""Robby"" Mills",,231,231,,
Crittenden,Marion #4,State Senate,4,DEM,J. Dorsey Ridley,,132,132,,
Crittenden,Marion #4,State Representative,4,REP,Lynn Bechler,,233,233,,
Crittenden,Marion #4,State Representative,4,DEM,Abigail C. Barnes,,128,128,,
Crittenden,Frances #8,Straight Party,,REP,Republican,,35,35,,
Crittenden,Frances #8,Straight Party,,DEM,Democratic,,15,15,,
Crittenden,Frances #8,U.S. House,1,REP,James R. Comer,,88,88,,
Crittenden,Frances #8,U.S. House,1,DEM,Paul Walker,,30,30,,
Crittenden,Frances #8,State Senate,4,REP,"Robert M. ""Robby"" Mills",,81,81,,
Crittenden,Frances #8,State Senate,4,DEM,J. Dorsey Ridley,,36,36,,
Crittenden,Frances #8,State Representative,4,REP,Lynn Bechler,,81,81,,
Crittenden,Frances #8,State Representative,4,DEM,Abigail C. Barnes,,37,37,,
Crittenden,Frances #7,Straight Party,,REP,Republican,,49,49,,
Crittenden,Frances #7,Straight Party,,DEM,Democratic,,31,31,,
Crittenden,Frances #7,U.S. House,1,REP,James R. Comer,,188,188,,
Crittenden,Frances #7,U.S. House,1,DEM,Paul Walker,,76,76,,
Crittenden,Frances #7,State Senate,4,REP,"Robert M. ""Robby"" Mills",,160,160,,
Crittenden,Frances #7,State Senate,4,DEM,J. Dorsey Ridley,,99,99,,
Crittenden,Frances #7,State Representative,4,REP,Lynn Bechler,,175,175,,
Crittenden,Frances #7,State Representative,4,DEM,Abigail C. Barnes,,88,88,,
Crittenden,Marion #6,Straight Party,,REP,Republican,,69,69,,
Crittenden,Marion #6,Straight Party,,DEM,Democratic,,15,15,,
Crittenden,Marion #6,U.S. House,1,REP,James R. Comer,,288,288,,
Crittenden,Marion #6,U.S. House,1,DEM,Paul Walker,,73,73,,
Crittenden,Marion #6,State Senate,4,REP,"Robert M. ""Robby"" Mills",,240,240,,
Crittenden,Marion #6,State Senate,4,DEM,J. Dorsey Ridley,,123,123,,
Crittenden,Marion #6,State Representative,4,REP,Lynn Bechler,,234,234,,
Crittenden,Marion #6,State Representative,4,DEM,Abigail C. Barnes,,122,122,,
Crittenden,Marion #3,Straight Party,,REP,Republican,,100,100,,
Crittenden,Marion #3,Straight Party,,DEM,Democratic,,34,34,,
Crittenden,Marion #3,U.S. House,1,REP,James R. Comer,,295,295,,
Crittenden,Marion #3,U.S. House,1,DEM,Paul Walker,,95,95,,
Crittenden,Marion #3,State Senate,4,REP,"Robert M. ""Robby"" Mills",,247,247,,
Crittenden,Marion #3,State Senate,4,DEM,J. Dorsey Ridley,,143,143,,
Crittenden,Marion #3,State Representative,4,REP,Lynn Bechler,,259,259,,
Crittenden,Marion #3,State Representative,4,DEM,Abigail C. Barnes,,131,131,,
Crittenden,Shady Grove #12,Straight Party,,REP,Republican,,52,52,,
Crittenden,Shady Grove #12,Straight Party,,DEM,Democratic,,21,21,,
Crittenden,Shady Grove #12,U.S. House,1,REP,James R. Comer,,123,123,,
Crittenden,Shady Grove #12,U.S. House,1,DEM,Paul Walker,,49,49,,
Crittenden,Shady Grove #12,State Senate,4,REP,"Robert M. ""Robby"" Mills",,100,100,,
Crittenden,Shady Grove #12,State Senate,4,DEM,J. Dorsey Ridley,,74,74,,
Crittenden,Shady Grove #12,State Representative,4,REP,Lynn Bechler,,101,101,,
Crittenden,Shady Grove #12,State Representative,4,DEM,Abigail C. Barnes,,68,68,,
