county,precinct,precinct_name,registered_dems,registered_reps,registered_other,registered_males,registered_females,registered_total
BELL,D102,PARK,168,118,22,138,170,308
BELL,D103,EAST END,308,318,43,276,393,669
BELL,D104,SOUTHSIDE,292,223,33,248,300,548
BELL,D105,WEST CENTRAL,215,279,30,237,287,524
BELL,D106,EXETER,377,374,40,346,445,791
BELL,D107,WINCHESTER,291,304,37,279,353,632
BELL,E101,PINEVILLE 3C-5E,208,247,12,185,282,467
BELL,E102,LAUREL B,137,300,16,217,236,453
BELL,E103,LONE JACK,337,353,22,338,374,712
BELL,E104,GREASY CREEK,281,369,8,318,340,658
BELL,E105,CLEAR CREEK,236,440,26,374,328,702
BELL,E106,SUTTY,264,379,26,343,326,669
BOONE,A102,BELLEVIEW,233,302,71,315,291,606
BOONE,A103,BULLITTSVILLE,535,964,188,866,821,1687
BOONE,A104,BURLINGTON #1,538,894,207,818,821,1639
BOONE,A105,BURLINGTON #2,689,1057,249,982,1013,1995
BOONE,A106,CARLTON,290,403,121,410,404,814
BOONE,A107,CONSTANCE,85,131,29,114,131,245
BOONE,A108,HEBRON #1,600,922,224,820,926,1746
BOONE,A109,HEBRON #2,874,1210,282,1167,1199,2366
BOONE,A110,PETERSBURG,365,484,128,483,494,977
BOONE,A111,BURLINGTON #3,691,936,264,872,1019,1891
BOONE,A112,BURLINGTON #4,395,555,141,505,586,1091
BOONE,A113,BURLINGTON #5,1062,1514,450,1487,1539,3026
BOONE,A114,HEBRON #3,518,1239,225,993,989,1982
BOONE,A115,BURLINGTON #6,699,975,265,913,1026,1939
BOONE,A116,BURLINGTON #7,333,489,134,478,478,956
BOONE,A117,HEBRON #4,428,1076,200,874,830,1704
BOONE,A118,HAMILTON,360,697,116,610,563,1173
BOONE,A119,LIMABURG,317,280,91,302,386,688
BOONE,A120,BURLINGTON #8,578,1149,210,955,982,1937
BOONE,A121,HEBRON 5,495,1187,221,955,947,1903
BOONE,B114,BEAVER,220,335,66,300,321,621
BOONE,B115,GLENVIEW,291,586,134,477,534,1011
BOONE,B116,GREENVIEW,467,711,177,661,694,1355
BOONE,B117,HOPEFUL,521,785,188,739,755,1494
BOONE,B118,LINKVIEW,205,297,68,247,323,570
BOONE,B119,OAKBROOK,346,547,132,489,536,1025
BOONE,B120,PLEASANT VALLEY,310,634,128,539,533,1072
BOONE,B121,RICHWOOD,704,1341,252,1116,1181,2297
BOONE,B122,UNION # 1,491,840,167,774,724,1498
BOONE,B123,UNION # 2,584,1025,191,866,934,1800
BOONE,B124,UNION # 3,460,890,174,778,746,1524
BOONE,B125,UNION # 4,547,962,185,830,864,1694
BOONE,B126,VERONA,562,888,167,783,834,1617
BOONE,B127,WALTON #1,604,844,259,801,906,1707
BOONE,B128,WALTON #2,480,606,169,595,660,1255
BOONE,B129,UNION 5,460,1006,182,821,827,1648
BOONE,B130,UNION 6,633,1597,255,1208,1277,2485
BOONE,B131,SUMMITVIEW,495,929,194,782,836,1618
BOONE,B132,HEARTHSTONE,561,1129,226,944,972,1916
BOONE,B133,FLORENCE #15,460,846,151,708,749,1457
BOONE,C102,DEVON #1,696,968,226,903,987,1890
BOONE,C110,DEVON #2,1093,971,358,1093,1329,2422
BOONE,C117,DEVON #3,371,673,135,571,608,1179
BOONE,C120,KENSINGTON,341,763,125,603,626,1229
BOONE,C121,SHAMROCK,687,766,216,775,894,1669
BOONE,C123,AIRPORT,392,345,135,423,449,872
BOONE,C124,FLORENCE #1,827,648,254,740,989,1729
BOONE,C125,FLORENCE #2,367,361,97,379,446,825
BOONE,C126,FLORENCE #3,390,275,137,332,470,802
BOONE,C127,FLORENCE #4,539,555,188,590,692,1282
BOONE,C128,FLORENCE #5,362,328,104,377,417,794
BOONE,C129,FLORENCE #6,420,389,126,440,495,935
BOONE,C130,FLORENCE #7,721,800,246,820,947,1767
BOONE,C131,FLORENCE #8,768,730,297,839,956,1795
BOONE,C132,FLORENCE # 9,635,524,240,633,766,1399
BOONE,C133,FLORENCE # 10,372,316,123,393,418,811
BOONE,C134,FLORENCE #11,650,1163,254,924,1143,2067
BOONE,C135,FLORENCE #12,490,606,167,604,659,1263
BOONE,C136,FLORENCE #13,329,427,103,393,466,859
BOONE,C137,FLORENCE #14,622,870,215,750,957,1707
BOURBON,B101,MILLERSBURG #1,445,127,46,287,331,618
BOURBON,B102,MILLERSBURG #2,402,139,32,282,291,573
BOURBON,B103,PARIS #4,508,145,34,319,368,687
BOURBON,C101,FLAT ROCK,435,192,49,334,342,676
BOURBON,C102,PARIS #1,323,103,31,206,251,457
BOURBON,C103,PARIS 2,424,145,32,281,320,601
BOURBON,D101,NORTH MIDDLETOWN,740,287,75,534,568,1102
BOURBON,D103,PARIS 3,527,159,40,313,413,726
BOURBON,E101,CLINTONVILLE,588,313,41,461,481,942
BOURBON,E103,PARIS 6,570,175,47,301,491,792
BOURBON,E104,PARIS 8,250,78,25,165,188,353
BOURBON,F101,HUTCHISON 1,538,206,50,374,420,794
BOURBON,F102,HUTCHISON 2,678,327,46,482,569,1051
BOURBON,F103,HUTCHISON 3,259,204,35,240,258,498
BOURBON,G101,CENTERVILLE,591,328,49,483,485,968
BOURBON,G102,PARIS #5,638,162,54,361,493,854
BOURBON,H101,RUDDLES MILLS,789,261,54,541,563,1104
BOURBON,H102,PARIS #7,575,88,37,299,401,700
BOYD,A101,CATLETTSBURG,947,337,94,646,732,1378
BOYD,A107,ENGLAND HILL,570,408,59,484,553,1037
BOYD,A108,DURBIN-ASHLAND OIL,857,501,91,726,723,1449
BOYD,A109,EAST FORK,729,391,70,578,612,1190
BOYD,A110,ELMWOOD-HILL TOP,599,278,99,447,529,976
BOYD,A111,GARTRELL,396,292,47,333,402,735
BOYD,A113,GARTIN,373,295,45,329,384,713
BOYD,A114,CARP,293,99,54,194,252,446
BOYD,A115,SOUTH ASHLAND,509,312,82,407,496,903
BOYD,A116,RATCLIFF,401,207,45,289,363,653
BOYD,A118,FANNIN 1,571,475,70,534,582,1116
BOYD,A119,FANNIN 2,485,282,51,381,437,818
BOYD,A120,PINEWOOD,94,38,11,74,69,143
BOYD,A121,CANNONSBURG,456,261,39,362,394,756
BOYD,A122,MARSH RUN,12,3,0,8,7,15
BOYD,B101,CENTRAL,520,340,83,484,459,943
BOYD,B102,POLLARD,637,285,98,415,605,1020
BOYD,B103,LEWIS,548,255,86,375,514,889
BOYD,B105,DEBORD-TANNERY,523,292,88,439,464,903
BOYD,B106,BARBER,435,298,55,330,458,788
BOYD,B107,VINCENT,244,206,33,229,254,483
BOYD,B108,MT ADAMS,392,248,38,312,366,678
BOYD,B109,PRICHARD,565,346,80,438,553,991
BOYD,B110,FOREST HILLS,221,180,31,205,227,432
BOYD,B112,BRYSON,260,172,33,211,254,465
BOYD,B114,BEECH,506,231,66,367,436,803
BOYD,B115,GRAYSON-SPRINGHILL,542,414,62,450,568,1018
BOYD,B116,AVONDALE,340,254,62,308,348,656
BOYD,B117,HILLENDALE,281,223,22,232,294,526
BOYD,B118,RICE # 1,365,205,41,307,304,611
BOYD,B119,RICE # 2,394,307,60,364,397,761
BOYD,B121,POAGE,359,302,64,356,369,725
BOYD,C101,MAPLE,158,77,16,114,137,251
BOYD,C102,PRINCESS,467,254,55,387,389,776
BOYD,C103,KYOVA,410,245,45,342,358,700
BOYD,C104,HOODS CREEK,619,316,76,498,513,1011
BOYD,C105,FAIRVIEW,503,205,67,354,421,775
BOYD,C106,BUCKLEY,546,212,58,380,436,816
BOYD,C107,WESTWOOD,456,183,68,335,372,707
BOYD,C108,MILLSEAT,465,274,49,379,409,788
BOYD,C109,MOORE,308,185,43,217,319,536
BOYD,C110,PYRAMID,3,1,1,3,2,5
BOYD,C111,WILLOW,113,81,7,95,106,201
BOYD,C113,GREEN HILL,763,408,83,602,652,1254
BOYD,C114,MEADS 1,570,294,69,443,490,933
BOYD,C115,ROCKDALE-SUMMITT,649,443,71,554,609,1163
BOYD,C116,WINSLOW-IRONVILLE,579,337,63,463,516,979
BOYD,C117,MEADS 2,314,239,30,273,310,583
BOYLE,A101,WEST PERRYVILLE,536,208,48,383,409,792
BOYLE,A102,EAST PERRYVILLE,578,301,38,449,468,917
BOYLE,A103,MITCHELLSBURG,435,214,35,339,344,684
BOYLE,A104,PARKSVILLE,469,285,34,395,393,788
BOYLE,A105,BLUEGRASS,244,150,15,202,207,409
BOYLE,B101,EAST PARKSVILLE,139,40,16,101,94,195
BOYLE,B102,WEST JUNCTION CITY,541,263,63,428,439,867
BOYLE,B103,JUNCTION CITY,734,411,106,585,666,1251
BOYLE,B104,EAST JUNCTION CITY,564,340,63,427,540,967
BOYLE,C101,R. E. C. C.,567,298,60,403,522,925
BOYLE,C102,NAZARENE CHURCH,688,312,71,471,600,1071
BOYLE,C103,PERRYVILLE ROAD,294,154,36,228,256,484
BOYLE,C104,CLARKS RUN,553,234,52,384,455,839
BOYLE,D101,INDIAN HILLS CHRISTIAN,712,454,79,572,673,1245
BOYLE,D102,LEXINGTON RD,464,482,60,521,485,1006
BOYLE,D103,LANCASTER ROAD,413,271,29,346,367,713
BOYLE,E101,DANVILLE HIGH SCHOOL,509,293,64,389,477,866
BOYLE,E102,SS. PETER&PAUL CATHOLIC C,465,241,69,333,442,775
BOYLE,E103,COURT HOUSE,375,154,62,258,333,591
BOYLE,E104,CENTRE COLLEGE,407,209,85,355,344,701
BOYLE,F101,LEXINGTON AVENUE BAPTIST,584,271,67,411,511,922
BOYLE,F102,STREAMLAND,350,300,39,323,366,689
BOYLE,F103,BOYLE CO HIGH SCHOOL,514,470,74,473,585,1058
BOYLE,F104,MILLENNIUM PARK,404,313,63,362,418,780
BOYLE,F105,SHAKERTOWN,302,220,42,261,303,564
BRACKEN,A101,FOSTER,565,197,43,392,413,805
BRACKEN,B101,AUGUSTA W,524,127,27,337,341,678
BRACKEN,C101,AUGUSTA E,609,126,27,371,391,762
BRACKEN,D101,BERLIN,587,149,18,380,374,754
BRACKEN,E101,CHATHAM,675,159,32,419,447,866
BRACKEN,F101,BROOKSVILLE,597,123,25,328,417,745
BRACKEN,G101,MILFORD,481,176,33,347,343,690
BRACKEN,H101,GERMANTOWN,702,121,26,420,429,849
BREATHITT,A101,COURTHOUSE,182,9,4,103,92,195
BREATHITT,A102,VANCLEVE,607,102,28,359,378,737
BREATHITT,A103,WAR CREEK,798,107,32,461,476,937
BREATHITT,A104,CITY #1,475,47,11,227,306,533
BREATHITT,A105,CITY #2,467,48,7,236,286,522
BREATHITT,B101,OAKDALE,346,59,16,206,215,421
BREATHITT,B102,BIG ROCK,517,45,17,292,287,579
BREATHITT,B103,SHOULDERBLADE,724,48,13,387,398,785
BREATHITT,B104,TURNERS CREEK,564,38,2,285,319,604
BREATHITT,B105,WOLFCOAL,544,21,11,299,277,576
BREATHITT,C101,LOST CREEK,751,55,18,424,400,824
BREATHITT,C102,CANEY SCHOOL,403,26,7,225,211,436
BREATHITT,C103,QUICKSAND,594,61,20,355,320,675
BREATHITT,C104,WHICK,447,24,9,251,229,480
BREATHITT,C105,HAYS BRANCH,430,24,9,237,226,463
BREATHITT,D101,ARMORY,279,12,5,147,149,296
BREATHITT,D102,CITY SCHOOL,564,62,15,321,320,641
BREATHITT,D103,STATE GARAGE,577,42,13,310,322,632
BREATHITT,D104,HUNTING CREEK,337,25,3,185,180,365
BREATHITT,D105,SPRING FORK,139,10,2,82,69,151
BREATHITT,D106,BLANTON BRIDGE,456,25,10,245,246,491
BRECKINRIDGE,A101,HARDINSBURG #1,719,593,59,624,747,1371
BRECKINRIDGE,A102,HARDINSBURG #2,802,719,56,747,830,1577
BRECKINRIDGE,B101,CLOVERPORT #1,326,250,25,304,297,601
BRECKINRIDGE,B102,CLOVERPORT #2,531,374,61,474,492,966
BRECKINRIDGE,B103,MCQUADY,265,151,15,219,212,431
BRECKINRIDGE,C101,UNION STAR,439,307,37,409,374,783
BRECKINRIDGE,C102,GARFIELD,385,490,62,463,474,937
BRECKINRIDGE,D101,IRVINGTON #1,550,460,67,511,566,1077
BRECKINRIDGE,D102,IRVINGTON #2,475,265,57,405,392,797
BRECKINRIDGE,D103,BEWLEYVILLE,370,293,66,368,361,729
BRECKINRIDGE,E101,HUDSON,409,394,39,421,421,842
BRECKINRIDGE,E102,CUSTER,379,396,64,416,423,839
BRECKINRIDGE,E103,HARNED,489,551,46,538,547,1086
BRECKINRIDGE,F101,MCDANIELS,814,798,112,886,838,1724
BRECKINRIDGE,F102,GLEN DEAN,222,212,25,230,229,459
BULLITT,A101,SHEPHERDSVILLE #1,166,86,30,133,149,282
BULLITT,A102,SHEPHERSDSVILLE #1A,540,352,92,479,505,984
BULLITT,A103,SHEPHERDSVILLE #3,471,331,89,392,498,891
BULLITT,A104,PLEASANT GROVE #4N,379,244,49,336,336,672
BULLITT,A105,CUPIO #13,923,582,109,811,803,1614
BULLITT,A106,SHEPERDSVILLE #2A,921,727,149,890,907,1797
BULLITT,A107,BROOKS #12,946,652,142,886,854,1740
BULLITT,A108,BROOKS #12A,438,287,83,384,424,808
BULLITT,A109,ZONETON #11,543,521,84,569,579,1148
BULLITT,A110,SHEPHERDSVILLE #2B,91,35,14,69,71,140
BULLITT,A111,SHEPHERDSVILLE #3A,736,458,136,585,745,1330
BULLITT,B101,MT. WASHINGTON #7,261,156,32,202,247,449
BULLITT,B102,MT. WASHINGTON #8,571,432,61,514,550,1064
BULLITT,B103,MT. WASHINGTON #9,992,791,150,862,1071,1933
BULLITT,B104,MT. WASHINGTON #10,768,689,109,752,814,1566
BULLITT,B107,MT. WASHINGTON #9-A,708,577,89,695,679,1374
BULLITT,B108,MT. WASHINGTON #8A,996,938,162,1025,1070,2096
BULLITT,B109,MT. WASHINGTON #7-A,754,748,126,829,799,1628
BULLITT,B110,MT. WASHINGTON #9-NORTH,807,656,154,749,868,1617
BULLITT,B111,MT. WASHINGTON #9-B,612,518,104,619,615,1234
BULLITT,B112,MT. WASHINGTON #7B,288,257,54,258,341,599
BULLITT,B113,MT. WASHINGTON #8-B,704,669,105,742,736,1478
BULLITT,B114,MT WASHINGTON 9C,453,466,65,457,527,984
BULLITT,C101,HEBRON #5,536,444,72,491,561,1052
BULLITT,C102,MARYVILLE #6,711,381,112,545,659,1204
BULLITT,C103,ZONETON # 11-A,639,495,110,603,641,1244
BULLITT,C104,MARYVILLE SOUTH #19,525,386,68,488,491,979
BULLITT,C105,HEBRON #5A,622,429,89,564,576,1140
BULLITT,C106,HEBRON #5B,610,410,71,534,557,1091
BULLITT,C107,MARYVILLE #6A,859,637,154,802,848,1650
BULLITT,C108,ZONETON #11-B,607,492,79,584,594,1178
BULLITT,C109,ZONETON #11 NORTH,257,204,48,252,257,509
BULLITT,C110,HEBRON #20,558,445,89,503,589,1092
BULLITT,C111,HEBRON #21,159,148,26,158,175,333
BULLITT,C112,MARYVILLE SOUTH #19A,484,295,66,379,466,845
BULLITT,D101,LEBANON JUNCTION #14,362,170,59,288,303,591
BULLITT,D102,LEBANON JUNCTION #15,688,320,70,518,560,1078
BULLITT,D103,BERNHEIM #16,686,415,73,586,588,1174
BULLITT,D104,BEECH GROVE #17,373,292,72,342,395,737
BULLITT,D105,CEDAR GROVE #18,732,533,130,675,720,1395
BULLITT,D106,BERNHEIM #16A,803,452,112,684,683,1367
BULLITT,D107,CEDAR GROVE #18A,884,611,110,796,809,1605
BULLITT,D108,SHEPHERDSVILLE #2,711,377,95,542,641,1183
BULLITT,D109,SHEPHERDSVILLE #2-NORTH,707,378,89,541,633,1174
BULLITT,D110,PLEASANT GROVE #4,468,276,49,378,415,793
BULLITT,D111,SALT RIVER #17A,634,323,75,482,550,1032
BULLITT,D113,BEECH GROVE #17B,304,332,62,328,370,698
BULLITT,D114,BEECH GROVE #17C,272,232,52,253,303,556
BUTLER,A110,EAST MORGANTOWN,213,590,23,361,465,826
BUTLER,A111,WEST MORGANTOWN,158,461,16,226,409,635
BUTLER,B106,SOUTH SECOND,292,604,41,457,480,937
BUTLER,B107,NORTH SECOND,270,769,28,525,542,1067
BUTLER,C103,LITTLE BEND,10,21,2,15,18,33
BUTLER,C106,SOUTH THIRD,247,769,27,532,511,1043
BUTLER,C107,NORTH THIRD,206,616,19,420,421,841
BUTLER,D103,ABERDEEN,129,390,18,272,265,537
BUTLER,D105,WEST FOURTH,84,449,15,280,268,548
BUTLER,D106,EAST FOURTH,163,454,26,312,330,643
BUTLER,E105,SOUTH FIFTH,167,739,26,463,469,932
BUTLER,E106,NORTH FIFTH,130,681,22,426,407,833
CALDWELL,A101,FREDONIA,466,167,26,321,338,659
CALDWELL,A102,DONALDSON,377,156,28,284,277,561
CALDWELL,A103,WHITE SULPHUR,688,218,46,441,511,952
CALDWELL,B101,BRIARFIELD,660,210,38,445,463,908
CALDWELL,B102,BULL RUN,537,152,32,349,372,721
CALDWELL,B103,BUTLER,659,158,48,367,497,865
CALDWELL,C101,BUCKSNORT,606,197,32,419,416,835
CALDWELL,C102,WARD'S CREEK,447,124,37,286,322,608
CALDWELL,C103,AIRPORT,752,172,43,420,547,967
CALDWELL,D101,HARMONY,426,159,24,308,301,609
CALDWELL,D102,BIG SPRINGS,404,93,27,235,289,524
CALDWELL,D103,EDDY CREEK,642,173,25,404,436,840
CALDWELL,D104,DULANEY,571,174,25,334,436,770
CALLOWAY,A101,MURRAY #1,389,122,66,256,321,577
CALLOWAY,A102,MURRAY #5,498,271,85,396,458,854
CALLOWAY,A103,FAXON,1147,553,219,968,951,1919
CALLOWAY,A104,ALMO,551,178,61,369,421,790
CALLOWAY,A105,DEXTER,530,157,46,349,384,733
CALLOWAY,A106,VAN CLEAVE,508,213,64,369,416,785
CALLOWAY,B101,MURRAY #2,594,222,64,354,526,880
CALLOWAY,B102,MURRAY #3,240,111,48,174,225,399
CALLOWAY,B103,NEW CONCORD,533,277,123,475,458,933
CALLOWAY,B104,CLAYTON CREEK,449,191,51,333,358,691
CALLOWAY,B105,MURRAY #7,428,158,64,313,337,650
CALLOWAY,B106,MURRAY #4,719,308,67,487,607,1094
CALLOWAY,B107,CHERRY CORNER,449,200,46,344,351,695
CALLOWAY,B108,PANORAMA,300,189,50,268,271,539
CALLOWAY,C102,HARRIS GROVE,1056,513,110,808,871,1679
CALLOWAY,C103,HAZEL,514,177,53,344,400,744
CALLOWAY,C104,PROVIDENCE,527,167,45,365,374,739
CALLOWAY,C105,MURRAY #8,493,201,50,318,426,744
CALLOWAY,C106,MURRAY #10,530,189,60,329,450,779
CALLOWAY,C107,MURRAY #11,278,131,37,201,245,446
CALLOWAY,C108,MIDWAY,492,282,62,365,471,836
CALLOWAY,C109,MURRAY #13,332,205,29,272,294,566
CALLOWAY,C110,MURRAY #14,202,98,16,151,165,316
CALLOWAY,D101,MURRAY #6,566,301,91,470,488,958
CALLOWAY,D102,JACKSON,590,262,59,427,484,911
CALLOWAY,D103,COLDWATER,514,173,39,348,378,726
CALLOWAY,D104,LYNN GROVE,417,133,37,283,304,587
CALLOWAY,D105,CALLOWAY,738,402,104,590,654,1244
CALLOWAY,D106,KIRKSEY,343,133,24,231,269,500
CALLOWAY,D107,MURRAY #9,875,477,178,732,798,1530
CALLOWAY,D108,MURRAY # 12,622,301,112,465,570,1035
CAMPBELL,A701,COLD SPRING A,354,372,79,383,422,805
CAMPBELL,A702,COLD SPRING B,468,541,126,539,595,1135
CAMPBELL,A703,COLD SPRING C,597,698,148,676,766,1443
CAMPBELL,A704,COLD SPRING D,468,616,140,577,647,1224
CAMPBELL,A706,COLD SPRING F,755,996,190,858,1083,1941
CAMPBELL,A801,ALEXANDRIA A,385,602,103,537,553,1090
CAMPBELL,A802,ALEXANDRIA B,380,429,90,410,489,899
CAMPBELL,A803,ALEXANDRIA C,379,485,105,463,506,969
CAMPBELL,A804,ALEXANDRIA D,408,640,122,589,579,1170
CAMPBELL,A805,ALEXANDRIA E,505,682,134,622,699,1321
CAMPBELL,A806,ALEXANDRIA F,515,786,154,700,755,1455
CAMPBELL,A807,ALEXANDRIA G,401,495,89,487,497,985
CAMPBELL,A901,MENTOR,324,401,74,412,387,799
CAMPBELL,A902,CALIFORNIA,307,485,63,429,425,855
CAMPBELL,A903,SUN VALLEY,554,889,136,747,832,1579
CAMPBELL,A904,GRANTS LICK,653,953,157,886,877,1763
CAMPBELL,A905,CLARYVILLE,627,853,164,825,819,1644
CAMPBELL,A909,JOHNS HILL,519,592,112,555,668,1223
CAMPBELL,A913,WILDER,598,560,140,584,714,1298
CAMPBELL,B101,DAYTON A,545,324,174,497,545,1043
CAMPBELL,B102,DAYTON B,596,416,162,557,617,1174
CAMPBELL,B103,DAYTON C,551,426,169,526,620,1146
CAMPBELL,B201,BELLEVUE A,622,430,162,571,643,1214
CAMPBELL,B202,BELLEVUE B,429,399,101,415,514,929
CAMPBELL,B203,BELLEVUE C,524,380,126,476,554,1030
CAMPBELL,B204,BELLEVUE D,597,392,179,550,618,1168
CAMPBELL,B401,FT THOMAS A,288,607,91,477,509,986
