county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Mccracken,A110,Auditor of Public Accounts,,REP,Allison BALL,77,2,74,1
Mccracken,A110,Auditor of Public Accounts,,REP,Derek PETTEYS,23,3,20,0
Mccracken,A110,Auditor of Public Accounts,,REP,Total Votes Cast,100,5,94,1
Mccracken,A110,Auditor of Public Accounts,,REP,Under Votes,10,1,9,0
Mccracken,A110,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A110,State Treasurer,,REP,Andrew COOPERRIDER,32,1,31,0
Mccracken,A110,State Treasurer,,REP,Mark H. METCALF,55,3,51,1
Mccracken,A110,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",14,2,12,0
Mccracken,A110,State Treasurer,,REP,Total Votes Cast,101,6,94,1
Mccracken,A110,State Treasurer,,REP,Under Votes,9,0,9,0
Mccracken,A110,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A110,Commissioner of Agriculture,,REP,Richard HEATH,89,5,83,1
Mccracken,A110,Commissioner of Agriculture,,REP,Jonathan SHELL,18,1,17,0
Mccracken,A110,Commissioner of Agriculture,,REP,Total Votes Cast,107,6,100,1
Mccracken,A110,Commissioner of Agriculture,,REP,Under Votes,3,0,3,0
Mccracken,A110,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A110,Governor,,DEM,Andy BESHEAR,48,3,44,1
Mccracken,A110,Governor,,DEM,Peppy MARTIN,5,0,5,0
Mccracken,A110,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",2,0,2,0
Mccracken,A110,Governor,,DEM,Total Votes Cast,55,3,51,1
Mccracken,A110,Governor,,DEM,Under Votes,1,0,1,0
Mccracken,A110,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A110,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,28,3,24,1
Mccracken,A110,Commissioner of Agriculture,,DEM,Mikael MALONE,23,0,23,0
Mccracken,A110,Commissioner of Agriculture,,DEM,Total Votes Cast,51,3,47,1
Mccracken,A110,Commissioner of Agriculture,,DEM,Under Votes,5,0,5,0
Mccracken,A110,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A112,Governor,,REP,Daniel CAMERON,71,2,68,1
Mccracken,A112,Governor,,REP,Jacob CLARK,3,0,3,0
Mccracken,A112,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A112,Governor,,REP,Kelly CRAFT,19,0,19,0
Mccracken,A112,Governor,,REP,Eric DETERS,5,0,5,0
Mccracken,A112,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A112,Governor,,REP,Mike HARMON,4,0,4,0
Mccracken,A112,Governor,,REP,Alan KECK,1,0,1,0
Mccracken,A112,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A112,Governor,,REP,Ryan QUARLES,27,3,24,0
Mccracken,A112,Governor,,REP,Johnny Ray RICE,1,0,1,0
Mccracken,A112,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A112,Governor,,REP,Total Votes Cast,131,5,125,1
Mccracken,A112,Governor,,REP,Under Votes,1,0,1,0
Mccracken,A112,Governor,,REP,Over Votes,0,0,0,0
Mccracken,A112,Secretary of State,,REP,Michael ADAMS,87,3,83,1
Mccracken,A112,Secretary of State,,REP,Stephen L. KNIPPER,26,2,24,0
Mccracken,A112,Secretary of State,,REP,Allen MARICLE,7,0,7,0
Mccracken,A112,Secretary of State,,REP,Total Votes Cast,120,5,114,1
Mccracken,A112,Secretary of State,,REP,Under Votes,12,0,12,0
Mccracken,A112,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A112,Auditor of Public Accounts,,REP,Allison BALL,87,4,83,0
Mccracken,A112,Auditor of Public Accounts,,REP,Derek PETTEYS,30,1,28,1
Mccracken,A112,Auditor of Public Accounts,,REP,Total Votes Cast,117,5,111,1
Mccracken,A112,Auditor of Public Accounts,,REP,Under Votes,15,0,15,0
Mccracken,A112,Auditor of Public Accounts,,REP,Over Votes,0,0,0,0
Mccracken,A112,State Treasurer,,REP,Andrew COOPERRIDER,30,4,25,1
Mccracken,A112,State Treasurer,,REP,Mark H. METCALF,68,1,67,0
Mccracken,A112,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",21,0,21,0
Mccracken,A112,State Treasurer,,REP,Total Votes Cast,119,5,113,1
Mccracken,A112,State Treasurer,,REP,Under Votes,13,0,13,0
Mccracken,A112,State Treasurer,,REP,Over Votes,0,0,0,0
