county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Owsley,Cow Creek,U.S. Senate,,REP,Rand Paul,,,0,101,101
Owsley,South Booneville,U.S. Senate,,REP,Rand Paul,,,0,161,161
Owsley,Indian Creek,U.S. Senate,,REP,Rand Paul,,,15,76,91
Owsley,Island Creek,U.S. Senate,,REP,Rand Paul,,,0,65,65
Owsley,Sturgeon,U.S. Senate,,REP,Rand Paul,,,0,179,179
Owsley,Elk Lick,U.S. Senate,,REP,Rand Paul,,,56,118,174
Owsley,North Booneville,U.S. Senate,,REP,Rand Paul,,,0,176,176
Owsley,North Booneville East,U.S. Senate,,REP,Rand Paul,,,27,56,83
Owsley,Total,U.S. Senate,,REP,Rand Paul,,,98,932,1160
Owsley,Absentee,U.S. Senate,,DEM,Jim Gray,26,29,,,55
Owsley,Cow Creek,U.S. Senate,,DEM,Jim Gray,,,0,41,41
Owsley,South Booneville,U.S. Senate,,DEM,Jim Gray,,,0,89,89
Owsley,Indian Creek,U.S. Senate,,DEM,Jim Gray,,,1,32,33
Owsley,Island Creek,U.S. Senate,,DEM,Jim Gray,,,0,20,20
Owsley,Sturgeon,U.S. Senate,,DEM,Jim Gray,,,0,43,43
Owsley,Elk Lick,U.S. Senate,,DEM,Jim Gray,,,25,45,70
Owsley,North Booneville,U.S. Senate,,DEM,Jim Gray,,,0,80,80
Owsley,North Booneville East,U.S. Senate,,DEM,Jim Gray,,,13,37,50
Owsley,Total,U.S. Senate,,DEM,Jim Gray,,,39,387,481
Owsley,Absentee,U.S. House,5,REP,"Harold ""Hal"" Rogers",68,84,,,152
Owsley,Cow Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,0,118,118
Owsley,South Booneville,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,0,210,210
Owsley,Indian Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,16,87,103
Owsley,Island Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,0,76,76
Owsley,Sturgeon,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,0,202,202
Owsley,Elk Lick,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,72,150,222
Owsley,North Booneville,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,0,209,209
Owsley,North Booneville East,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,34,76,110
Owsley,Total,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,122,1128,1402
Owsley,Absentee,State Senate,25,REP,Robert Stivers,64,83,,,147
Owsley,Cow Creek,State Senate,25,REP,Robert Stivers,,,0,114,114
Owsley,South Booneville,State Senate,25,REP,Robert Stivers,,,0,190,190
Owsley,Indian Creek,State Senate,25,REP,Robert Stivers,,,15,85,100
Owsley,Island Creek,State Senate,25,REP,Robert Stivers,,,0,72,72
Owsley,Sturgeon,State Senate,25,REP,Robert Stivers,,,0,199,199
Owsley,Elk Lick,State Senate,25,REP,Robert Stivers,,,67,146,213
Owsley,North Booneville,State Senate,25,REP,Robert Stivers,,,0,198,198
Owsley,North Booneville East,State Senate,25,REP,Robert Stivers,,,37,70,107
Owsley,Total,State Senate,25,REP,Robert Stivers,,,119,1074,1340
Owsley,Absentee,State House,91,REP,"Gary ""Toby"" Herald",62,72,,,134
Owsley,Cow Creek,State House,91,REP,"Gary ""Toby"" Herald",,,0,0,93
Owsley,South Booneville,State House,91,REP,"Gary ""Toby"" Herald",,,0,171,171
Owsley,Indian Creek,State House,91,REP,"Gary ""Toby"" Herald",,,16,73,89
Owsley,Island Creek,State House,91,REP,"Gary ""Toby"" Herald",,,0,66,66
Owsley,Sturgeon,State House,91,REP,"Gary ""Toby"" Herald",,,0,194,194
Owsley,Elk Lick,State House,91,REP,"Gary ""Toby"" Herald",,,56,120,176
Owsley,North Booneville,State House,91,REP,"Gary ""Toby"" Herald",,,0,162,162
Owsley,North Booneville East,State House,91,REP,"Gary ""Toby"" Herald",,,33,56,89
Owsley,Total,State House,91,REP,"Gary ""Toby"" Herald",,,105,842,1174
Owsley,Absentee,State House,91,DEM,Cluster Howard,16,41,,,57
Owsley,Cow Creek,State House,91,DEM,Cluster Howard,,,0,55,55
Owsley,South Booneville,State House,91,DEM,Cluster Howard,,,0,86,86
Owsley,Indian Creek,State House,91,DEM,Cluster Howard,,,2,34,36
Owsley,Island Creek,State House,91,DEM,Cluster Howard,,,0,20,20
Owsley,Sturgeon,State House,91,DEM,Cluster Howard,,,0,36,36
Owsley,Elk Lick,State House,91,DEM,Cluster Howard,,,31,53,84
Owsley,North Booneville,State House,91,DEM,Cluster Howard,,,0,101,101
Owsley,North Booneville East,State House,91,DEM,Cluster Howard,,,9,39,48
Owsley,Total,State House,91,DEM,Cluster Howard,,,42,424,523
