precinct,candidate,votes,county,office,district,party
C106,Waymen Eddings,181,Jefferson,State Representative,30,REP
C108,Waymen Eddings,68,Jefferson,State Representative,30,REP
C109,Waymen Eddings,32,Jefferson,State Representative,30,REP
C110,Waymen Eddings,19,Jefferson,State Representative,30,REP
C111,Waymen Eddings,31,Jefferson,State Representative,30,REP
C113,Waymen Eddings,57,Jefferson,State Representative,30,REP
C115,Waymen Eddings,179,Jefferson,State Representative,30,REP
C122,Waymen Eddings,152,Jefferson,State Representative,30,REP
C123,Waymen Eddings,128,Jefferson,State Representative,30,REP
C124,Waymen Eddings,259,Jefferson,State Representative,30,REP
C125,Waymen Eddings,76,Jefferson,State Representative,30,REP
C126,Waymen Eddings,100,Jefferson,State Representative,30,REP
C128,Waymen Eddings,55,Jefferson,State Representative,30,REP
C129,Waymen Eddings,202,Jefferson,State Representative,30,REP
C130,Waymen Eddings,14,Jefferson,State Representative,30,REP
C131,Waymen Eddings,119,Jefferson,State Representative,30,REP
C133,Waymen Eddings,294,Jefferson,State Representative,30,REP
C134,Waymen Eddings,204,Jefferson,State Representative,30,REP
C135,Waymen Eddings,199,Jefferson,State Representative,30,REP
C136,Waymen Eddings,131,Jefferson,State Representative,30,REP
C137,Waymen Eddings,194,Jefferson,State Representative,30,REP
C138,Waymen Eddings,127,Jefferson,State Representative,30,REP
C139,Waymen Eddings,11,Jefferson,State Representative,30,REP
C141,Waymen Eddings,122,Jefferson,State Representative,30,REP
C142,Waymen Eddings,102,Jefferson,State Representative,30,REP
C143,Waymen Eddings,61,Jefferson,State Representative,30,REP
C144,Waymen Eddings,34,Jefferson,State Representative,30,REP
C145,Waymen Eddings,64,Jefferson,State Representative,30,REP
C146,Waymen Eddings,0,Jefferson,State Representative,30,REP
C147,Waymen Eddings,0,Jefferson,State Representative,30,REP
C148,Waymen Eddings,11,Jefferson,State Representative,30,REP
C149,Waymen Eddings,8,Jefferson,State Representative,30,REP
C150,Waymen Eddings,6,Jefferson,State Representative,30,REP
C151,Waymen Eddings,7,Jefferson,State Representative,30,REP
WALK-IN 3RD A-D,Waymen Eddings,136,Jefferson,State Representative,30,REP
MAIL-IN 3RD A-D,Waymen Eddings,68,Jefferson,State Representative,30,REP
C101,Tom Burch,568,Jefferson,State Representative,30,DEM
C102,Tom Burch,357,Jefferson,State Representative,30,DEM
C103,Tom Burch,442,Jefferson,State Representative,30,DEM
C104,Tom Burch,360,Jefferson,State Representative,30,DEM
C105,Tom Burch,327,Jefferson,State Representative,30,DEM
C106,Tom Burch,795,Jefferson,State Representative,30,DEM
C108,Tom Burch,632,Jefferson,State Representative,30,DEM
C109,Tom Burch,261,Jefferson,State Representative,30,DEM
C110,Tom Burch,451,Jefferson,State Representative,30,DEM
C111,Tom Burch,823,Jefferson,State Representative,30,DEM
C113,Tom Burch,221,Jefferson,State Representative,30,DEM
C115,Tom Burch,722,Jefferson,State Representative,30,DEM
C122,Tom Burch,361,Jefferson,State Representative,30,DEM
C123,Tom Burch,236,Jefferson,State Representative,30,DEM
C124,Tom Burch,501,Jefferson,State Representative,30,DEM
C125,Tom Burch,417,Jefferson,State Representative,30,DEM
C126,Tom Burch,540,Jefferson,State Representative,30,DEM
C128,Tom Burch,95,Jefferson,State Representative,30,DEM
C129,Tom Burch,646,Jefferson,State Representative,30,DEM
C130,Tom Burch,41,Jefferson,State Representative,30,DEM
C131,Tom Burch,231,Jefferson,State Representative,30,DEM
C133,Tom Burch,570,Jefferson,State Representative,30,DEM
C134,Tom Burch,395,Jefferson,State Representative,30,DEM
C135,Tom Burch,375,Jefferson,State Representative,30,DEM
C136,Tom Burch,262,Jefferson,State Representative,30,DEM
C137,Tom Burch,374,Jefferson,State Representative,30,DEM
C138,Tom Burch,264,Jefferson,State Representative,30,DEM
C139,Tom Burch,10,Jefferson,State Representative,30,DEM
C141,Tom Burch,295,Jefferson,State Representative,30,DEM
C142,Tom Burch,393,Jefferson,State Representative,30,DEM
C143,Tom Burch,67,Jefferson,State Representative,30,DEM
C144,Tom Burch,32,Jefferson,State Representative,30,DEM
C145,Tom Burch,97,Jefferson,State Representative,30,DEM
C146,Tom Burch,0,Jefferson,State Representative,30,DEM
C147,Tom Burch,1,Jefferson,State Representative,30,DEM
C148,Tom Burch,19,Jefferson,State Representative,30,DEM
C149,Tom Burch,2,Jefferson,State Representative,30,DEM
C150,Tom Burch,3,Jefferson,State Representative,30,DEM
C151,Tom Burch,16,Jefferson,State Representative,30,DEM
WALK-IN 3RD A-D,Tom Burch,293,Jefferson,State Representative,30,DEM
MAIL-IN 3RD A-D,Tom Burch,183,Jefferson,State Representative,30,DEM
C101,Write-In,2,Jefferson,State Representative,30,NA
C102,Write-In,1,Jefferson,State Representative,30,NA
C103,Write-In,2,Jefferson,State Representative,30,NA
C104,Write-In,1,Jefferson,State Representative,30,NA
C105,Write-In,0,Jefferson,State Representative,30,NA
C106,Write-In,3,Jefferson,State Representative,30,NA
C108,Write-In,1,Jefferson,State Representative,30,NA
C109,Write-In,1,Jefferson,State Representative,30,NA
C110,Write-In,2,Jefferson,State Representative,30,NA
C111,Write-In,0,Jefferson,State Representative,30,NA
C113,Write-In,0,Jefferson,State Representative,30,NA
C115,Write-In,3,Jefferson,State Representative,30,NA
C122,Write-In,0,Jefferson,State Representative,30,NA
C123,Write-In,1,Jefferson,State Representative,30,NA
C124,Write-In,1,Jefferson,State Representative,30,NA
C125,Write-In,0,Jefferson,State Representative,30,NA
C126,Write-In,2,Jefferson,State Representative,30,NA
C128,Write-In,0,Jefferson,State Representative,30,NA
C129,Write-In,1,Jefferson,State Representative,30,NA
C130,Write-In,0,Jefferson,State Representative,30,NA
C131,Write-In,0,Jefferson,State Representative,30,NA
C133,Write-In,2,Jefferson,State Representative,30,NA
C134,Write-In,2,Jefferson,State Representative,30,NA
C135,Write-In,0,Jefferson,State Representative,30,NA
C136,Write-In,3,Jefferson,State Representative,30,NA
C137,Write-In,0,Jefferson,State Representative,30,NA
C138,Write-In,0,Jefferson,State Representative,30,NA
C139,Write-In,0,Jefferson,State Representative,30,NA
C141,Write-In,0,Jefferson,State Representative,30,NA
C142,Write-In,0,Jefferson,State Representative,30,NA
C143,Write-In,0,Jefferson,State Representative,30,NA
C144,Write-In,0,Jefferson,State Representative,30,NA
C145,Write-In,0,Jefferson,State Representative,30,NA
C146,Write-In,0,Jefferson,State Representative,30,NA
C147,Write-In,0,Jefferson,State Representative,30,NA
C148,Write-In,0,Jefferson,State Representative,30,NA
C149,Write-In,0,Jefferson,State Representative,30,NA
C150,Write-In,0,Jefferson,State Representative,30,NA
C151,Write-In,0,Jefferson,State Representative,30,NA
WALK-IN 3RD A-D,Write-In,0,Jefferson,State Representative,30,NA
MAIL-IN 3RD A-D,Write-In,0,Jefferson,State Representative,30,NA
D101 - STM,Sarah Provancher,176,Jefferson,State Representative,31,GOP
D104,Sarah Provancher,209,Jefferson,State Representative,31,GOP
D106,Sarah Provancher,280,Jefferson,State Representative,31,GOP
D108,Sarah Provancher,347,Jefferson,State Representative,31,GOP
D109,Sarah Provancher,113,Jefferson,State Representative,31,GOP
D110,Sarah Provancher,170,Jefferson,State Representative,31,GOP
D113,Sarah Provancher,111,Jefferson,State Representative,31,GOP
D114,Sarah Provancher,311,Jefferson,State Representative,31,GOP
D115,Sarah Provancher,358,Jefferson,State Representative,31,GOP
D116,Sarah Provancher,419,Jefferson,State Representative,31,GOP
D117 - JEF,Sarah Provancher,283,Jefferson,State Representative,31,GOP
D120 - JEF,Sarah Provancher,364,Jefferson,State Representative,31,GOP
D121,Sarah Provancher,261,Jefferson,State Representative,31,GOP
D122 - JEF,Sarah Provancher,331,Jefferson,State Representative,31,GOP
D126,Sarah Provancher,458,Jefferson,State Representative,31,GOP
D129,Sarah Provancher,155,Jefferson,State Representative,31,GOP
D130,Sarah Provancher,266,Jefferson,State Representative,31,GOP
D131,Sarah Provancher,162,Jefferson,State Representative,31,GOP
D132,Sarah Provancher,445,Jefferson,State Representative,31,GOP
D135,Sarah Provancher,202,Jefferson,State Representative,31,GOP
D136,Sarah Provancher,395,Jefferson,State Representative,31,GOP
D137 - JEF,Sarah Provancher,285,Jefferson,State Representative,31,GOP
D138,Sarah Provancher,481,Jefferson,State Representative,31,GOP
D139,Sarah Provancher,431,Jefferson,State Representative,31,GOP
D140,Sarah Provancher,359,Jefferson,State Representative,31,GOP
D141,Sarah Provancher,318,Jefferson,State Representative,31,GOP
D142 - JEF,Sarah Provancher,347,Jefferson,State Representative,31,GOP
D144,Sarah Provancher,155,Jefferson,State Representative,31,GOP
D145,Sarah Provancher,152,Jefferson,State Representative,31,GOP
WALK-IN 3RD A-D,Sarah Provancher,304,Jefferson,State Representative,31,GOP
MAIL-IN 3RD A-D,Sarah Provancher,144,Jefferson,State Representative,31,GOP
D101 - STM,Steve Riggs,258,Jefferson,State Representative,31,DEM
D104,Steve Riggs,322,Jefferson,State Representative,31,DEM
D106,Steve Riggs,324,Jefferson,State Representative,31,DEM
D108,Steve Riggs,434,Jefferson,State Representative,31,DEM
D109,Steve Riggs,198,Jefferson,State Representative,31,DEM
D110,Steve Riggs,356,Jefferson,State Representative,31,DEM
D113,Steve Riggs,391,Jefferson,State Representative,31,DEM
D114,Steve Riggs,384,Jefferson,State Representative,31,DEM
D115,Steve Riggs,528,Jefferson,State Representative,31,DEM
D116,Steve Riggs,530,Jefferson,State Representative,31,DEM
D117 - JEF,Steve Riggs,359,Jefferson,State Representative,31,DEM
D120 - JEF,Steve Riggs,597,Jefferson,State Representative,31,DEM
D121,Steve Riggs,321,Jefferson,State Representative,31,DEM
D122 - JEF,Steve Riggs,381,Jefferson,State Representative,31,DEM
D126,Steve Riggs,604,Jefferson,State Representative,31,DEM
D129,Steve Riggs,202,Jefferson,State Representative,31,DEM
D130,Steve Riggs,384,Jefferson,State Representative,31,DEM
D131,Steve Riggs,270,Jefferson,State Representative,31,DEM
D132,Steve Riggs,738,Jefferson,State Representative,31,DEM
D135,Steve Riggs,356,Jefferson,State Representative,31,DEM
D136,Steve Riggs,553,Jefferson,State Representative,31,DEM
D137 - JEF,Steve Riggs,299,Jefferson,State Representative,31,DEM
D138,Steve Riggs,633,Jefferson,State Representative,31,DEM
D139,Steve Riggs,517,Jefferson,State Representative,31,DEM
D140,Steve Riggs,502,Jefferson,State Representative,31,DEM
D141,Steve Riggs,319,Jefferson,State Representative,31,DEM
D142 - JEF,Steve Riggs,369,Jefferson,State Representative,31,DEM
D144,Steve Riggs,212,Jefferson,State Representative,31,DEM
D145,Steve Riggs,169,Jefferson,State Representative,31,DEM
WALK-IN 3RD A-D,Steve Riggs,342,Jefferson,State Representative,31,DEM
MAIL-IN 3RD A-D,Steve Riggs,233,Jefferson,State Representative,31,DEM
D101 - STM,Write-In,0,Jefferson,State Representative,31,NA
D104,Write-In,1,Jefferson,State Representative,31,NA
D106,Write-In,0,Jefferson,State Representative,31,NA
D108,Write-In,0,Jefferson,State Representative,31,NA
D109,Write-In,0,Jefferson,State Representative,31,NA
D110,Write-In,0,Jefferson,State Representative,31,NA
D113,Write-In,0,Jefferson,State Representative,31,NA
D114,Write-In,0,Jefferson,State Representative,31,NA
D115,Write-In,0,Jefferson,State Representative,31,NA
D116,Write-In,0,Jefferson,State Representative,31,NA
D117 - JEF,Write-In,0,Jefferson,State Representative,31,NA
D120 - JEF,Write-In,1,Jefferson,State Representative,31,NA
D121,Write-In,0,Jefferson,State Representative,31,NA
D122 - JEF,Write-In,0,Jefferson,State Representative,31,NA
D126,Write-In,0,Jefferson,State Representative,31,NA
D129,Write-In,1,Jefferson,State Representative,31,NA
D130,Write-In,1,Jefferson,State Representative,31,NA
D131,Write-In,0,Jefferson,State Representative,31,NA
D132,Write-In,1,Jefferson,State Representative,31,NA
D135,Write-In,2,Jefferson,State Representative,31,NA
D136,Write-In,2,Jefferson,State Representative,31,NA
D137 - JEF,Write-In,0,Jefferson,State Representative,31,NA
D138,Write-In,1,Jefferson,State Representative,31,NA
D139,Write-In,0,Jefferson,State Representative,31,NA
D140,Write-In,1,Jefferson,State Representative,31,NA
D141,Write-In,2,Jefferson,State Representative,31,NA
D142 - JEF,Write-In,1,Jefferson,State Representative,31,NA
D144,Write-In,0,Jefferson,State Representative,31,NA
D145,Write-In,0,Jefferson,State Representative,31,NA
WALK-IN 3RD A-D,Write-In,2,Jefferson,State Representative,31,NA
MAIL-IN 3RD A-D,Write-In,1,Jefferson,State Representative,31,NA
E139 - STM,Phil Moffett,309,Jefferson,State Representative,32,REP
E141 - BWV,Phil Moffett,227,Jefferson,State Representative,32,REP
E142,Phil Moffett,364,Jefferson,State Representative,32,REP
E143 - STM,Phil Moffett,353,Jefferson,State Representative,32,REP
E144,Phil Moffett,469,Jefferson,State Representative,32,REP
E145 - LYN,Phil Moffett,483,Jefferson,State Representative,32,REP
E148,Phil Moffett,573,Jefferson,State Representative,32,REP
E152,Phil Moffett,611,Jefferson,State Representative,32,REP
E154,Phil Moffett,442,Jefferson,State Representative,32,REP
E155,Phil Moffett,495,Jefferson,State Representative,32,REP
E157 - NOR,Phil Moffett,138,Jefferson,State Representative,32,REP
E158,Phil Moffett,318,Jefferson,State Representative,32,REP
E159,Phil Moffett,241,Jefferson,State Representative,32,REP
E160,Phil Moffett,426,Jefferson,State Representative,32,REP
E161 - HUB,Phil Moffett,241,Jefferson,State Representative,32,REP
E162,Phil Moffett,182,Jefferson,State Representative,32,REP
E163 - HUB,Phil Moffett,630,Jefferson,State Representative,32,REP
E164 - HUB,Phil Moffett,551,Jefferson,State Representative,32,REP
E165,Phil Moffett,540,Jefferson,State Representative,32,REP
E166 - JEF,Phil Moffett,338,Jefferson,State Representative,32,REP
E167,Phil Moffett,414,Jefferson,State Representative,32,REP
E168 - HUB,Phil Moffett,288,Jefferson,State Representative,32,REP
E169,Phil Moffett,744,Jefferson,State Representative,32,REP
E171,Phil Moffett,319,Jefferson,State Representative,32,REP
E173,Phil Moffett,276,Jefferson,State Representative,32,REP
E175 - GRD,Phil Moffett,338,Jefferson,State Representative,32,REP
E176 - LYN,Phil Moffett,202,Jefferson,State Representative,32,REP
E177,Phil Moffett,187,Jefferson,State Representative,32,REP
E178,Phil Moffett,478,Jefferson,State Representative,32,REP
E179 - JEF,Phil Moffett,483,Jefferson,State Representative,32,REP
E180 - JEF,Phil Moffett,369,Jefferson,State Representative,32,REP
E181,Phil Moffett,480,Jefferson,State Representative,32,REP
E182,Phil Moffett,911,Jefferson,State Representative,32,REP
E183,Phil Moffett,392,Jefferson,State Representative,32,REP
E184,Phil Moffett,344,Jefferson,State Representative,32,REP
E185 - STM,Phil Moffett,165,Jefferson,State Representative,32,REP
WALK-IN 3RD E,Phil Moffett,615,Jefferson,State Representative,32,REP
MAIL-IN 3RD E,Phil Moffett,307,Jefferson,State Representative,32,REP
E139 - STM,Write-In,25,Jefferson,State Representative,32,NA
E141 - BWV,Write-In,9,Jefferson,State Representative,32,NA
E142,Write-In,12,Jefferson,State Representative,32,NA
E143 - STM,Write-In,23,Jefferson,State Representative,32,NA
E144,Write-In,26,Jefferson,State Representative,32,NA
E145 - LYN,Write-In,21,Jefferson,State Representative,32,NA
E148,Write-In,16,Jefferson,State Representative,32,NA
E152,Write-In,9,Jefferson,State Representative,32,NA
E154,Write-In,12,Jefferson,State Representative,32,NA
E155,Write-In,24,Jefferson,State Representative,32,NA
E157 - NOR,Write-In,5,Jefferson,State Representative,32,NA
E158,Write-In,9,Jefferson,State Representative,32,NA
E159,Write-In,7,Jefferson,State Representative,32,NA
E160,Write-In,5,Jefferson,State Representative,32,NA
E161 - HUB,Write-In,7,Jefferson,State Representative,32,NA
E162,Write-In,8,Jefferson,State Representative,32,NA
E163 - HUB,Write-In,8,Jefferson,State Representative,32,NA
E164 - HUB,Write-In,11,Jefferson,State Representative,32,NA
E165,Write-In,23,Jefferson,State Representative,32,NA
E166 - JEF,Write-In,13,Jefferson,State Representative,32,NA
E167,Write-In,11,Jefferson,State Representative,32,NA
E168 - HUB,Write-In,3,Jefferson,State Representative,32,NA
E169,Write-In,23,Jefferson,State Representative,32,NA
E171,Write-In,18,Jefferson,State Representative,32,NA
E173,Write-In,23,Jefferson,State Representative,32,NA
E175 - GRD,Write-In,11,Jefferson,State Representative,32,NA
E176 - LYN,Write-In,7,Jefferson,State Representative,32,NA
E177,Write-In,6,Jefferson,State Representative,32,NA
E178,Write-In,4,Jefferson,State Representative,32,NA
E179 - JEF,Write-In,18,Jefferson,State Representative,32,NA
E180 - JEF,Write-In,18,Jefferson,State Representative,32,NA
E181,Write-In,17,Jefferson,State Representative,32,NA
E182,Write-In,28,Jefferson,State Representative,32,NA
E183,Write-In,6,Jefferson,State Representative,32,NA
E184,Write-In,11,Jefferson,State Representative,32,NA
E185 - STM,Write-In,12,Jefferson,State Representative,32,NA
WALK-IN 3RD E,Write-In,34,Jefferson,State Representative,32,NA
MAIL-IN 3RD E,Write-In,17,Jefferson,State Representative,32,NA
F106,Jason Nemes,300,Jefferson,State Representative,33,REP
F145,Jason Nemes,582,Jefferson,State Representative,33,REP
F151,Jason Nemes,594,Jefferson,State Representative,33,REP
F152,Jason Nemes,578,Jefferson,State Representative,33,REP
F153,Jason Nemes,436,Jefferson,State Representative,33,REP
F154,Jason Nemes,430,Jefferson,State Representative,33,REP
F155,Jason Nemes,235,Jefferson,State Representative,33,REP
F156,Jason Nemes,524,Jefferson,State Representative,33,REP
F158 - MID,Jason Nemes,169,Jefferson,State Representative,33,REP
F161 - DOH,Jason Nemes,354,Jefferson,State Representative,33,REP
F163,Jason Nemes,389,Jefferson,State Representative,33,REP
F164,Jason Nemes,518,Jefferson,State Representative,33,REP
F166,Jason Nemes,351,Jefferson,State Representative,33,REP
F167,Jason Nemes,262,Jefferson,State Representative,33,REP
F169,Jason Nemes,157,Jefferson,State Representative,33,REP
F170 - DOH,Jason Nemes,161,Jefferson,State Representative,33,REP
F171,Jason Nemes,425,Jefferson,State Representative,33,REP
F172,Jason Nemes,347,Jefferson,State Representative,33,REP
F176,Jason Nemes,369,Jefferson,State Representative,33,REP
F179 - LYN,Jason Nemes,389,Jefferson,State Representative,33,REP
F180 - LYN,Jason Nemes,484,Jefferson,State Representative,33,REP
F181,Jason Nemes,423,Jefferson,State Representative,33,REP
F182,Jason Nemes,496,Jefferson,State Representative,33,REP
F183,Jason Nemes,244,Jefferson,State Representative,33,REP
F184,Jason Nemes,444,Jefferson,State Representative,33,REP
F185,Jason Nemes,274,Jefferson,State Representative,33,REP
F186,Jason Nemes,365,Jefferson,State Representative,33,REP
F187,Jason Nemes,271,Jefferson,State Representative,33,REP
WALK-IN 3RD F-G,Jason Nemes,487,Jefferson,State Representative,33,REP
MAIL-IN 3RD F-G,Jason Nemes,187,Jefferson,State Representative,33,REP
F106,Rob Walker,281,Jefferson,State Representative,33,DEM
F145,Rob Walker,427,Jefferson,State Representative,33,DEM
F151,Rob Walker,421,Jefferson,State Representative,33,DEM
F152,Rob Walker,399,Jefferson,State Representative,33,DEM
F153,Rob Walker,393,Jefferson,State Representative,33,DEM
F154,Rob Walker,260,Jefferson,State Representative,33,DEM
F155,Rob Walker,122,Jefferson,State Representative,33,DEM
F156,Rob Walker,398,Jefferson,State Representative,33,DEM
F158 - MID,Rob Walker,102,Jefferson,State Representative,33,DEM
F161 - DOH,Rob Walker,217,Jefferson,State Representative,33,DEM
F163,Rob Walker,241,Jefferson,State Representative,33,DEM
F164,Rob Walker,195,Jefferson,State Representative,33,DEM
F166,Rob Walker,234,Jefferson,State Representative,33,DEM
F167,Rob Walker,333,Jefferson,State Representative,33,DEM
F169,Rob Walker,185,Jefferson,State Representative,33,DEM
F170 - DOH,Rob Walker,226,Jefferson,State Representative,33,DEM
F171,Rob Walker,218,Jefferson,State Representative,33,DEM
F172,Rob Walker,299,Jefferson,State Representative,33,DEM
F176,Rob Walker,246,Jefferson,State Representative,33,DEM
F179 - LYN,Rob Walker,328,Jefferson,State Representative,33,DEM
F180 - LYN,Rob Walker,486,Jefferson,State Representative,33,DEM
F181,Rob Walker,546,Jefferson,State Representative,33,DEM
F182,Rob Walker,586,Jefferson,State Representative,33,DEM
F183,Rob Walker,102,Jefferson,State Representative,33,DEM
F184,Rob Walker,272,Jefferson,State Representative,33,DEM
F185,Rob Walker,483,Jefferson,State Representative,33,DEM
F186,Rob Walker,680,Jefferson,State Representative,33,DEM
F187,Rob Walker,369,Jefferson,State Representative,33,DEM
WALK-IN 3RD F-G,Rob Walker,349,Jefferson,State Representative,33,DEM
MAIL-IN 3RD F-G,Rob Walker,232,Jefferson,State Representative,33,DEM
F106,Write-In,1,Jefferson,State Representative,33,NA
F145,Write-In,2,Jefferson,State Representative,33,NA
F151,Write-In,2,Jefferson,State Representative,33,NA
F152,Write-In,0,Jefferson,State Representative,33,NA
F153,Write-In,0,Jefferson,State Representative,33,NA
F154,Write-In,3,Jefferson,State Representative,33,NA
F155,Write-In,0,Jefferson,State Representative,33,NA
F156,Write-In,2,Jefferson,State Representative,33,NA
F158 - MID,Write-In,0,Jefferson,State Representative,33,NA
F161 - DOH,Write-In,1,Jefferson,State Representative,33,NA
F163,Write-In,0,Jefferson,State Representative,33,NA
F164,Write-In,1,Jefferson,State Representative,33,NA
F166,Write-In,1,Jefferson,State Representative,33,NA
F167,Write-In,2,Jefferson,State Representative,33,NA
F169,Write-In,0,Jefferson,State Representative,33,NA
F170 - DOH,Write-In,1,Jefferson,State Representative,33,NA
F171,Write-In,1,Jefferson,State Representative,33,NA
F172,Write-In,2,Jefferson,State Representative,33,NA
F176,Write-In,1,Jefferson,State Representative,33,NA
F179 - LYN,Write-In,2,Jefferson,State Representative,33,NA
F180 - LYN,Write-In,3,Jefferson,State Representative,33,NA
F181,Write-In,2,Jefferson,State Representative,33,NA
F182,Write-In,3,Jefferson,State Representative,33,NA
F183,Write-In,0,Jefferson,State Representative,33,NA
F184,Write-In,0,Jefferson,State Representative,33,NA
F185,Write-In,0,Jefferson,State Representative,33,NA
F186,Write-In,4,Jefferson,State Representative,33,NA
F187,Write-In,1,Jefferson,State Representative,33,NA
WALK-IN 3RD F-G,Write-In,0,Jefferson,State Representative,33,NA
MAIL-IN 3RD F-G,Write-In,0,Jefferson,State Representative,33,NA
G103,Mary Lou Marzian,414,Jefferson,State Representative,34,DEM
G104,Mary Lou Marzian,347,Jefferson,State Representative,34,DEM
G106,Mary Lou Marzian,378,Jefferson,State Representative,34,DEM
G107,Mary Lou Marzian,462,Jefferson,State Representative,34,DEM
G108,Mary Lou Marzian,352,Jefferson,State Representative,34,DEM
G109,Mary Lou Marzian,611,Jefferson,State Representative,34,DEM
G111,Mary Lou Marzian,497,Jefferson,State Representative,34,DEM
G112,Mary Lou Marzian,857,Jefferson,State Representative,34,DEM
G116,Mary Lou Marzian,656,Jefferson,State Representative,34,DEM
G117,Mary Lou Marzian,817,Jefferson,State Representative,34,DEM
G119,Mary Lou Marzian,339,Jefferson,State Representative,34,DEM
G120,Mary Lou Marzian,435,Jefferson,State Representative,34,DEM
G121,Mary Lou Marzian,378,Jefferson,State Representative,34,DEM
G122,Mary Lou Marzian,323,Jefferson,State Representative,34,DEM
G123 - SMM,Mary Lou Marzian,170,Jefferson,State Representative,34,DEM
G124,Mary Lou Marzian,591,Jefferson,State Representative,34,DEM
G126,Mary Lou Marzian,395,Jefferson,State Representative,34,DEM
