county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Mercer,Terrapin,U.S. Senate,,DEM,Jim Gray,,,0,80,80
Mercer,Salvisa,U.S. Senate,,DEM,Jim Gray,,,0,295,295
Mercer,Bohon,U.S. Senate,,DEM,Jim Gray,,,50,143,193
Mercer,Duncan,U.S. Senate,,DEM,Jim Gray,,,0,55,55
Mercer,McAfee,U.S. Senate,,DEM,Jim Gray,,,11,240,251
Mercer,Stringtown,U.S. Senate,,DEM,Jim Gray,,,0,241,241
Mercer,Total,U.S. Senate,,DEM,Jim Gray,,,62,1706,1985
Mercer,Absentee,U.S. House,2,REP,S. Brett Guthrie,110,338,,,448
Mercer,Perryville Toll Gate,U.S. House,2,REP,S. Brett Guthrie,,,1,722,723
Mercer,Dixville,U.S. House,2,REP,S. Brett Guthrie,,,0,133,133
Mercer,Rose Hill,U.S. House,2,REP,S. Brett Guthrie,,,0,379,379
Mercer,Cornishville,U.S. House,2,REP,S. Brett Guthrie,,,0,102,102
Mercer,Terrapin,U.S. House,2,REP,S. Brett Guthrie,,,0,219,219
Mercer,Salvisa,U.S. House,2,REP,S. Brett Guthrie,,,0,551,551
Mercer,Bohon,U.S. House,2,REP,S. Brett Guthrie,,,121,335,456
Mercer,Duncan,U.S. House,2,REP,S. Brett Guthrie,,,0,140,140
Mercer,McAfee,U.S. House,2,REP,S. Brett Guthrie,,,24,615,639
Mercer,Stringtown,U.S. House,2,REP,S. Brett Guthrie,,,0,557,557
Mercer,Total,U.S. House,2,REP,S. Brett Guthrie,,,146,3753,4347
Mercer,Absentee,State House,55,REP,Kim King,116,348,,,464
Mercer,Perryville Toll Gate,State House,55,REP,Kim King,,,1,756,757
Mercer,Dixville,State House,55,REP,Kim King,,,0,132,132
Mercer,Rose Hill,State House,55,REP,Kim King,,,0,390,390
Mercer,Cornishville,State House,55,REP,Kim King,,,0,117,117
Mercer,Terrapin,State House,55,REP,Kim King,,,0,223,223
Mercer,Salvisa,State House,55,REP,Kim King,,,0,531,531
Mercer,Bohon,State House,55,REP,Kim King,,,104,341,445
Mercer,Duncan,State House,55,REP,Kim King,,,0,153,153
Mercer,McAfee,State House,55,REP,Kim King,,,25,585,610
