county,precinct,office,district,party,candidate,absentee_paper,absentee_machine,votes
Lee,Beattyville 1,State Senate,25,REP,Robert Stivers,,,140
Lee,Beattyville 2,State Senate,25,REP,Robert Stivers,,,140
Lee,Beattyville 3,State Senate,25,REP,Robert Stivers,,,218
Lee,St. Helens,State Senate,25,REP,Robert Stivers,,,221
Lee,Ivy Patch,State Senate,25,REP,Robert Stivers,,,176
Lee,Beattyville 4,State Senate,25,REP,Robert Stivers,,,119
Lee,Leeco,State Senate,25,REP,Robert Stivers,,,158
Lee,Sand Field,State Senate,25,REP,Robert Stivers,,,221
Lee,Heidelberg,State Senate,25,REP,Robert Stivers,,,135
Lee,Proctor,State Senate,25,REP,Robert Stivers,,,351
Lee,Total,State Senate,25,REP,Robert Stivers,,,2019
Lee,Absentee,State House,91,REP,"Gary ""Toby"" Herald",47,73,120
Lee,Beattyville 1,State House,91,REP,"Gary ""Toby"" Herald",,,105
Lee,Beattyville 2,State House,91,REP,"Gary ""Toby"" Herald",,,108
Lee,Beattyville 3,State House,91,REP,"Gary ""Toby"" Herald",,,195
Lee,St. Helens,State House,91,REP,"Gary ""Toby"" Herald",,,206
Lee,Ivy Patch,State House,91,REP,"Gary ""Toby"" Herald",,,155
Lee,Beattyville 4,State House,91,REP,"Gary ""Toby"" Herald",,,124
Lee,Leeco,State House,91,REP,"Gary ""Toby"" Herald",,,138
Lee,Sand Field,State House,91,REP,"Gary ""Toby"" Herald",,,191
Lee,Heidelberg,State House,91,REP,"Gary ""Toby"" Herald",,,126
Lee,Proctor,State House,91,REP,"Gary ""Toby"" Herald",,,292
Lee,Total,State House,91,REP,"Gary ""Toby"" Herald",,,1760
Lee,Absentee,State House,91,DEM,Cluster Howard,24,25,49
Lee,Beattyville 1,State House,91,DEM,Cluster Howard,,,72
Lee,Beattyville 2,State House,91,DEM,Cluster Howard,,,65
Lee,Beattyville 3,State House,91,DEM,Cluster Howard,,,88
Lee,St. Helens,State House,91,DEM,Cluster Howard,,,77
Lee,Ivy Patch,State House,91,DEM,Cluster Howard,,,81
Lee,Beattyville 4,State House,91,DEM,Cluster Howard,,,44
Lee,Leeco,State House,91,DEM,Cluster Howard,,,69
Lee,Sand Field,State House,91,DEM,Cluster Howard,,,92
Lee,Heidelberg,State House,91,DEM,Cluster Howard,,,65
Lee,Proctor,State House,91,DEM,Cluster Howard,,,134
Lee,Total,State House,91,DEM,Cluster Howard,,,836
