county,precinct,office,district,party,candidate,votes,eslate,escan
Robertson,E101 Mt. Olivet,President,,IND,Evan McMullin,0,0,0
Robertson,Absentee,President,,IND,Evan McMullin,1,1,0
Robertson,Total,President,,IND,Evan McMullin,8,,
Robertson,A101 Mt. Olivet,U.S Senate,,REP,Rand Paul,125,75,50
Robertson,B101 Pinhook,U.S Senate,,REP,Rand Paul,94,60,34
Robertson,C101 Kentontown,U.S Senate,,REP,Rand Paul,107,76,31
Robertson,D101 Burika,U.S Senate,,REP,Rand Paul,140,63,77
Robertson,E101 Mt. Olivet,U.S Senate,,REP,Rand Paul,144,82,62
Robertson,Absentee,U.S Senate,,REP,Rand Paul,40,21,19
Robertson,Total,U.S Senate,,REP,Rand Paul,650,,
Robertson,A101 Mt. Olivet,U.S Senate,,DEM,Jim Gray,64,34,30
Robertson,B101 Pinhook,U.S Senate,,DEM,Jim Gray,63,50,13
Robertson,C101 Kentontown,U.S Senate,,DEM,Jim Gray,61,42,19
Robertson,D101 Burika,U.S Senate,,DEM,Jim Gray,56,35,21
Robertson,E101 Mt. Olivet,U.S Senate,,DEM,Jim Gray,62,37,25
Robertson,Absentee,U.S Senate,,DEM,Jim Gray,38,10,28
Robertson,Total,U.S Senate,,DEM,Jim Gray,344,,
Robertson,A101 Mt. Olivet,U.S House,6,REP,Andy Barr,142,81,61
Robertson,B101 Pinhook,U.S House,6,REP,Andy Barr,107,68,39
Robertson,C101 Kentontown,U.S House,6,REP,Andy Barr,111,80,31
Robertson,D101 Burika,U.S House,6,REP,Andy Barr,151,72,79
Robertson,E101 Mt. Olivet,U.S House,6,REP,Andy Barr,163,95,68
Robertson,Absentee,U.S House,6,REP,Andy Barr,50,22,28
Robertson,Total,U.S House,6,REP,Andy Barr,724,,
Robertson,A101 Mt. Olivet,U.S House,6,DEM,Nancy Jo Kemper,46,28,18
Robertson,B101 Pinhook,U.S House,6,DEM,Nancy Jo Kemper,51,42,9
Robertson,C101 Kentontown,U.S House,6,DEM,Nancy Jo Kemper,57,38,19
Robertson,D101 Burika,U.S House,6,DEM,Nancy Jo Kemper,45,26,19
Robertson,E101 Mt. Olivet,U.S House,6,DEM,Nancy Jo Kemper,37,21,16
Robertson,Absentee,U.S House,6,DEM,Nancy Jo Kemper,25,8,17
Robertson,Total,U.S House,6,DEM,Nancy Jo Kemper,261,,
Robertson,A101 Mt. Olivet,State Senate,27,REP,Stephen West,127,71,56
Robertson,B101 Pinhook,State Senate,27,REP,Stephen West,87,57,30
Robertson,C101 Kentontown,State Senate,27,REP,Stephen West,95,72,23
Robertson,D101 Burika,State Senate,27,REP,Stephen West,143,64,79
Robertson,E101 Mt. Olivet,State Senate,27,REP,Stephen West,137,83,54
Robertson,Absentee,State Senate,27,REP,Stephen West,35,18,17
Robertson,Total,State Senate,27,REP,Stephen West,624,,
Robertson,A101 Mt. Olivet,State Senate,27,DEM,Charles L Linville III,55,34,21
Robertson,B101 Pinhook,State Senate,27,DEM,Charles L Linville III,64,49,15
Robertson,C101 Kentontown,State Senate,27,DEM,Charles L Linville III,68,45,23
Robertson,D101 Burika,State Senate,27,DEM,Charles L Linville III,52,33,19
Robertson,E101 Mt. Olivet,State Senate,27,DEM,Charles L Linville III,54,30,24
Robertson,Absentee,State Senate,27,DEM,Charles L Linville III,35,11,24
Robertson,Total,State Senate,27,DEM,Charles L Linville III,328,,
Robertson,A101 Mt. Olivet,State Representative,70,REP,John Vanmeter,89,48,41
Robertson,B101 Pinhook,State Representative,70,REP,John Vanmeter,72,48,24
Robertson,C101 Kentontown,State Representative,70,REP,John Vanmeter,67,44,23
Robertson,D101 Burika,State Representative,70,REP,John Vanmeter,98,42,56
Robertson,E101 Mt. Olivet,State Representative,70,REP,John Vanmeter,83,53,30
Robertson,Absentee,State Representative,70,REP,John Vanmeter,32,18,14
Robertson,Total,State Representative,70,REP,John Vanmeter,441,,
Robertson,A101 Mt. Olivet,State Representative,70,DEM,John Sims Je,101,63,38
Robertson,B101 Pinhook,State Representative,70,DEM,John Sims Je,85,63,22
Robertson,C101 Kentontown,State Representative,70,DEM,John Sims Je,100,76,24
Robertson,D101 Burika,State Representative,70,DEM,John Sims Je,102,58,44
Robertson,E101 Mt. Olivet,State Representative,70,DEM,John Sims Je,122,66,56
Robertson,Absentee,State Representative,70,DEM,John Sims Je,44,13,31
Robertson,Total,State Representative,70,DEM,John Sims Je,554,,
