candidate,office,district,party,county,precinct,eslate,escan,votes,absentee_mail,absentee_eslate,absentee_escan,votes
Mike Moffett,U.S. House,4,IND,Spencer,Little Mount #6,3,21,24,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Little Mount #6,55,297,352,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Little Mount #6,32,133,165,,,,
James A Tipton,State Representative,53,REP,Spencer,Little Mount #6,59,329,388,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Little Mount #6,29,103,132,,,,
,Straight Party,,REP,Spencer,Normandy #11,24,97,121,,,,
,Straight Party,,DEM,Spencer,Normandy #11,6,37,43,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Normandy #11,60,262,322,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Normandy #11,18,100,118,,,,
Mike Moffett,U.S. House,4,IND,Spencer,Normandy #11,2,10,12,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Normandy #11,58,270,328,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Normandy #11,23,104,127,,,,
James A Tipton,State Representative,53,REP,Spencer,Normandy #11,64,279,343,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Normandy #11,18,94,112,,,,
,Straight Party,,REP,Spencer,Absentee,,,,12,27,34,73
,Straight Party,,DEM,Spencer,Absentee,,,,7,15,13,35
Thomas Massie,U.S. House,4,REP,Spencer,Absentee,,,,30,70,124,224
Seth Hall,U.S. House,4,DEM,Spencer,Absentee,,,,20,28,32,80
Mike Moffett,U.S. House,4,IND,Spencer,Absentee,,,,3,2,3,8
Jimmy Higdon,State Senate,14,REP,Spencer,Absentee,,,,31,69,126,226
Stephanie Compton,State Senate,14,DEM,Spencer,Absentee,,,,22,30,32,84
James A Tipton,State Representative,53,REP,Spencer,Absentee,,,,36,71,132,29
Dustin Burley,State Representative,53,DEM,Spencer,Absentee,,,,18,29,28,75
,Straight Party,,REP,Spencer,Waterford #3,34,177,211,,,,
,Straight Party,,DEM,Spencer,Waterford #3,15,78,93,,,,
S Brett Guthrie,U.S. House,2,REP,Spencer,Waterford #3,84,468,552,,,,
Hank Linderman,U.S. House,2,DEM,Spencer,Waterford #3,30,173,203,,,,
Thomas A Loecken,U.S. House,2,IND,Spencer,Waterford #3,8,10,18,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Waterford #3,80,474,554,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Waterford #3,42,185,227,,,,
James A Tipton,State Representative,53,REP,Spencer,Waterford #3,85,496,581,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Waterford #3,38,168,206,,,,
,Straight Party,,REP,Spencer,Campbranch #5,21,49,70,,,,
,Straight Party,,DEM,Spencer,Campbranch #5,8,16,24,,,,
S Brett Guthrie,U.S. House,2,REP,Spencer,Campbranch #5,67,159,226,,,,
Hank Linderman,U.S. House,2,DEM,Spencer,Campbranch #5,17,51,68,,,,
Thomas A Loecken,U.S. House,2,IND,Spencer,Campbranch #5,2,4,6,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Campbranch #5,72,151,223,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Campbranch #5,18,60,78,,,,
James A Tipton,State Representative,53,REP,Spencer,Campbranch #5,70,166,236,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Campbranch #5,19,54,73,,,,
,Straight Party,,REP,Spencer,Campbranch #2,31,61,92,,,,
,Straight Party,,DEM,Spencer,Campbranch #2,8,34,42,,,,
S Brett Guthrie,U.S. House,2,REP,Spencer,Campbranch #2,58,211,269,,,,
Hank Linderman,U.S. House,2,DEM,Spencer,Campbranch #2,12,89,101,,,,
Thomas A Loecken,U.S. House,2,IND,Spencer,Campbranch #2,3,9,12,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Campbranch #2,56,206,262,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Campbranch #2,18,108,126,,,,
James A Tipton,State Representative,53,REP,Spencer,Campbranch #2,60,223,283,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Campbranch #2,14,92,106,,,,
,Straight Party,,REP,Spencer,North Campbranch #9A,1,30,31,,,,
,Straight Party,,DEM,Spencer,North Campbranch #9A,0,7,7,,,,
S Brett Guthrie,U.S. House,2,REP,Spencer,North Campbranch #9A,1,114,115,,,,
Hank Linderman,U.S. House,2,DEM,Spencer,North Campbranch #9A,1,34,35,,,,
Thomas A Loecken,U.S. House,2,IND,Spencer,North Campbranch #9A,0,3,3,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,North Campbranch #9A,1,108,109,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,North Campbranch #9A,1,43,44,,,,
James A Tipton,State Representative,53,REP,Spencer,North Campbranch #9A,1,125,126,,,,
Dustin Burley,State Representative,53,DEM,Spencer,North Campbranch #9A,1,28,29,,,,
,Straight Party,,REP,Spencer,Mount Eden #7,20,71,91,,,,
,Straight Party,,DEM,Spencer,Mount Eden #7,8,51,59,,,,
S Brett Guthrie,U.S. House,2,REP,Spencer,Mount Eden #7,80,323,403,,,,
Hank Linderman,U.S. House,2,DEM,Spencer,Mount Eden #7,18,104,122,,,,
Thomas A Loecken,U.S. House,2,IND,Spencer,Mount Eden #7,3,6,9,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Mount Eden #7,75,310,385,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Mount Eden #7,26,122,148,,,,
James A Tipton,State Representative,53,REP,Spencer,Mount Eden #7,79,322,401,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Mount Eden #7,24,117,141,,,,
,Straight Party,,REP,Spencer,Absentee,,,,3,8,13,24
,Straight Party,,DEM,Spencer,Absentee,,,,1,1,0,2
S Brett Guthrie,U.S. House,2,REP,Spencer,Absentee,,,,10,18,34,62
Hank Linderman,U.S. House,2,DEM,Spencer,Absentee,,,,3,3,5,11
Thomas A Loecken,U.S. House,2,IND,Spencer,Absentee,,,,0,2,2,4
Jimmy Higdon,State Senate,14,REP,Spencer,Absentee,,,,9,18,32,59
Stephanie Compton,State Senate,14,DEM,Spencer,Absentee,,,,4,5,7,16
James A Tipton,State Representative,53,REP,Spencer,Absentee,,,,10,18,37,65
Dustin Burley,State Representative,53,DEM,Spencer,Absentee,,,,3,5,5,13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
