county,precinct,office,district,party,candidate,eslate,escan,mail_in,walk_in,votes
Breckenridge,Irvington 1,U.S. House,2,REP,S. Brett Guthrie,65,281,,,346
Breckenridge,Irvington 1,U.S. House,2,DEM,Hank Linderman,31,91,,,122
Breckenridge,Irvington 1,U.S. House,2,LIB,Thomas A. Loecken,2,8,,,10
Breckenridge,Irvington 1,State Representative,10,REP,Josh Calloway,39,210,,,249
Breckenridge,Irvington 1,State Representative,10,DEM,Dean Schamore,62,182,,,244
Breckenridge,Hudson,Straight Party,,REP,Republican,2,86,,,88
Breckenridge,Hudson,Straight Party,,DEM,Democratic,0,28,,,28
Breckenridge,Hudson,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Hudson,Straight Party,,TPI,Tea Party Independent,0,0,,,0
Breckenridge,Hudson,U.S. House,2,REP,S. Brett Guthrie,6,255,,,261
Breckenridge,Hudson,U.S. House,2,DEM,Hank Linderman,1,58,,,59
Breckenridge,Hudson,U.S. House,2,LIB,Thomas A. Loecken,0,0,,,0
Breckenridge,Hudson,State Representative,10,REP,Josh Calloway,5,176,,,181
Breckenridge,Hudson,State Representative,10,DEM,Dean Schamore,3,147,,,150
Breckenridge,Custer,Straight Party,,REP,Republican,11,80,,,91
Breckenridge,Custer,Straight Party,,DEM,Democratic,6,37,,,43
Breckenridge,Custer,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Custer,Straight Party,,TPI,Tea Party Independent,1,2,,,3
Breckenridge,Custer,U.S. House,2,REP,S. Brett Guthrie,46,242,,,288
Breckenridge,Custer,U.S. House,2,DEM,Hank Linderman,24,82,,,106
Breckenridge,Custer,U.S. House,2,LIB,Thomas A. Loecken,2,8,,,10
Breckenridge,Custer,State Representative,10,REP,Josh Calloway,29,195,,,224
Breckenridge,Custer,State Representative,10,DEM,Dean Schamore,46,154,,,200
Breckenridge,Harned,Straight Party,,REP,Republican,10,52,,,62
Breckenridge,Harned,Straight Party,,DEM,Democratic,3,19,,,22
Breckenridge,Harned,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Harned,Straight Party,,TPI,Tea Party Independent,0,1,,,1
Breckenridge,Harned,U.S. House,2,REP,S. Brett Guthrie,32,227,,,259
Breckenridge,Harned,U.S. House,2,DEM,Hank Linderman,7,64,,,71
Breckenridge,Harned,U.S. House,2,LIB,Thomas A. Loecken,0,4,,,4
Breckenridge,Harned,State Representative,10,REP,Josh Calloway,24,143,,,167
Breckenridge,Harned,State Representative,10,DEM,Dean Schamore,17,167,,,184
Breckenridge,McDaniels,Straight Party,,REP,Republican,10,194,,,204
Breckenridge,McDaniels,Straight Party,,DEM,Democratic,3,102,,,105
Breckenridge,McDaniels,Straight Party,,LIB,Libertarian,0,3,,,3
Breckenridge,McDaniels,Straight Party,,TPI,Tea Party Independent,0,4,,,4
Breckenridge,McDaniels,U.S. House,2,REP,S. Brett Guthrie,35,624,,,659
Breckenridge,McDaniels,U.S. House,2,DEM,Hank Linderman,8,225,,,233
Breckenridge,McDaniels,U.S. House,2,LIB,Thomas A. Loecken,1,11,,,12
Breckenridge,McDaniels,State Representative,10,REP,Josh Calloway,23,536,,,559
Breckenridge,McDaniels,State Representative,10,DEM,Dean Schamore,21,345,,,366
Breckenridge,Glen Dean,Straight Party,,REP,Republican,11,40,,,51
Breckenridge,Glen Dean,Straight Party,,DEM,Democratic,2,12,,,14
Breckenridge,Glen Dean,Straight Party,,LIB,Libertarian,0,2,,,2
Breckenridge,Glen Dean,Straight Party,,TPI,Tea Party Independent,0,0,,,0
Breckenridge,Glen Dean,U.S. House,2,REP,S. Brett Guthrie,53,101,,,154
Breckenridge,Glen Dean,U.S. House,2,DEM,Hank Linderman,12,39,,,51
Breckenridge,Glen Dean,U.S. House,2,LIB,Thomas A. Loecken,3,3,,,6
Breckenridge,Glen Dean,State Representative,10,REP,Josh Calloway,38,79,,,117
Breckenridge,Glen Dean,State Representative,10,DEM,Dean Schamore,33,69,,,102
Breckenridge,Westview,Straight Party,,REP,Republican,9,27,,,36
Breckenridge,Westview,Straight Party,,DEM,Democratic,3,13,,,16
Breckenridge,Westview,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Westview,Straight Party,,TPI,Tea Party Independent,0,2,,,2
Breckenridge,Westview,U.S. House,2,REP,S. Brett Guthrie,62,132,,,194
Breckenridge,Westview,U.S. House,2,DEM,Hank Linderman,19,44,,,63
Breckenridge,Westview,U.S. House,2,LIB,Thomas A. Loecken,0,3,,,3
Breckenridge,Westview,State Representative,10,REP,Josh Calloway,32,88,,,120
Breckenridge,Westview,State Representative,10,DEM,Dean Schamore,54,101,,,155
