candidate,office,district,party,county,precinct,eslate,escan,votes,absentee_mail,absentee_walk_in
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff Southeast,76,356,432,,
Josh Calloway,State Representative,10,,Hardin,Radcliff Southeast,41,200,241,,
Dean Schamore,State Representative,10,,Hardin,Radcliff Southeast,59,291,350,,
,Straight Party,,REP,Hardin,Shelton,7,160,167,,
,Straight Party,,DEM,Hardin,Shelton,23,265,288,,
S Brett Guthrie,U.S. House,2,,Hardin,Shelton,13,303,316,,
Hank Linderman,U.S. House,2,,Hardin,Shelton,27,393,420,,
Thomas A Loecken,U.S. House,2,,Hardin,Shelton,2,21,23,,
Dennis L. Parrett,State Senate,10,,Hardin,Shelton,35,542,577,,
Josh Calloway,State Representative,10,,Hardin,Shelton,,,,,
Dean Schamore,State Representative,10,,Hardin,Shelton,,,,,
,Straight Party,,REP,Hardin,Woodland,14,97,111,,
,Straight Party,,DEM,Hardin,Woodland,47,158,205,,
S Brett Guthrie,U.S. House,2,,Hardin,Woodland,28,203,231,,
Hank Linderman,U.S. House,2,,Hardin,Woodland,57,240,297,,
Thomas A Loecken,U.S. House,2,,Hardin,Woodland,6,17,23,,
Dennis L. Parrett,State Senate,10,,Hardin,Woodland,75,335,410,,
Josh Calloway,State Representative,10,,Hardin,Woodland,27,191,218,,
Dean Schamore,State Representative,10,,Hardin,Woodland,64,267,331,,
,Straight Party,,REP,Hardin,Longview,37,90,127,,
,Straight Party,,DEM,Hardin,Longview,22,62,84,,
S Brett Guthrie,U.S. House,2,,Hardin,Longview,61,191,252,,
Hank Linderman,U.S. House,2,,Hardin,Longview,33,96,129,,
Thomas A Loecken,U.S. House,2,,Hardin,Longview,1,10,11,,
Dennis L. Parrett,State Senate,10,,Hardin,Longview,64,195,259,,
Josh Calloway,State Representative,10,,Hardin,Longview,,,,,
Dean Schamore,State Representative,10,,Hardin,Longview,,,,,
,Straight Party,,REP,Hardin,Parkway,17,103,120,,
,Straight Party,,DEM,Hardin,Parkway,27,162,189,,
S Brett Guthrie,U.S. House,2,,Hardin,Parkway,39,183,222,,
Hank Linderman,U.S. House,2,,Hardin,Parkway,39,217,256,,
Thomas A Loecken,U.S. House,2,,Hardin,Parkway,1,12,13,,
Dennis L. Parrett,State Senate,10,,Hardin,Parkway,60,299,359,,
Josh Calloway,State Representative,10,,Hardin,Parkway,,,,,
Dean Schamore,State Representative,10,,Hardin,Parkway,,,,,
,Straight Party,,REP,Hardin,Highlands,24,74,98,,
,Straight Party,,DEM,Hardin,Highlands,7,54,61,,
S Brett Guthrie,U.S. House,2,,Hardin,Highlands,68,292,360,,
Hank Linderman,U.S. House,2,,Hardin,Highlands,26,124,150,,
Thomas A Loecken,U.S. House,2,,Hardin,Highlands,2,7,9,,
Dennis L. Parrett,State Senate,10,,Hardin,Highlands,68,287,355,,
Josh Calloway,State Representative,10,,Hardin,Highlands,,,,,
Dean Schamore,State Representative,10,,Hardin,Highlands,,,,,
,Straight Party,,REP,Hardin,City Park,21,80,101,,
,Straight Party,,DEM,Hardin,City Park,39,147,186,,
S Brett Guthrie,U.S. House,2,,Hardin,City Park,49,241,290,,
Hank Linderman,U.S. House,2,,Hardin,City Park,52,233,285,,
Thomas A Loecken,U.S. House,2,,Hardin,City Park,0,18,18,,
Dennis L. Parrett,State Senate,10,,Hardin,City Park,84,376,460,,
Josh Calloway,State Representative,10,,Hardin,City Park,,,,,
Dean Schamore,State Representative,10,,Hardin,City Park,,,,,
,Straight Party,,REP,Hardin,Colesburg,46,194,240,,
,Straight Party,,DEM,Hardin,Colesburg,17,66,83,,
S Brett Guthrie,U.S. House,2,,Hardin,Colesburg,83,394,477,,
Hank Linderman,U.S. House,2,,Hardin,Colesburg,35,130,165,,
Thomas A Loecken,U.S. House,2,,Hardin,Colesburg,1,21,22,,
Dennis L. Parrett,State Senate,10,,Hardin,Colesburg,70,285,355,,
Josh Calloway,State Representative,10,,Hardin,Colesburg,,,,,
Dean Schamore,State Representative,10,,Hardin,Colesburg,,,,,
,Straight Party,,REP,Hardin,Tunnel Hill,15,236,251,,
,Straight Party,,DEM,Hardin,Tunnel Hill,9,139,148,,
S Brett Guthrie,U.S. House,2,,Hardin,Tunnel Hill,47,641,688,,
Hank Linderman,U.S. House,2,,Hardin,Tunnel Hill,16,256,272,,
Thomas A Loecken,U.S. House,2,,Hardin,Tunnel Hill,1,18,19,,
Dennis L. Parrett,State Senate,10,,Hardin,Tunnel Hill,45,565,610,,
Josh Calloway,State Representative,10,,Hardin,Tunnel Hill,,,,,
Dean Schamore,State Representative,10,,Hardin,Tunnel Hill,,,,,
,Straight Party,,REP,Hardin,Lincoln Trail North ,21,100,121,,
,Straight Party,,DEM,Hardin,Lincoln Trail North ,11,43,54,,
S Brett Guthrie,U.S. House,2,,Hardin,Lincoln Trail North ,55,275,330,,
Hank Linderman,U.S. House,2,,Hardin,Lincoln Trail North ,22,116,138,,
Thomas A Loecken,U.S. House,2,,Hardin,Lincoln Trail North ,4,10,14,,
Dennis L. Parrett,State Senate,10,,Hardin,Lincoln Trail North ,63,268,331,,
Josh Calloway,State Representative,10,,Hardin,Lincoln Trail North ,,,,,
Dean Schamore,State Representative,10,,Hardin,Lincoln Trail North ,,,,,
,Straight Party,,REP,Hardin,Lincoln Trail South,51,161,212,,
,Straight Party,,DEM,Hardin,Lincoln Trail South,30,105,135,,
S Brett Guthrie,U.S. House,2,,Hardin,Lincoln Trail South,117,396,513,,
Hank Linderman,U.S. House,2,,Hardin,Lincoln Trail South,47,204,251,,
Thomas A Loecken,U.S. House,2,,Hardin,Lincoln Trail South,2,14,16,,
Dennis L. Parrett,State Senate,10,,Hardin,Lincoln Trail South,114,401,515,,
Josh Calloway,State Representative,10,,Hardin,Lincoln Trail South,,,,,
Dean Schamore,State Representative,10,,Hardin,Lincoln Trail South,,,,,
,Straight Party,,REP,Hardin,Etown East,7,64,71,,
,Straight Party,,DEM,Hardin,Etown East,22,106,128,,
S Brett Guthrie,U.S. House,2,,Hardin,Etown East,28,188,216,,
Hank Linderman,U.S. House,2,,Hardin,Etown East,32,174,206,,
Thomas A Loecken,U.S. House,2,,Hardin,Etown East,1,8,9,,
Dennis L. Parrett,State Senate,10,,Hardin,Etown East,49,291,340,,
Josh Calloway,State Representative,10,,Hardin,Etown East,,,,,
Dean Schamore,State Representative,10,,Hardin,Etown East,,,,,
,Straight Party,,REP,Hardin,Mantle,4,85,89,,
,Straight Party,,DEM,Hardin,Mantle,2,103,105,,
S Brett Guthrie,U.S. House,2,,Hardin,Mantle,6,220,226,,
Hank Linderman,U.S. House,2,,Hardin,Mantle,6,170,176,,
Thomas A Loecken,U.S. House,2,,Hardin,Mantle,1,9,10,,
Dennis L. Parrett,State Senate,10,,Hardin,Mantle,6,286,292,,
Josh Calloway,State Representative,10,,Hardin,Mantle,,,,,
Dean Schamore,State Representative,10,,Hardin,Mantle,,,,,
,Straight Party,,REP,Hardin,Freeman,34,154,188,,
,Straight Party,,DEM,Hardin,Freeman,25,113,138,,
S Brett Guthrie,U.S. House,2,,Hardin,Freeman,71,473,544,,
Hank Linderman,U.S. House,2,,Hardin,Freeman,41,253,294,,
Thomas A Loecken,U.S. House,2,,Hardin,Freeman,2,20,22,,
Dennis L. Parrett,State Senate,10,,Hardin,Freeman,81,502,583,,
Josh Calloway,State Representative,10,,Hardin,Freeman,,,,,
Dean Schamore,State Representative,10,,Hardin,Freeman,,,,,
,Straight Party,,REP,Hardin,Oaklawn,29,114,143,,
,Straight Party,,DEM,Hardin,Oaklawn,25,100,125,,
S Brett Guthrie,U.S. House,2,,Hardin,Oaklawn,66,356,422,,
Hank Linderman,U.S. House,2,,Hardin,Oaklawn,37,206,243,,
Thomas A Loecken,U.S. House,2,,Hardin,Oaklawn,3,10,13,,
Dennis L. Parrett,State Senate,10,,Hardin,Oaklawn,74,388,462,,
Josh Calloway,State Representative,10,,Hardin,Oaklawn,,,,,
Dean Schamore,State Representative,10,,Hardin,Oaklawn,,,,,
,Straight Party,,REP,Hardin,Pine Valley,11,225,236,,
,Straight Party,,DEM,Hardin,Pine Valley,13,243,256,,
S Brett Guthrie,U.S. House,2,,Hardin,Pine Valley,28,596,624,,
Hank Linderman,U.S. House,2,,Hardin,Pine Valley,17,423,440,,
Thomas A Loecken,U.S. House,2,,Hardin,Pine Valley,1,21,22,,
Dennis L. Parrett,State Senate,10,,Hardin,Pine Valley,35,695,730,,
Josh Calloway,State Representative,10,,Hardin,Pine Valley,,,,,
Dean Schamore,State Representative,10,,Hardin,Pine Valley,,,,,
,Straight Party,,REP,Hardin,Helmwood Heights,6,203,209,,
,Straight Party,,DEM,Hardin,Helmwood Heights,4,201,205,,
S Brett Guthrie,U.S. House,2,,Hardin,Helmwood Heights,11,522,533,,
Hank Linderman,U.S. House,2,,Hardin,Helmwood Heights,7,361,368,,
Thomas A Loecken,U.S. House,2,,Hardin,Helmwood Heights,1,17,18,,
Dennis L. Parrett,State Senate,10,,Hardin,Helmwood Heights,13,609,622,,
Josh Calloway,State Representative,10,,Hardin,Helmwood Heights,,,,,
Dean Schamore,State Representative,10,,Hardin,Helmwood Heights,,,,,
,Straight Party,,REP,Hardin,Helm,8,96,104,,
,Straight Party,,DEM,Hardin,Helm,3,123,126,,
S Brett Guthrie,U.S. House,2,,Hardin,Helm,9,177,186,,
Hank Linderman,U.S. House,2,,Hardin,Helm,4,161,165,,
Thomas A Loecken,U.S. House,2,,Hardin,Helm,0,6,6,,
Dennis L. Parrett,State Senate,10,,Hardin,Helm,9,233,242,,
Josh Calloway,State Representative,10,,Hardin,Helm,,,,,
Dean Schamore,State Representative,10,,Hardin,Helm,,,,,
,Straight Party,,REP,Hardin,Central,0,63,63,,
,Straight Party,,DEM,Hardin,Central,4,66,70,,
S Brett Guthrie,U.S. House,2,,Hardin,Central,2,206,208,,
Hank Linderman,U.S. House,2,,Hardin,Central,6,145,151,,
Thomas A Loecken,U.S. House,2,,Hardin,Central,0,6,6,,
Dennis L. Parrett,State Senate,10,,Hardin,Central,8,289,297,,
Josh Calloway,State Representative,10,,Hardin,Central,,,,,
Dean Schamore,State Representative,10,,Hardin,Central,,,,,
,Straight Party,,REP,Hardin,Etown North,7,77,84,,
,Straight Party,,DEM,Hardin,Etown North,2,85,87,,
S Brett Guthrie,U.S. House,2,,Hardin,Etown North,15,212,227,,
Hank Linderman,U.S. House,2,,Hardin,Etown North,9,191,200,,
Thomas A Loecken,U.S. House,2,,Hardin,Etown North,0,10,10,,
Dennis L. Parrett,State Senate,10,,Hardin,Etown North,14,309,323,,
Josh Calloway,State Representative,10,,Hardin,Etown North,,,,,
Dean Schamore,State Representative,10,,Hardin,Etown North,,,,,
,Straight Party,,REP,Hardin,Etown West,17,134,151,,
,Straight Party,,DEM,Hardin,Etown West,23,122,145,,
S Brett Guthrie,U.S. House,2,,Hardin,Etown West,76,472,548,,
Hank Linderman,U.S. House,2,,Hardin,Etown West,42,264,306,,
Thomas A Loecken,U.S. House,2,,Hardin,Etown West,1,13,14,,
Dennis L. Parrett,State Senate,10,,Hardin,Etown West,100,521,621,,
Josh Calloway,State Representative,10,,Hardin,Etown West,,,,,
Dean Schamore,State Representative,10,,Hardin,Etown West,,,,,
,Straight Party,,REP,Hardin,Valley Creek,10,52,62,,
,Straight Party,,DEM,Hardin,Valley Creek,10,53,63,,
S Brett Guthrie,U.S. House,2,,Hardin,Valley Creek,26,148,174,,
Hank Linderman,U.S. House,2,,Hardin,Valley Creek,18,101,119,,
Thomas A Loecken,U.S. House,2,,Hardin,Valley Creek,1,7,8,,
Dennis L. Parrett,State Senate,10,,Hardin,Valley Creek,31,182,213,,
Josh Calloway,State Representative,10,,Hardin,Valley Creek,,,,,
Dean Schamore,State Representative,10,,Hardin,Valley Creek,,,,,
,Straight Party,,REP,Hardin,Memorial,23,87,110,,
,Straight Party,,DEM,Hardin,Memorial,16,100,116,,
S Brett Guthrie,U.S. House,2,,Hardin,Memorial,62,260,322,,
Hank Linderman,U.S. House,2,,Hardin,Memorial,36,174,210,,
Thomas A Loecken,U.S. House,2,,Hardin,Memorial,0,11,11,,
Dennis L. Parrett,State Senate,10,,Hardin,Memorial,80,328,408,,
Josh Calloway,State Representative,10,,Hardin,Memorial,,,,,
Dean Schamore,State Representative,10,,Hardin,Memorial,,,,,
,Straight Party,,REP,Hardin,Van Meter City,15,42,57,,
,Straight Party,,DEM,Hardin,Van Meter City,25,45,70,,
S Brett Guthrie,U.S. House,2,,Hardin,Van Meter City,45,132,177,,
Hank Linderman,U.S. House,2,,Hardin,Van Meter City,35,79,114,,
Thomas A Loecken,U.S. House,2,,Hardin,Van Meter City,3,9,12,,
Dennis L. Parrett,State Senate,10,,Hardin,Van Meter City,72,162,234,,
Josh Calloway,State Representative,10,,Hardin,Van Meter City,,,,,
Dean Schamore,State Representative,10,,Hardin,Van Meter City,,,,,
,Straight Party,,REP,Hardin,Haycraft,16,64,80,,
,Straight Party,,DEM,Hardin,Haycraft,26,142,168,,
S Brett Guthrie,U.S. House,2,,Hardin,Haycraft,31,169,200,,
Hank Linderman,U.S. House,2,,Hardin,Haycraft,39,211,250,,
Thomas A Loecken,U.S. House,2,,Hardin,Haycraft,3,14,17,,
Dennis L. Parrett,State Senate,10,,Hardin,Haycraft,57,311,368,,
Josh Calloway,State Representative,10,,Hardin,Haycraft,,,,,
Dean Schamore,State Representative,10,,Hardin,Haycraft,,,,,
,Straight Party,,REP,Hardin,Van Meter,20,109,129,,
,Straight Party,,DEM,Hardin,Van Meter,21,102,123,,
S Brett Guthrie,U.S. House,2,,Hardin,Van Meter,63,342,405,,
Hank Linderman,U.S. House,2,,Hardin,Van Meter,29,182,211,,
Thomas A Loecken,U.S. House,2,,Hardin,Van Meter,1,17,18,,
Dennis L. Parrett,State Senate,10,,Hardin,Van Meter,76,367,443,,
Josh Calloway,State Representative,10,,Hardin,Van Meter,,,,,
Dean Schamore,State Representative,10,,Hardin,Van Meter,,,,,
,Straight Party,,REP,Hardin,Chelf,3,145,148,,
,Straight Party,,DEM,Hardin,Chelf,0,66,66,,
S Brett Guthrie,U.S. House,2,,Hardin,Chelf,14,424,438,,
Hank Linderman,U.S. House,2,,Hardin,Chelf,0,131,131,,
Thomas A Loecken,U.S. House,2,,Hardin,Chelf,0,9,9,,
Dennis L. Parrett,State Senate,10,,Hardin,Chelf,6,359,365,,
Josh Calloway,State Representative,10,,Hardin,Chelf,,,,,
Dean Schamore,State Representative,10,,Hardin,Chelf,,,,,
,Straight Party,,REP,Hardin,Country Club,33,181,214,,
,Straight Party,,DEM,Hardin,Country Club,25,81,106,,
S Brett Guthrie,U.S. House,2,,Hardin,Country Club,111,578,689,,
Hank Linderman,U.S. House,2,,Hardin,Country Club,49,176,225,,
Thomas A Loecken,U.S. House,2,,Hardin,Country Club,0,19,19,,
Dennis L. Parrett,State Senate,10,,Hardin,Country Club,120,508,628,,
Josh Calloway,State Representative,10,,Hardin,Country Club,,,,,
Dean Schamore,State Representative,10,,Hardin,Country Club,,,,,
,Straight Party,,REP,Hardin,Glendale,26,150,176,,
,Straight Party,,DEM,Hardin,Glendale,12,94,106,,
S Brett Guthrie,U.S. House,2,,Hardin,Glendale,80,474,554,,
Hank Linderman,U.S. House,2,,Hardin,Glendale,26,195,221,,
Thomas A Loecken,U.S. House,2,,Hardin,Glendale,3,22,25,,
Dennis L. Parrett,State Senate,10,,Hardin,Glendale,68,447,515,,
Josh Calloway,State Representative,10,,Hardin,Glendale,,,,,
Dean Schamore,State Representative,10,,Hardin,Glendale,,,,,
,Straight Party,,REP,Hardin,South Dixie,41,129,170,,
,Straight Party,,DEM,Hardin,South Dixie,18,60,78,,
S Brett Guthrie,U.S. House,2,,Hardin,South Dixie,73,365,438,,
Hank Linderman,U.S. House,2,,Hardin,South Dixie,32,133,165,,
Thomas A Loecken,U.S. House,2,,Hardin,South Dixie,2,7,9,,
Dennis L. Parrett,State Senate,10,,Hardin,South Dixie,68,311,379,,
Josh Calloway,State Representative,10,,Hardin,South Dixie,,,,,
Dean Schamore,State Representative,10,,Hardin,South Dixie,,,,,
,Straight Party,,REP,Hardin,Sonora,26,94,120,,
,Straight Party,,DEM,Hardin,Sonora,14,60,74,,
S Brett Guthrie,U.S. House,2,,Hardin,Sonora,81,295,376,,
Hank Linderman,U.S. House,2,,Hardin,Sonora,27,122,149,,
Thomas A Loecken,U.S. House,2,,Hardin,Sonora,2,14,16,,
Dennis L. Parrett,State Senate,10,,Hardin,Sonora,87,311,398,,
Josh Calloway,State Representative,10,,Hardin,Sonora,,,,,
Dean Schamore,State Representative,10,,Hardin,Sonora,,,,,
,Straight Party,,REP,Hardin,Upton,18,43,61,,
,Straight Party,,DEM,Hardin,Upton,13,32,45,,
S Brett Guthrie,U.S. House,2,,Hardin,Upton,76,147,223,,
Hank Linderman,U.S. House,2,,Hardin,Upton,23,54,77,,
Thomas A Loecken,U.S. House,2,,Hardin,Upton,4,9,13,,
Dennis L. Parrett,State Senate,10,,Hardin,Upton,79,148,227,,
Josh Calloway,State Representative,10,,Hardin,Upton,,,,,
Dean Schamore,State Representative,10,,Hardin,Upton,,,,,
,Straight Party,,REP,Hardin,Cash,9,20,29,,
,Straight Party,,DEM,Hardin,Cash,3,6,9,,
S Brett Guthrie,U.S. House,2,,Hardin,Cash,14,31,45,,
Hank Linderman,U.S. House,2,,Hardin,Cash,3,6,9,,
Thomas A Loecken,U.S. House,2,,Hardin,Cash,0,0,0,,
Dennis L. Parrett,State Senate,10,,Hardin,Cash,9,17,26,,
Josh Calloway,State Representative,10,,Hardin,Cash,,,,,
Dean Schamore,State Representative,10,,Hardin,Cash,,,,,
,Straight Party,,REP,Hardin,Eastview,36,56,92,,
,Straight Party,,DEM,Hardin,Eastview,12,22,34,,
S Brett Guthrie,U.S. House,2,,Hardin,Eastview,76,139,215,,
Hank Linderman,U.S. House,2,,Hardin,Eastview,19,48,67,,
Thomas A Loecken,U.S. House,2,,Hardin,Eastview,1,4,5,,
Dennis L. Parrett,State Senate,10,,Hardin,Eastview,59,123,182,,
Josh Calloway,State Representative,10,,Hardin,Eastview,,,,,
Dean Schamore,State Representative,10,,Hardin,Eastview,,,,,
,Straight Party,,REP,Hardin,Stephensburg,14,104,118,,
,Straight Party,,DEM,Hardin,Stephensburg,8,35,43,,
S Brett Guthrie,U.S. House,2,,Hardin,Stephensburg,48,265,313,,
Hank Linderman,U.S. House,2,,Hardin,Stephensburg,20,77,97,,
Thomas A Loecken,U.S. House,2,,Hardin,Stephensburg,1,5,6,,
Dennis L. Parrett,State Senate,10,,Hardin,Stephensburg,53,218,271,,
Josh Calloway,State Representative,10,,Hardin,Stephensburg,,,,,
Dean Schamore,State Representative,10,,Hardin,Stephensburg,,,,,
,Straight Party,,REP,Hardin,Meeting Creek,12,124,136,,
,Straight Party,,DEM,Hardin,Meeting Creek,7,37,44,,
S Brett Guthrie,U.S. House,2,,Hardin,Meeting Creek,22,246,268,,
Hank Linderman,U.S. House,2,,Hardin,Meeting Creek,13,64,77,,
Thomas A Loecken,U.S. House,2,,Hardin,Meeting Creek,1,7,8,,
Dennis L. Parrett,State Senate,10,,Hardin,Meeting Creek,25,174,199,,
Josh Calloway,State Representative,10,,Hardin,Meeting Creek,,,,,
Dean Schamore,State Representative,10,,Hardin,Meeting Creek,,,,,
,Straight Party,,REP,Hardin,White Mills,12,84,96,,
,Straight Party,,DEM,Hardin,White Mills,4,42,46,,
S Brett Guthrie,U.S. House,2,,Hardin,White Mills,56,224,280,,
Hank Linderman,U.S. House,2,,Hardin,White Mills,14,73,87,,
Thomas A Loecken,U.S. House,2,,Hardin,White Mills,1,9,10,,
Dennis L. Parrett,State Senate,10,,Hardin,White Mills,50,201,251,,
Josh Calloway,State Representative,10,,Hardin,White Mills,,,,,
Dean Schamore,State Representative,10,,Hardin,White Mills,,,,,
,Straight Party,,REP,Hardin,Cecilia,45,162,207,,
,Straight Party,,DEM,Hardin,Cecilia,17,95,112,,
S Brett Guthrie,U.S. House,2,,Hardin,Cecilia,109,516,625,,
Hank Linderman,U.S. House,2,,Hardin,Cecilia,35,198,233,,
Thomas A Loecken,U.S. House,2,,Hardin,Cecilia,4,23,27,,
Dennis L. Parrett,State Senate,10,,Hardin,Cecilia,102,496,598,,
Josh Calloway,State Representative,10,,Hardin,Cecilia,,,,,
Dean Schamore,State Representative,10,,Hardin,Cecilia,,,,,
,Straight Party,,REP,Hardin,St John,26,97,123,,
